Status,Reason,Entry_Key,PDF_Page,Printed_Page,Printed_Head,Form,Variants,Sense,Definition,Tags,References,DEDR_IDs,Unresolved_DEDR_IDs,Variant_Of_Key,Raw_Entry
ingested,,bhaskararao-toda2025:p1:e1,17,1,a,a,,,"(ay before words beginning with vowels and w, and a before others) that; ay wïtkuḍy ‘that anthill’, a ciṭy ‘that merchant’, a teːsts̱ loc. ‘in that coun- try’, afarc/fars loc. ‘in such-and-such a year’, a wïso ɫ ỵ, ay wïso ɫ ỵ ‘that wïso̱ɫỵ dairy’",demonstrative adj,emeneau-toda1984[p. 98]|bhaskararao-toda-notes[p. 4],1,,,"a dem.a. (ay before words beginning with vowels and w, and a before others) that; ay wïtkuḍy ‘that anthill’, a ciṭy ‘that merchant’, a teːsts̱ loc. ‘in that coun- try’, afarc/fars loc. ‘in such-and-such a year’, a wïso ɫ ỵ, ay wïso ɫ ỵ ‘that wïso̱ɫỵ dairy’. DEDR 1, TGT 98, PB 4"
ingested,,bhaskararao-toda2025:p1:e2,17,1,abak,abak,,,food; abak ïḍ- ‘to put in the mouth’,noun,bhaskararao-toda-notes[p. 5],,,,abak n. food; abak ïḍ- ‘to put in the mouth’. PB 5
ingested,,bhaskararao-toda2025:p1:e3,17,1,aboym,aboym,,,danger(obl. aboyt-),noun,"emeneau-toda1984[p. 10, 71]",,,,"aboym n. danger(obl. aboyt-). TGT 10, 71"
ingested,,bhaskararao-toda2025:p1:e4,17,1,aboyt-,aboyt-,,,obl. of aboym ‘danger’,noun,,,,,aboyt- n. obl. of aboym ‘danger’
ingested,,bhaskararao-toda2025:p1:e5,17,1,ačok,ačok,,,"measure(s)(ofvolume; pl. ačokam), anačok measuringvessel",noun,"bhaskararao-toda-notes[p. 5, 47]",474|2876,,,"ačok n. measure(s)(ofvolume; pl. ačokam), anačok measuringvessel. DEDR 474, 2876, PB 5, 47"
ingested,,bhaskararao-toda2025:p1:e6,17,1,aḏ,aḏ,,,"on that day, aḏ =θon ‘on that same day’, aḏeː ‘on that very day’",demonstrative adv,"emeneau-toda1984[p. 100, 179]|bhaskararao-toda-notes[p. 5, 13]",1,,,"aḏ dem.adv. on that day, aḏ =θon ‘on that same day’, aḏeː ‘on that very day’. DEDR 1, TGT 100,179, PB 5,13"
ingested,,bhaskararao-toda2025:p1:e7,17,1,aḏïyi ïḏ,aḏïyi ïḏ,,,"(aḏ ïyi) just then, at the same time (negatively); ič twïːṛ oṭ-š-pini aḏïyi ïḏ upum podoɫaːṃ podsi ‘I cooked a small quantity of rice; at the same time many guests have arrived.’",adv,bhaskararao-toda-notes[p. 5],,,,"aḏïyi ïḏ adv. (aḏ ïyi) just then, at the same time (negatively); ič twïːṛ oṭ-š-pini aḏïyi ïḏ upum podoɫaːṃ podsi ‘I cooked a small quantity of rice; at the same time many guests have arrived.’ PB 5"
ingested,,bhaskararao-toda2025:p1:e8,17,1,aḏ-k,aḏ-k,,,for that day,adv,bhaskararao-toda-notes[p. 5],,,,aḏ-k adv. for that day. PB 5
ingested,,bhaskararao-toda2025:p1:e9,17,1,aḏnwïṛ,aḏnwïṛ,,,that day as never afterwards,demonstrative adv,emeneau-toda1984[p. 85],,,,aḏnwïṛ dem.adv. that day as never afterwards. TGT 85
ingested,,bhaskararao-toda2025:p1:e10,17,1,aḏ-s̱n nïḏ-s,aḏ-s̱n nïḏ-s,,,from that day onwards (nïḏ-s ‘onwards’),demonstrative adv,"bhaskararao-toda-notes[p. 5, 74, 195]",,,,"aḏ-s̱n nïḏ-s dem.adv. from that day onwards (nïḏ-s ‘onwards’). PB 5, 74, 195"
