Row,Language_ID,Form,Gloss,Phonemic,Parameter_ID,Distance,Evidence_Language_ID,Evidence_Form,Basis
13,Urdu,nɑk,nose,n̪ɑk,7037,0.333,Domaaki,nok,audited close correspondence
51,Urdu,gɑũ,village,gɑũ,4368,0.333,Rondu,gɑm,audited close correspondence
72,Urdu,hʌtʰɔṛɑ,hammer,hɜtʰɔɽɑ,14028,0.286,Gupis,hɑtoˈṛɑ,audited close correspondence
86,Urdu,sui,needle,s̪ui,13551,0.333,Gupis,sùú,audited close correspondence
98,Urdu,ek tɑrɑ,star,ek+t̪ɑr̪ɑ,5798,0.333,Darel,ˈtɑɑrɑ,audited close correspondence
99,Urdu,sɪtɑrɑ,star,s̪ɪt̪ɑr̪ɑ,5798,0.333,Darel,ˈtɑɑrɑ,audited close correspondence
106,Pashto,sind,river,s̪in̪d̪,13415,0.250,Domaaki,sinɑ,unique close phonological match
131,Pashto,duṛɑ,dust,d̪uɽɑ,6835,0.250,Jalkot,ˈduṛʌ,unique close phonological match
132,Urdu,sonɑ,gold,s̪on̪ɑ,13519,0.250,Domaaki,son,unique close phonological match
161,Urdu,bæŋʌn,eggplant,bæŋɜn̪,11503,0.167,Domaaki,bæŋgʌn,unique close phonological match
163,Urdu,muŋ pʰʌli,groundnut,muŋ+pʰɜli,10198,0.000,Hussainabad,muŋpʰʌˈli,unique close phonological match
164,Pashto,mumpɑli,groundnut,mumpɑli,10198,0.125,Bagrot,mumpʰɑˈli,unique close phonological match
165,Urdu,mɪrč,chili,mɪr̪tɕ,9875,0.333,UyumNagar,ˈmɑruč,audited close correspondence
166,Pashto,mʌrčʌke,chili,mɜr̪tɕɜke,9875,0.125,Kolai,mʌrčʌˈki,unique close phonological match
167,Pashto,mrʌč,chili,mr̪ɜtɕ,9875,0.167,Gupis,ˈmɑrʌč,unique close phonological match
198,Urdu,bʰɛ̃s,buffalo,bʰɛ̃s̪,9964,0.000,KachuraJel,bʰẽs,unique close phonological match
200,Urdu,dudʰ,milk,d̪ud̪ʰ,6391,0.250,Gupis,dʊ̱tʰ,unique close phonological match
206,Urdu,bʌkri,goat,bɜkr̪i,9153,0.333,Domaaki,bʌkiˈrɑ,audited close correspondence
220,Urdu,nɑm,name,n̪ɑm,7067,0.333,Pashto,num,audited close correspondence
237,Urdu,bʌṛi bʌhɛn,older sister,bɜɽi+bɜhɛn̪,9349,0.222,Domaaki,bʌṛi bɛhn,unique close phonological match
279,Urdu,sɑl,year,s̪ɑl,3084,0.333,Pashto,kɑl,audited close correspondence
284,Urdu,neɑ,new,n̪eɑ,6983,0.333,Harban,nɑɑ,audited close correspondence
293,Urdu,sukʰɑ,dry,s̪ukʰɑ,12548,0.200,Domaaki,šuˈkʰɑ,unique close phonological match
338,Urdu,ek,one,ek,2462,0.000,Domaaki,ɛk,unique close phonological match
350,Urdu,sɑt,seven,s̪ɑt̪,13139,0.333,Domaaki,sot,audited close correspondence
356,Urdu,dʌs,ten,d̪ɜs̪,6227,0.333,Domaaki,dʌi,audited close correspondence
362,Urdu,bis,twenty,bis̪,11616,0.333,Domaaki,biš,audited close correspondence
366,Urdu,kɔn,who,kɔn̪,2574,0.333,Shimshal,koi,audited close correspondence
747,RonduBalti,hʌtʰoṛɑ,hammer,hɜtʰoɽɑ,14028,0.286,Gupis,hɑtoˈṛɑ,audited close correspondence
748,ShigarBalti,hʌtʰoṛɑ,hammer,hɜtʰoɽɑ,14028,0.286,Gupis,hɑtoˈṛɑ,audited close correspondence
749,SkarduBalti,hʌtʰoṛɑ,hammer,hɜtʰoɽɑ,14028,0.286,Gupis,hɑtoˈṛɑ,audited close correspondence
750,KhapaluBalti,hʌtʰoṛɑ,hammer,hɜtʰoɽɑ,14028,0.286,Gupis,hɑtoˈṛɑ,audited close correspondence
751,KharmangBalti,hʌtʰoṛɑ,hammer,hɜtʰoɽɑ,14028,0.286,Gupis,hɑtoˈṛɑ,audited close correspondence
752,ChorbatBalti,hʌtʰoṛɑ,hammer,hɜtʰoɽɑ,14028,0.286,Gupis,hɑtoˈṛɑ,audited close correspondence
753,SkarduPurki,hʌtʰoṛɑ,hammer,hɜtʰoɽɑ,14028,0.286,Gupis,hɑtoˈṛɑ,audited close correspondence
1031,ShigarBalti,bɛŋgʌn,eggplant,bɛŋgɜn̪,11503,0.167,Domaaki,bæŋgʌn,unique close phonological match
1033,KhapaluBalti,bɛŋgʌn,eggplant,bɛŋgɜn̪,11503,0.167,Domaaki,bæŋgʌn,unique close phonological match
1034,KharmangBalti,bɛŋgʌn,eggplant,bɛŋgɜn̪,11503,0.167,Domaaki,bæŋgʌn,unique close phonological match
2209,Hussainabad,gɑũ,village,gɑũ,4368,0.333,Rondu,gɑm,audited close correspondence
2210,Murtazabad,gɪˈrʌm,village,gɪˈɾ̪ɜm,4368,0.200,Domaaki,girom,unique close phonological match
2211,Haiderabad,gɪˈrʌm,village,gɪˈɾ̪ɜm,4368,0.200,Domaaki,girom,unique close phonological match
2212,Ganish,giˈrʌm,village,giˈɾ̪ɜm,4368,0.200,Domaaki,girom,unique close phonological match
2213,NazimabadUpperSust,giˈrʌm,village,giˈɾ̪ɜm,4368,0.200,Domaaki,girom,unique close phonological match
2214,UyumNagar,gɪˈrʌm,village,gɪˈɾ̪ɜm,4368,0.200,Domaaki,girom,unique close phonological match
2215,Hoper,giˈrʌm,village,giˈɾ̪ɜm,4368,0.200,Domaaki,girom,unique close phonological match
2271,Murtazabad,hɑtoˈrɑ,hammer,hɑt̪oˈɾ̪ɑ,14028,0.000,Gupis,hɑtoˈṛɑ,unique close phonological match
2272,Haiderabad,hɑtoˈrɑ,hammer,hɑt̪oˈɾ̪ɑ,14028,0.000,Gupis,hɑtoˈṛɑ,unique close phonological match
2275,UyumNagar,pɸʌˈtiil,hammer,pɸɜˈt̪iil,11385,0.286,Domaaki,pʰʌṭil,audited close correspondence
2276,Hoper,hɑtoˈrʌ,hammer,hɑt̪oˈɾ̪ɜ,14028,0.000,Bunji,hɑtoˈṛʌ̱,unique close phonological match
2277,YasinCenter,hɑtuˈrʌ,hammer,hɑt̪uˈɾ̪ɜ,14028,0.167,Bunji,hɑtoˈṛʌ̱,unique close phonological match
2278,ThuiYasin,hɑtuˈrʌ,hammer,hɑt̪uˈɾ̪ɜ,14028,0.167,Bunji,hɑtoˈṛʌ̱,unique close phonological match
2435,Hussainabad,nironɑˈɑn,rainbow,n̪ir̪on̪ɑˈɑn̪,1577,0.250,NazimabadUpperSust,niroˈnɑŋ,unique close phonological match
2436,Murtazabad,nironɑˈɑn,rainbow,n̪ir̪on̪ɑˈɑn̪,1577,0.250,NazimabadUpperSust,niroˈnɑŋ,unique close phonological match
2437,Haiderabad,nironɑˈɑɣ,rainbow,n̪ir̪on̪ɑˈɑɣ,1577,0.250,NazimabadUpperSust,niroˈnɑŋ,unique close phonological match
2438,Ganish,niironɑˈɑn,rainbow,n̪iir̪on̪ɑˈɑn̪,1577,0.333,NazimabadUpperSust,niroˈnɑŋ,audited close correspondence
2440,UyumNagar,biǰ̣oˈon,rainbow,bidʑoˈon̪,12052,0.143,Dras,biˈǰon,unique close phonological match
2441,Hoper,biǰ̣oˈon,rainbow,bidʑoˈon̪,12052,0.143,Dras,biˈǰon,unique close phonological match
2563,Hussainabad,čʰʌṣ̌,thorn,tɕʰɜʂ,2589,0.200,Domaaki,čʰõṣ̌,unique close phonological match
2564,Murtazabad,čʰʌṣ̌,thorn,tɕʰɜʂ,2589,0.200,Domaaki,čʰõṣ̌,unique close phonological match
2565,Haiderabad,čʰʌṣ̌,thorn,tɕʰɜʂ,2589,0.200,Domaaki,čʰõṣ̌,unique close phonological match
2566,Ganish,čʰʌṣ̌,thorn,tɕʰɜʂ,2589,0.200,Domaaki,čʰõṣ̌,unique close phonological match
2567,NazimabadUpperSust,čʰʌṣ̌,thorn,tɕʰɜʂ,2589,0.200,Domaaki,čʰõṣ̌,unique close phonological match
2568,UyumNagar,čʰʌṣ̌,thorn,tɕʰɜʂ,2589,0.200,Domaaki,čʰõṣ̌,unique close phonological match
2569,Hoper,čʰʌṣ̌,thorn,tɕʰɜʂ,2589,0.200,Domaaki,čʰõṣ̌,unique close phonological match
2570,YasinCenter,čʰʌš,thorn,tɕʰɜɕ,2589,0.200,Domaaki,čʰõṣ̌,unique close phonological match
