Tab,Sheet_Row,Variant,Form,Gloss,Page,Legacy_Key,Score,Reason
Nagaraja,2,1,bebhum,"dull (knife, etc.)",,nagaraja2014-wiktionary:159,1.0000,exact_form_gloss
Nagaraja,3,1,pareskam-be,to press/iron (cloth),,nagaraja2014-wiktionary:1309,1.0000,exact_form_gloss
Nagaraja,4,1,saykal,bicycle,,nagaraja2014-wiktionary:1501,1.0000,exact_form_gloss
Nagaraja,5,1,sikrut,cigarette,,nagaraja2014-wiktionary:1531,1.0000,exact_form_gloss
Nagaraja,6,1,narsakoːl,nurse,,nagaraja2014-wiktionary:1217,1.0000,exact_form_gloss
Nagaraja,7,1,palaːt,plot,,nagaraja2014-wiktionary:1304,1.0000,exact_form_gloss
Nagaraja,8,1,aːgaːn,to fill (belly),,nagaraja2014-wiktionary:61,1.0000,exact_form_gloss
Nagaraja,9,1,araːy,two and half,,nagaraja2014-wiktionary:41,1.0000,exact_form_gloss
Nagaraja,10,1,bheyra aːḍḍo,behera tree,,nagaraja2014-wiktionary:225,1.0000,exact_form_gloss
Nagaraja,11,1,chaṭaːk,1/16 of a seer,,nagaraja2014-wiktionary:373,1.0000,exact_form_gloss
Nagaraja,12,1,dhaːwra,gum tree,,nagaraja2014-wiktionary:496,1.0000,exact_form_gloss
Nagaraja,13,1,ghuːrka,to go for defecation,,nagaraja2014-wiktionary:653,1.0000,exact_form_gloss
Nagaraja,14,1,hona-,to need,,nagaraja2014-wiktionary:737,1.0000,exact_form_gloss
Nagaraja,15,1,jabraːy,to rape,,nagaraja2014-wiktionary:772,1.0000,exact_form_gloss
Nagaraja,16,1,kaːyni-be,"to say, repeat",,nagaraja2014-wiktionary:935,1.0000,exact_form_gloss
Nagaraja,17,1,kaːki,father’s younger brother’s wife,,nagaraja2014-wiktionary:915,1.0000,exact_form_gloss
Nagaraja,18,1,karela,bitter gourd,,nagaraja2014-wiktionary:885,1.0000,exact_form_gloss
Nagaraja,19,1,kattha,catechu,,nagaraja2014-wiktionary:901,1.0000,exact_form_gloss
Nagaraja,20,1,khabor maːnso,messenger,,nagaraja2014-wiktionary:951,1.0000,exact_form_gloss
Nagaraja,21,1,ko(l)lya,"fuel, charcoal, jackal",,nagaraja2014-wiktionary:1017,1.0000,exact_form_gloss
Nagaraja,22,1,kubḍya,hunchback,,nagaraja2014-wiktionary:1050,1.0000,exact_form_gloss
