Snapshot_Date,Unit_ID,PDF_Page,Printed_Page,Section,Raw_Record_Type,Raw_Form,Raw_Gloss,Raw_Target_System,Raw_Target_ID,Raw_Claim_Status,Raw_Editorial_Action,Final_Status,Final_Form,Final_Parameter_ID,Final_Claim_Status,Emitted_Keys,Entry_Text_Targets,Resolution,Agent_Correction,Review,Material_Error,Source,Record_SHA256
2026-08-19,p441:s2.2:u03,3,441,2.2,attestation,"mār; pl. māk, oblique pl. māt-",son,none,,accepted,context_only,entry_text_only,,,accepted,,d5078|d996|d4986|d3133|d3098,"comparative, phonological, or dictionary-correction prose retained without fabricating a lexical row",,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 441, §2.2]",4dbf135be2ec7c104d82d08990d202e38eec364f398ce04aac54574154b5834a
2026-08-19,p443:s6:u01,5,443,6,attestation,kužing,to shrink in fear,none,,accepted,context_only,installed_form,kūžing,,accepted,emeneau1997brahui:p443:s6:kuzing,,image-checked canonical form installed; accepted links are direct and tentative links use the ranked overlay,,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 443, §6]",9cbc8edca334969c35de45db724b1e23c95256cadf140b66137f0ae6d5a5d3a6
2026-08-19,p446:s15:u05,8,446,15,unresolved_etymology,"dūi, duwi",tongue,CDIAL,5228,unresolved,retain_unlinked,installed_form,dūī|duwī,,unresolved,emeneau1997brahui:p446:fn6:dui|emeneau1997brahui:p446:fn6:duwi,5228,image-checked canonical form installed; accepted links are direct and tentative links use the ranked overlay,"image-checked forms normalized to dūī, duwī; CDIAL 5228 remains only a hypothesis",source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 446, fn. 6]",fb5b91b25c30ecf097122bb7b422e81c6f8817e128c98cc7ed11cd9233e74a44
2026-08-19,p441:s2.2:u02,3,441,2.2,attestation,"dīr; pl. dīk, oblique pl. dīt-",water,none,,accepted,context_only,entry_text_only,,,accepted,,d5078|d996|d4986|d3133|d3098,"comparative, phonological, or dictionary-correction prose retained without fabricating a lexical row",,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 441, §2.2]",08c08df8205fcb1246a842ce1b78b0f497f1d08ff5c953620d448eef0e30b29e
2026-08-19,p441:s2.2:u01,3,441,2.2,sound_change,"r (< *r, *r̥, *r̥) + consonant; l (< *l, *ḷ) + consonant",simplification of consonant clusters,none,,accepted,record_rule,entry_text_only,,,accepted,,d5078|d996|d4986|d3133|d3098,"comparative, phonological, or dictionary-correction prose retained without fabricating a lexical row",,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 441, §2.2]",10742b0cd90f2deb790b3b216febd3aad0a7f3fe9f78d40efc08369f70ee2887
2026-08-19,p444:sfoot:u01,6,444,8.1,explicit_non_brahui_addition,cikap-,"to lick, suck",DEDR,2621a,accepted,add_form,installed_form,cīkap-,,accepted,emeneau1997brahui:p444:fn3:cikap,d2621,image-checked canonical form installed; accepted links are direct and tentative links use the ranked overlay,image-checked vowel length restored: cīkap-,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 444, footnote 3]",002e5878ba60797ed4f018b2330c3767d998ffbdae72f4f279a315ddbaef5d9b
2026-08-19,p443:s6:u05,5,443,6,reflex_claim,pužža (Bray: puzhzha),human hair,DEDR,4477,suggested,add_form,installed_form,pužža,,suggested,emeneau1997brahui:p443:s6:puzza,d4477|d4476,image-checked canonical form installed; accepted links are direct and tentative links use the ranked overlay,"'might belong' is a ranked hypothesis, not an installed direct reflex",source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 443, §6]",84f13c65d8e9e919988c67cd0718ea2b70c4be0ad65098ad166f7af0ba050977
2026-08-19,p443:s6:u06,5,443,6,reflex_claim,pōs,vulva,DEDR,4476,accepted,add_citation,entry_text_only,,,accepted,,d4477|d4476,"comparative, phonological, or dictionary-correction prose retained without fabricating a lexical row",,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 443, §6]",7a855aef08eb8f1e178be945a89e0275f776ea95d7d1d083b2eeda583349cc9d
2026-08-19,p443:s6:u07,5,443,6,reflex_claim,kuž-,"to be shy, recoil, shrink back; to be shy, dread; to be afraid; to hesitate",DEDR,1876,queried,retain_unlinked,installed_form,kūžing,,queried,emeneau1997brahui:p443:s6:kuzing,d1876|d2687,image-checked canonical form installed; accepted links are direct and tentative links use the ranked overlay,,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 443, §6]",63acfc06a186686c6291ea52e75a6159e0a50bbe0cb18a51d36cef75dddd78ed
2026-08-19,p441:s2.2:u09,3,441,2.2,reflex_claim,mux,"waist, loins",DEDR,4986 (*mulk-),accepted,add_form,installed_form,mux,d4986,accepted,emeneau1997brahui:p441:s2.2:mux,,image-checked canonical form installed; accepted links are direct and tentative links use the ranked overlay,,source-image-verified by editorial reconciliation,no,"emeneau1997brahui[p. 441, §2.2]",1dd9169b3df0ce0acbc2413d7da5d02362b2deef0d65e48a60cdb4ce4b3998f7
