Snapshot_Date,Collation_Date,Unit_ID,PDF_Page,Printed_Page,Section,Span_Index,Raw_Form,Raw_Gloss,Status,Reason,Final_Forms,Final_Gloss,Final_Tags,Etymology,Emitted_Keys,Review,Material_Error,Source,Record_SHA256
2026-08-25,2026-08-25,1:1,1,123,1,1,"…d language, Gypsy language, Indo-Aryan language, Romani, Romāno, Zargari . Introduction Zargari, which is also known as",Romāno,x-meta,"metalinguistic prose, an English gloss of a preceding gloss, a reconstruction, or a quotation",,,,,,"the speakers' own name for the language, quoted as a name rather than glossed",no,"rezaibaghbidi2003zargari[p. 123, section 1]",96cad835eb6ab6cbe154e6bac6fdc1ad826d6def91c71065011629c2c5f3bd46
2026-08-25,2026-08-25,1:2,2,124,1,2,"…m Kabul, Afghanistan), but its derivation from the Gypsy word kālā or kāūlā (cf. Hindi kālā, Zargari kālo/qālo), meaning","black, dark",ingest,Zargari lexical item glossed by the source,kālo/qālo,black; dark,adj,"The Gypsy word kālā or kāūlā, cf. Hindi kālā.",rezaibaghbidi2003zargari:p124:s1:i2 rezaibaghbidi2003zargari:p124:s1:i2:variant:2,Zargari forms cited parenthetically inside the etymology of the Iranian ethnonym Kowli,no,"rezaibaghbidi2003zargari[p. 124, section 1]",13d77b1506aef8949b14ecf25caf6e278887723b78bd0d71c822a7e76bf1da7e
2026-08-25,2026-08-25,1:3,3,125,1,3,"There were three goldsmith brothers, hence their Persian name zargar",goldsmith,x-donor,"donor-language form cited as an etymon, not a Zargari attestation",,,,,,"Persian zargar 'goldsmith', quoted inside the village elder's account",no,"rezaibaghbidi2003zargari[p. 125, section 1]",6538fab7a1a5b8002bd1b4feb4354b579bb6cd202f06ca0252db818b01cacba2
2026-08-25,2026-08-25,2.3.1:1,5,127,2.3.1,1,pani,water,ingest,Zargari lexical item glossed by the source,pani/pāni/phani/bani,water,noun,"Hindi pānī, Sanskrit pānīya-, cf. Qorbati of Širāz punew, punu; Qorbati of Sabzevār, Qā'enāt and Neyšābur panew, punew, punow.",rezaibaghbidi2003zargari:p127:s2.3.1:i1 rezaibaghbidi2003zargari:p127:s2.3.1:i1:variant:2 rezaibaghbidi2003zargari:p127:s2.3.1:i1:variant:3 rezaibaghbidi2003zargari:p127:s2.3.1:i1:variant:4,phani and bani are the printed outputs of the aspiration/voicing tendency; the spelling pāni and the comparanda are printed at 5.4,no,"rezaibaghbidi2003zargari[p. 127, section 2.3.1]",99f6ade8684bad6fbcda4b01f70c2931e7b335a3915d8066df4f6ac9167f19f5
2026-08-25,2026-08-25,2.3.2:1,5,127,2.3.2,1,les-dād [lez-dād],his father,x-phrase,multi-word phrase example outside a lexical list; the component lexemes are not separately glossed,,,,,,,no,"rezaibaghbidi2003zargari[p. 127, section 2.3.2]",0c62fb5dbb823fc9a469ff0bfbb6f35ca40d402dd0f5f4cbc6828622699dca1c
2026-08-25,2026-08-25,2.3.3:1,5,127,2.3.3,1,pašana [phašana],mosquitto,ingest,Zargari lexical item glossed by the source,pašana,mosquito,noun,,rezaibaghbidi2003zargari:p127:s2.3.3:i1,printed gloss 'mosquitto'; the aspirated realization [phašana] is phonetic,no,"rezaibaghbidi2003zargari[p. 127, section 2.3.3]",5cd33c6ed74d238432f61b721895a815a55eac03b619a062230485a8318fb768
2026-08-25,2026-08-25,2.3.4:1,5,127,2.3.4,1,khitabi or kithabi,book,ingest,Zargari lexical item glossed by the source,khitabi/kithabi,book,noun,,rezaibaghbidi2003zargari:p127:s2.3.4:i1 rezaibaghbidi2003zargari:p127:s2.3.4:i1:variant:2,,no,"rezaibaghbidi2003zargari[p. 127, section 2.3.4]",a82d26046dd4322aeb517e8166e14b74c2f4fe597ddc1e977a1770d90825e349
2026-08-25,2026-08-25,2.3.5:1,5,127,2.3.5,1,dikh [dik],See!,ingest,Zargari lexical item glossed by the source,dikh,see!,verb impv 2sg,,rezaibaghbidi2003zargari:p127:s2.3.5:i1,the deaspirated realization [dik] is phonetic,no,"rezaibaghbidi2003zargari[p. 127, section 2.3.5]",aff9d16f16af07a2097b10c45d637b643809f53247151346956ac8c5027c5eaa
2026-08-25,2026-08-25,2.3.6:1,5,127,2.3.6,1,bax(t),luck,ingest,Zargari lexical item glossed by the source,baxt/bax,luck,noun,,rezaibaghbidi2003zargari:p127:s2.3.6:i1 rezaibaghbidi2003zargari:p127:s2.3.6:i1:variant:2,the source prints bax(t) for the optional final cluster,no,"rezaibaghbidi2003zargari[p. 127, section 2.3.6]",de787800866eaaa10f527d00713fab1ca378c87d0d5b98ffb3ecb3551828fe27
2026-08-25,2026-08-25,2.3.7:1,5,127,2.3.7,1,toppā,ball,ingest,Zargari lexical item glossed by the source,toppā,ball,noun,,rezaibaghbidi2003zargari:p127:s2.3.7:i1,,no,"rezaibaghbidi2003zargari[p. 127, section 2.3.7]",9652a32ae283d1f55eb3996cc16b243939a71f93ea2603c8953c2e87cae9794c
