Record_Type,Report,Printed_Page,Gloss_Number,Gloss,Site_Code,Site_Name,Dialect_Group,Response,Similarity_Group,Raw_Transcription,Transcription,Review,Uncertainty,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Key
expanded wordlist attestation,kim-kim2008meitei,45,1,sky,0,Standard Bangla,comparison control,1,1,aka,akaʃ,official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0,,excluded,standard Bangla comparison list; not Meitei,,,"kim-kim2008meitei[Appendix B.3, printed p. 45, item 1, Standard Bangla]",
expanded wordlist attestation,kim-kim2008meitei,45,1,sky,1,Mukabil,"Pangal community, Bangladesh",1,2,asman,asman,official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0,,installed,,Manipuri,sil-meitei-2008-mukabil,"kim-kim2008meitei[Appendix B.3, printed p. 45, item 1, Mukabil]",silmeitei2008:g001:sil-meitei-2008-mukabil:i1
expanded wordlist attestation,kim-kim2008meitei,45,1,sky,6,Kunagaon,"Meitei community, Bangladesh",1,2,asman,asman,official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0,,installed,,Manipuri,sil-meitei-2008-kunagaon,"kim-kim2008meitei[Appendix B.3, printed p. 45, item 1, Kunagaon]",silmeitei2008:g001:sil-meitei-2008-kunagaon:i1
expanded wordlist attestation,kim-kim2008meitei,45,1,sky,7,Lilong Bazaar,Manipur comparison variety,1,3,ti,ɐtiɐ,official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0,,installed,,Manipuri,sil-meitei-2008-lilong-bazaar,"kim-kim2008meitei[Appendix B.3, printed p. 45, item 1, Lilong Bazaar]",silmeitei2008:g001:sil-meitei-2008-lilong-bazaar:i1
expanded wordlist attestation,kim-kim2008meitei,45,1,sky,8,Imphal,Manipur comparison variety,1,3,ti,ɐtiɐ,official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0,,installed,,Manipuri,sil-meitei-2008-imphal,"kim-kim2008meitei[Appendix B.3, printed p. 45, item 1, Imphal]",silmeitei2008:g001:sil-meitei-2008-imphal:i1
expanded wordlist attestation,kim-kim2008meitei,45,1,sky,2,Humerjan,"Meitei community, Bangladesh",1,3,atija,atija,official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0,,installed,,Manipuri,sil-meitei-2008-humerjan,"kim-kim2008meitei[Appendix B.3, printed p. 45, item 1, Humerjan]",silmeitei2008:g001:sil-meitei-2008-humerjan:i1
expanded wordlist attestation,kim-kim2008meitei,45,1,sky,3,Shivganj,"Meitei community, Bangladesh",1,3,atija,atija,official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0,,installed,,Manipuri,sil-meitei-2008-shivganj,"kim-kim2008meitei[Appendix B.3, printed p. 45, item 1, Shivganj]",silmeitei2008:g001:sil-meitei-2008-shivganj:i1
expanded wordlist attestation,kim-kim2008meitei,45,1,sky,4,Shivnagar,"Meitei community, Bangladesh",1,3,atija,atija,official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0,,installed,,Manipuri,sil-meitei-2008-shivnagar,"kim-kim2008meitei[Appendix B.3, printed p. 45, item 1, Shivnagar]",silmeitei2008:g001:sil-meitei-2008-shivnagar:i1
expanded wordlist attestation,kim-kim2008meitei,45,1,sky,5,Choto Dhamai,"Meitei community, Bangladesh",1,3,atija,atija,official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0,,installed,,Manipuri,sil-meitei-2008-choto-dhamai,"kim-kim2008meitei[Appendix B.3, printed p. 45, item 1, Choto Dhamai]",silmeitei2008:g001:sil-meitei-2008-choto-dhamai:i1
expanded wordlist attestation,kim-kim2008meitei,45,1,sky,6,Kunagaon,"Meitei community, Bangladesh",2,3,atija,atija,official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0,,installed,,Manipuri,sil-meitei-2008-kunagaon,"kim-kim2008meitei[Appendix B.3, printed p. 45, item 1, Kunagaon]",silmeitei2008:g001:sil-meitei-2008-kunagaon:i2
