Row,Language_ID,Form,Gloss,Phonemic,Parameter_ID,Distance,Evidence_Language_ID,Evidence_Form,Evidence_Source,Decision,Notes
488,Astor,laáṭhi,down(hill),laáṭhi,10995,0.167,Sh,lātʰi,CDIAL,yes,audited Shinaic database match
495,koh,beláa,evening,beláa,11626,0.286,gil,belakā̌l,backstrom1992,yes,audited Shinaic database match
496,koh,beláaṛ,evening,beláaṛ,11626,0.286,gil,belakā̌l,backstrom1992,yes,audited Shinaic database match
498,gil,máaz,month,máaz,10104,0.250,HunzaNasirabad,māz,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
499,koh,móos,month,móos,10104,0.000,Gupis,mōs,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
500,gur,móos,month,móos,10104,0.000,Gupis,mōs,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
501,Astor,móos,month,móos,10104,0.000,Gupis,mōs,backstrom1992,yes,"audited Shinaic database match; targets Indo-Aryan etymon, not Proto-Indo-Iranian"
530,gil,luṣṭikaál,morning,luṣṭikaál,10792,0.333,NagarThol,luṣṭikō,backstrom1992,yes,audited Shinaic database match
531,koh,loṣkí,morning,loṣkí,10792,0.167,pales,lōśikī,backstrom1992,yes,audited Shinaic database match
533,gur,lóoṣṭei~,morning,lóoṣṭei~,10792,0.250,DashkinAstor,loṣṭei,backstrom1992,yes,audited Shinaic database match
534,Astor,lóoṣṭei~,morning,lóoṣṭei~,10792,0.250,DashkinAstor,loṣṭei,backstrom1992,yes,audited Shinaic database match
536,gil,ráati,night,ráati,10702,0.000,Gupis,rā̌tī,backstrom1992,yes,audited Shinaic database match
537,koh,ráati,night,ráati,10702,0.000,Gupis,rā̌tī,backstrom1992,yes,audited Shinaic database match
538,gur,ráati,night,ráati,10702,0.000,Gupis,rā̌tī,backstrom1992,yes,audited Shinaic database match
539,Astor,ráati,night,ráati,10702,0.000,Gupis,rā̌tī,backstrom1992,yes,audited Shinaic database match
560,gil,aš,today,aš,242,0.000,Gupis,aś,backstrom1992,yes,audited Shinaic database match
561,koh,aš,today,aš,242,0.000,Gupis,aś,backstrom1992,yes,audited Shinaic database match
562,gur,aš,today,aš,242,0.000,Gupis,aś,backstrom1992,yes,audited Shinaic database match
563,Astor,aš,today,aš,242,0.000,Gupis,aś,backstrom1992,yes,audited Shinaic database match
564,gil,ají,up(hill),ají,274,0.333,Phal,ajá,strand,yes,audited Shinaic database match
566,koh,ají,up(hill),ají,274,0.333,Phal,ajá,strand,yes,audited Shinaic database match
567,gur,ajá,up(hill),ajá,274,0.000,Phal,ajá,strand,yes,audited Shinaic database match
576,gur,yoónu,winter,yoónu,2454,0.200,Sh,yōnu,CDIAL,yes,audited Shinaic database match
578,gil,kaál,year,kaál,3084,0.000,Phal,kā̌l,liljegren,yes,audited Shinaic database match
579,koh,kaál,year,kaál,3084,0.000,Phal,kā̌l,liljegren,yes,audited Shinaic database match
580,gil,baríš,year,baríš,11392,0.000,punl,bariṣ,backstrom1992,yes,audited Shinaic database match
581,gil,sáal,year,sáal,3084,0.250,Phal,kā̌l,liljegren,yes,audited Shinaic database match
582,Astor,sáal,year,sáal,3084,0.250,Phal,kā̌l,liljegren,yes,audited Shinaic database match
585,gil,sum,earth,sum,13493,0.000,Phal,sum,CDIAL,no,CDIAL labels the sum earth comparison very doubtful
