Status,Reason,Review_State,Review_Reason,Entry_Key,PDF_Page,Printed_Page,Column,Top,Raw_OCR,Raw_Head,Form,Variants,POS,Gloss,Tags,Reference,DEDR_IDs,Unresolved_DEDR_IDs,Etymology,OCR_Confidence
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c1:y0111,23,3,1,111,"a- deictic base that one; remote
demonstrative (in space, time or
context) DEDR 1",a-,a-,,base.,"that one; remote demonstrative (in space, time or context)",demonstrative uncertain,"hockings-pilotraichoor1992[p. 3, col. 1]",1,,Hockings and Pilot-Raichoor cite DEDR 1,94.18
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c1:y0144,23,3,1,144,-a/-na/-ya/-va ACC sfx,-a/-na/-ya/-va,-a,-na|-ya|-va,sfx.,acc suffix,suffix uncertain alternate,"hockings-pilotraichoor1992[p. 3, col. 1]",,,,94.55
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c1:y0155,23,3,1,155,-a/-na/-ya/-da GEN sfx,-a/-na/-ya/-da,-a,-na|-ya|-da,sfx.,gen suffix,suffix uncertain alternate,"hockings-pilotraichoor1992[p. 3, col. 1]",,,,30.71
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c1:y0167,23,3,1,167,-a infinitive sfx (vb. stem 0 +a),-a,-a,,sfx.,(vb. stem 0 +a),suffix uncertain,"hockings-pilotraichoor1992[p. 3, col. 1]",,,,91.89
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c1:y0178,23,3,1,178,"-a the final of adjectival participles:
vb.+S1+a is non-past adj. P.; vb.
+S2+a is a past adj. P., vb.+a:d+
ais a NEG adj. P.",-a,-a,,adj.p.,"the final of adjectival participles: vb.+S1+a is non-past ; +S2+a is a past , vb.+a:d+ ais a NEG",adj participle verb uncertain,"hockings-pilotraichoor1992[p. 3, col. 1]",,,,89.59
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c1:y0221,23,3,1,221,"(A-1) adj. A-1, first class, top qua-
lity (< Eng.)",(A-1),(A-1),,adj.,"A-1, first class, top quality",adj uncertain,"hockings-pilotraichoor1992[p. 3, col. 1]",,,(< Eng.),92.50
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c1:y0243,23,3,1,243,"ai/agi vt. to munch, chew (aiv-,
aid-, or agib-, agid-)",ai/agi,ai,agi,vt.,"to munch, chew (aiv-, aid-, or agib-, agid-)",verb tr uncertain alternate,"hockings-pilotraichoor1992[p. 3, col. 1]",,,,92.23
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c1:y0264,23,3,1,264,"aikiya n. 1. oneness, unity; 2. last
of the six stages of life through
which a Lingayat passes, union of
a soul with the Divine Soul or God
(cf. Skt. aikya, ‘oneness, unity,
identity’)",aikiya,aikiya,,n.,"1. oneness, unity; 2. last of the six stages of life through which a Lingayat passes, union of a soul with the Divine Soul or God",noun uncertain,"hockings-pilotraichoor1992[p. 3, col. 1]",,,"(cf. Skt. aikya, ‘oneness, unity, identity’)",94.88
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c1:y0328,23,3,1,328,"aigua n. five measures (ca 18.53
litres; < aidutkolaga, ‘five+mea-
sures’) DEDR 2826, 1827b",aigua,aigua,,n.,five measures,noun uncertain,"hockings-pilotraichoor1992[p. 3, col. 1]",2826|1827,,"(ca 18.53 litres; < aidutkolaga, ‘five+measures’); Hockings and Pilot-Raichoor cite DEDR 2826, 1827",85.21
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c1:y0361,23,3,1,361,"aida/agida adj. P. munching,
chewing (< ai, ‘to munch’+S2+ a)
? DEDR 16",aida/agida,aida,agida,adj.p.,"munching, chewing",adj participle uncertain alternate,"hockings-pilotraichoor1992[p. 3, col. 1]",16,,"(< ai, ‘to munch’+S2+ a); Hockings and Pilot-Raichoor cite DEDR 16",91.09
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c1:y0395,23,3,1,395,aida:vadu num. fifth DEDR 2826,aida:vadu,aida:vadu,,num.,fifth,num uncertain,"hockings-pilotraichoor1992[p. 3, col. 1]",2826,,Hockings and Pilot-Raichoor cite DEDR 2826,94.14
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c1:y0406,23,3,1,406,"aidu num, five (an auspicious num-
ber; Emeneau 1939: 47 recorded
aydu) DEDR 2826
aidu beralu samava:—Are the five fin-
gers even? (Prov. 18)",aidu,aidu,,num.,five,num uncertain,"hockings-pilotraichoor1992[p. 3, col. 1]",2826,,(an auspicious number; Emeneau 1939: 47 recorded aydu); Hockings and Pilot-Raichoor cite DEDR 2826,93.11
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c1:y0463,23,3,1,463,"aidu mani gidu/a:ru mani gidu
n. evening primrose (lit. five-hour-
plant, Œnothera odorata, Œ. ro-
sea, Œ. tetraptera; Hooker 1872-
97: II, 582; Fyson 1915: 160-61;
1932:236; Matthew 1983: 625)
DEDR 2826, 4672, 1941",aidu mani gidu/a:ru mani gidu,aidu mani gidu,a:ru mani gidu,n.,evening primrose,noun uncertain alternate,"hockings-pilotraichoor1992[p. 3, col. 1]",2826|4672|1941,,"(lit. five-hourplant, Œnothera odorata, Œ. rosea, Œ. tetraptera; Hooker 1872- 97: II, 582; Fyson 1915: 160-61; 1932:236; Matthew 1983: 625); Hockings and Pilot-Raichoor cite DEDR 2826, 4672, 1941",90.57
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c1:y0539,23,3,1,539,"ainu:ra:vadu num. five hundredth
DEDR 2826, 3729",ainu:ra:vadu,ainu:ra:vadu,,num.,five hundredth,num uncertain,"hockings-pilotraichoor1992[p. 3, col. 1]",2826|3729,,"Hockings and Pilot-Raichoor cite DEDR 2826, 3729",94.45
ingested,,needs_transcription_review,fresh unreviewed OCR; plain t/d/n/l may conceal a lost printed retroflex dot,hockings-pilotraichoor1992:p3:c1:y0561,23,3,1,561,"ainu:ru num. five hundred (Eme-
neau 1939:47 recorded aymuru)
A
DEDR 2826, 3729",ainu:ru,ainu:ru,,num.,five hundred A,num uncertain,"hockings-pilotraichoor1992[p. 3, col. 1]",2826|3729,,"(Emeneau 1939:47 recorded aymuru); Hockings and Pilot-Raichoor cite DEDR 2826, 3729",92.94
