Record_Type,Source_Key,PDF_Page,Printed_Page,Concept,Gloss,Lect,Scope,Category,Response_Index,Raw_Form,Form,Notes,Status,Reason,Language_ID,Dialect_ID,Citation,Entry_Key
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Rathwi Pauri-Amalwadi,regional list,4,1,Rathwi Pauri-Amalwadi 4 ɖil ̪,ɖil̪,,installed,,RathwiBareli,sil-bareli-2018-rathwi-pauri-amalwadi,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Rathwi Pauri-Amalwadi]",silbareli2018:g001:sil-bareli-2018-rathwi-pauri-amalwadi:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Rathwi Pauri-Segwi,regional list,2,1,Rathwi Pauri-Segwi 2 dh̪ʌɖ,dh̪ʌɖ,,installed,,RathwiBareli,sil-bareli-2018-rathwi-pauri-segwi,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Rathwi Pauri-Segwi]",silbareli2018:g001:sil-bareli-2018-rathwi-pauri-segwi:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Rathwi Bareli-Tharadpura,regional list,4,1,Rathwi Bareli-Tharadpura 4 ɖil,ɖil,,installed,,RathwiBareli,sil-bareli-2018-rathwi-bareli-tharadpura,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Rathwi Bareli-Tharadpura]",silbareli2018:g001:sil-bareli-2018-rathwi-bareli-tharadpura:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Rathwi Bareli-Udainagar,regional list,4,1,Rathwi Bareli-Udainagar 4 ɖil,ɖil,,installed,,RathwiBareli,sil-bareli-2018-rathwi-bareli-udainagar,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Rathwi Bareli-Udainagar]",silbareli2018:g001:sil-bareli-2018-rathwi-bareli-udainagar:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Rathwi Bareli-Chiklia,regional list,4,1,Rathwi Bareli-Chiklia 4 ɖil,ɖil,,installed,,RathwiBareli,sil-bareli-2018-rathwi-bareli-chiklia,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Rathwi Bareli-Chiklia]",silbareli2018:g001:sil-bareli-2018-rathwi-bareli-chiklia:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Rathwi-Chenpur,regional list,4,1,Rathwi-Chenpur 4 ɖil,ɖil,,installed,,RathwiBareli,sil-bareli-2018-rathwi-chenpur,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Rathwi-Chenpur]",silbareli2018:g001:sil-bareli-2018-rathwi-chenpur:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Rathwi-Dongargaon,regional list,4,1,Rathwi-Dongargaon 4 ɖil,ɖil,,installed,,RathwiBareli,sil-bareli-2018-rathwi-dongargaon,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Rathwi-Dongargaon]",silbareli2018:g001:sil-bareli-2018-rathwi-dongargaon:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bhilali-Bodugam,regional list,4,1,Bhilali-Bodugam 4 ɖil,ɖil,,installed,,Bhilali,sil-bareli-2018-bhilali-bodugam,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bhilali-Bodugam]",silbareli2018:g001:sil-bareli-2018-bhilali-bodugam:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bhili-Punyawat,regional list,1,1,Bhili-Punyawat 1 de̪hi,de̪hi,,installed,,Bhili,sil-bareli-2018-bhili-punyawat,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bhili-Punyawat]",silbareli2018:g001:sil-bareli-2018-bhili-punyawat:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bhili-Anjhera,regional list,4,1,Bhili-Anjhera 4 ɖil,ɖil,,installed,,Bhili,sil-bareli-2018-bhili-anjhera,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bhili-Anjhera]",silbareli2018:g001:sil-bareli-2018-bhili-anjhera:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bhilali-Anjhera,regional list,3,1,Bhilali-Anjhera 3 seɾi,seɾi,,installed,,Bhilali,sil-bareli-2018-bhilali-anjhera,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bhilali-Anjhera]",silbareli2018:g001:sil-bareli-2018-bhilali-anjhera:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bhilali-Mandwi,regional list,3,1,Bhilali-Mandwi 3 sɛɾi,sɛɾi,,installed,,Bhilali,sil-bareli-2018-bhilali-mandwi,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bhilali-Mandwi]",silbareli2018:g001:sil-bareli-2018-bhilali-mandwi:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bhilali-Navalpura,regional list,4,1,Bhilali-Navalpura 4 ɖil,ɖil,,installed,,Bhilali,sil-bareli-2018-bhilali-navalpura,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bhilali-Navalpura]",silbareli2018:g001:sil-bareli-2018-bhilali-navalpura:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bhilali-Agar,regional list,1,1,Bhilali-Agar 1 de̪hi,de̪hi,,installed,,Bhilali,sil-bareli-2018-bhilali-agar,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bhilali-Agar]",silbareli2018:g001:sil-bareli-2018-bhilali-agar:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bhilali-Udaigadh,regional list,4,1,Bhilali-Udaigadh 4 ɖil,ɖil,,installed,,Bhilali,sil-bareli-2018-bhilali-udaigadh,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bhilali-Udaigadh]",silbareli2018:g001:sil-bareli-2018-bhilali-udaigadh:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bhilali-Kattivada,regional list,1,1,Bhilali-Kattivada 1 de̪hi,de̪hi,,installed,,Bhilali,sil-bareli-2018-bhilali-kattivada,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bhilali-Kattivada]",silbareli2018:g001:sil-bareli-2018-bhilali-kattivada:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Parya Bhilali-Bhorwada,regional list,3,1,Parya Bhilali- Bhorwada 3 sʌɾir,sʌɾir,,installed,,Bhilali,sil-bareli-2018-parya-bhilali-bhorwada,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Parya Bhilali-Bhorwada]",silbareli2018:g001:sil-bareli-2018-parya-bhilali-bhorwada:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bhili-Piplia,regional list,4,1,Bhili-Piplia 4 ɖil,ɖil,,installed,,Bhili,sil-bareli-2018-bhili-piplia,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bhili-Piplia]",silbareli2018:g001:sil-bareli-2018-bhili-piplia:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bhili-Kharod,regional list,1,1,Bhili-Kharod 1 dɛ̪h,dɛ̪h,,installed,,Bhili,sil-bareli-2018-bhili-kharod,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bhili-Kharod]",silbareli2018:g001:sil-bareli-2018-bhili-kharod:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bhili-Kharod,regional list,4,2,4 dil,dil,,installed,,Bhili,sil-bareli-2018-bhili-kharod,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bhili-Kharod]",silbareli2018:g001:sil-bareli-2018-bhili-kharod:i2
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bhilali-Aspai,regional list,4,1,Bhilali-Aspai 4 ɖil,ɖil,,installed,,Bhilali,sil-bareli-2018-bhilali-aspai,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bhilali-Aspai]",silbareli2018:g001:sil-bareli-2018-bhilali-aspai:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Rathawi-Mankodi,regional list,4,1,Rathawi-Mankodi 4 ɖil,ɖil,,installed,,Rathawi,sil-bareli-2018-rathawi-mankodi,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Rathawi-Mankodi]",silbareli2018:g001:sil-bareli-2018-rathawi-mankodi:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Palya-Choutharya,regional list,4,1,Palya-Choutharya 4 ɖil,ɖil,,installed,,PalyaBareli,sil-bareli-2018-palya-choutharya,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Palya-Choutharya]",silbareli2018:g001:sil-bareli-2018-palya-choutharya:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Palya-Natvada,regional list,4,1,Palya-Natvada 4 ɖil,ɖil,,installed,,PalyaBareli,sil-bareli-2018-palya-natvada,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Palya-Natvada]",silbareli2018:g001:sil-bareli-2018-palya-natvada:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bareli Pauri-Shahana,regional list,4,1,Bareli Pauri-Shahana 4 ɖil ̪,ɖil̪,,installed,,PauriBareli,sil-bareli-2018-bareli-pauri-shahana,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bareli Pauri-Shahana]",silbareli2018:g001:sil-bareli-2018-bareli-pauri-shahana:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bareli Pauri-Mandvi,regional list,4,1,Bareli Pauri-Mandvi 4 ɖil ̪,ɖil̪,,installed,,PauriBareli,sil-bareli-2018-bareli-pauri-mandvi,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bareli Pauri-Mandvi]",silbareli2018:g001:sil-bareli-2018-bareli-pauri-mandvi:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Bareli Pauri-Khadki,regional list,4,1,Bareli Pauri-Khadki 4 ɖil,ɖil,,installed,,PauriBareli,sil-bareli-2018-bareli-pauri-khadki,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Bareli Pauri-Khadki]",silbareli2018:g001:sil-bareli-2018-bareli-pauri-khadki:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Nimadi-Khargone,regional list,9,1,Nimadi-Khargone 9 bɑdɑ̪n,bɑdɑ̪n,,installed,,Nimadi,sil-bareli-2018-nimadi-khargone,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Nimadi-Khargone]",silbareli2018:g001:sil-bareli-2018-nimadi-khargone:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Nimadi-Awlia,regional list,3,1,Nimadi-Awlia 3 sʌɾiɾ,sʌɾiɾ,,installed,,Nimadi,sil-bareli-2018-nimadi-awlia,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Nimadi-Awlia]",silbareli2018:g001:sil-bareli-2018-nimadi-awlia:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Nimadi-Ashapur,regional list,3,1,Nimadi-Ashapur 3 sʌɾiɾ,sʌɾiɾ,,installed,,Nimadi,sil-bareli-2018-nimadi-ashapur,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Nimadi-Ashapur]",silbareli2018:g001:sil-bareli-2018-nimadi-ashapur:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Ahirani-Dhule,regional list,5,1,Ahirani-Dhule 5 aŋ,aŋ,,installed,,Khandesi,sil-bareli-2018-ahirani-dhule,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Ahirani-Dhule]",silbareli2018:g001:sil-bareli-2018-ahirani-dhule:i1
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Hindi,standard control,3,1,Hindi 3 ʃəɾiɾ,ʃəɾiɾ,,excluded,standard-language comparison control,,,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Hindi]",
wordlist response,varkey-vunnamatla2018bareli,87,80,1,body,Gujarati,standard control,3,1,Gujarati 3 ʃəɾiɾ,ʃəɾiɾ,,excluded,standard-language comparison control,,,"varkey-vunnamatla2018bareli[Appendix C.3, printed p. 80, item 1, Gujarati]",
