Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Raw_Note,Source_Language,Language_ID,Dialect_Tag,Page,Row,Item,Source_Record,Column,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Final_Notes,Final_Etymology,Note_Class,Crossref_Target_Raw,Crossref_Target_Key,Crossref_Status,Crossref_Reason,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256,Review_Result,Material_Error
2026-08-28,bhattacharya1968bonda:C:c2.p43.r2.i864.s857,gisiŋ mɔ?,spectacles,,Bondo [Hill],re,dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,43,2,864,857,2,1,bhattacharya1968bonda:C:c2.p43.r2.i864.s857,,gisiŋ mɔ?,spectacles,,,none,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 43, row 2, item 864]",dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,5cb25c0c0666af0920c348f74f60197c105a0380f939e9ffd1575c68376dcbef,pass,
2026-08-28,bhattacharya1968bonda:C:c2.p142.r73.i2873.s2872_Elwin134,"singi-arke, sih-arke",sun,,Bondo [Hill],re,dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,142,73,2873,2872_Elwin134,2,2,bhattacharya1968bonda:C:c2.p142.r73.i2873.s2872_Elwin134:v2,bhattacharya1968bonda:C:c2.p142.r73.i2873.s2872_Elwin134,sih-arke,sun,,,none,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 142, row 73, item 2873]",dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,fc01e3a2ee8c247a5a0a2fea79cba58b6cc29e2b197450124d3fe638ee4748d0,pass,
2026-08-28,bhattacharya1968bonda:C:c2.p142.r71.i2871.s2870_Elwin202,siɔrem,testicles,,Bondo [Hill],re,dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,142,71,2871,2870_Elwin202,2,1,bhattacharya1968bonda:C:c2.p142.r71.i2871.s2870_Elwin202,,siɔrem,testicles,,,none,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 142, row 71, item 2871]",dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,99d8d64c89a9f2c01b4851c919bca67ed6282979e5389d50ebca8ff8cca53f3f,pass,
2026-08-28,bhattacharya1968bonda:C:c2.p142.r52.i2852.s2851_Elwin229,bunumpa,a term for salutation (?),,Bondo [Hill],re,dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,142,52,2852,2851_Elwin229,2,1,bhattacharya1968bonda:C:c2.p142.r52.i2852.s2851_Elwin229,,bunumpa,a term for salutation (?),,,none,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 142, row 52, item 2852]",dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,b23557445cf9f158430aa692a5ba60d7e6d245c3548a4bfba92efb359285c61f,pass,
2026-08-28,bhattacharya1968bonda:C:c1.p27.r5.i512.s507,kadɔ,mud,ETY:De.,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,27,5,512,507,1,1,bhattacharya1968bonda:C:c1.p27.r5.i512.s507,,kadɔ,mud,,De.,etymology,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 27, row 5, item 512]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,ed2015ad7a59a73d9f302842e3d63ca2cb064e841514c089c67b68a7ab1808e5,pass,
2026-08-28,bhattacharya1968bonda:C:c2.p105.r19.i2111.s2106,muŋgur,crocodile,!ETY:Sk./makara/,Bondo [Hill],re,dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,105,19,2111,2106,2,1,bhattacharya1968bonda:C:c2.p105.r19.i2111.s2106,,muŋgur,crocodile,,Sk./makara/,etymology,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 105, row 19, item 2111]",dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,0005103191e5354e0a9bbbe60212b457ffc1fe6a9d11838074d0312e703b0954,pass,
2026-08-28,bhattacharya1968bonda:C:c1.p126.r14.i2526.s2524,salpaṛi,temple of head,ETY:De.,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,126,14,2526,2524,1,1,bhattacharya1968bonda:C:c1.p126.r14.i2526.s2524,,salpaṛi,temple of head,,De.,etymology,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 126, row 14, item 2526]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,10ec4d42916b1a6654cc69d6696790c6fc324723229a466af8f7a15aa4b95e42,pass,
2026-08-28,bhattacharya1968bonda:C:c1.p128.r3.i2558.s2557,sini,sugar,ETY:De./cini/,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,128,3,2558,2557,1,1,bhattacharya1968bonda:C:c1.p128.r3.i2558.s2557,,sini,sugar,,De./cini/,etymology,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 128, row 3, item 2558]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,e54b0fa980473a6f54b8af5086905e4e67f65096c6543b47a61088f6455a34ab,pass,
2026-08-28,bhattacharya1968bonda:C:c1.p62.r20.i1264.s1258,ḍeŋ-,see <ḍem-> to be,,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,62,20,1264,1258,1,1,bhattacharya1968bonda:C:c1.p62.r20.i1264.s1258,bhattacharya1968bonda:C:c1.p63.r4.i1270.s1264,ḍeŋ-,to be,Source cross-reference: see <ḍem-> to be,,none,ḍem-,bhattacharya1968bonda:C:c1.p63.r4.i1270.s1264,resolved,unique normalized printed target,ingested,structured dictionary record,"bhattacharya1968bonda[p. 62, row 20, item 1264]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,efd93e45577d1aa19901b2c462c311bebc8f182f6f10c684462effb022c2c271,pass,
2026-08-28,bhattacharya1968bonda:C:c1.p129.r20.i2595.s2594,siri?,see <surui>,,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,129,20,2595,2594,1,1,bhattacharya1968bonda:C:c1.p129.r20.i2595.s2594,bhattacharya1968bonda:C:c1.p134.r4.i2677.s2676,siri?,quickly,Source cross-reference: see <surui>,,none,surui,bhattacharya1968bonda:C:c1.p134.r4.i2677.s2676,resolved,unique normalized printed target,ingested,structured dictionary record,"bhattacharya1968bonda[p. 129, row 20, item 2595]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,516f1d0421751e8da948b1265bc9e1e12a251bc79fdee1f49896401c46acd809,pass,
