Snapshot_Date,Unit_ID,Region,PDF_Page,Printed_Page,Locator,Raw_Form,Raw_Gloss,Raw_Context,Status,Reason,Final_Form,Final_Gloss,Final_Phonemic,Final_Tags,Final_Parameter,Emitted_Key,Merged_Into,Source,Record_SHA256
2026-08-25,t3:3,t3,6,133,"p. 133, table 3",niin buun,is sleeping,structure=GO + nonverb,installed,read from the PDF text layer and installed unchanged,niin buun,is sleeping,,verb multiword-expression,,kalkoti:t3:3,,"kalkoti[p. 133, table 3]",015c41702de348797dd677aad7726aa547b5e85fda3248dc3a47b5f44979f86a
2026-08-25,t16:6:pl,t16,20,147,"p. 147, table 16",mišaal,man,"number=pl; printed=mišaal, xäläq",installed,read from the PDF text layer and installed unchanged,mišaal,man,,noun pl,,kalkoti:t16:6:pl,,"kalkoti[p. 147, table 16]",02d30e6a595226dcc85a2cd8562de2be24f378411c8d3b97bdf769d7cd2a0a16
2026-08-25,prose:bad,prose,9,136,p. 136,[lɑːtɾ̥],bad,tags=adj; note=word-final /tr/ cluster alternating with loss of the [r] segment; printed=[lɑːtɾ̥] ~ [lɑːt],installed,read from the PDF text layer and installed unchanged,laatr,bad,lɑːtɾ̥,adj,10930,kalkoti:prose:bad,,kalkoti[p. 136],02e518e20c3afe70f85441b07c51e319bb9adb1eacc368e71d7d62600f0ddea5
2026-08-25,ex18:2:4,interlinear,26,153,"p. 153, example 18","bäs,",sit.down.PFV.PST,"example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.",installed,read from the PDF text layer and installed unchanged,bäs,sit down,,pfv pret,,kalkoti:ex18:2:4,,"kalkoti[p. 153, example 18]",03d26d2217fdada773a3900b01045942fd2f9f42db5847a17372f0e18dc96fa5
2026-08-25,t14:3sg:near:nom,t14,18,145,"p. 145, table 14",roo,3 SG,case=nom; person=3 SG; deixis=near; printed=roo,installed,read from the PDF text layer and installed unchanged,roo,"he, she, it (proximate)",,pron personal prox 3sg nom,,kalkoti:t14:3sg:near:nom,,"kalkoti[p. 145, table 14]",04f775d74484821f7ff6a6414351b4831de5cfa82972a95061250c070b1deb48
2026-08-25,ex16:1:3,interlinear,23,150,"p. 150, example 16",bä,we,example=16; language=Kalk; translation=To that we all laughed heartily.,installed,read from the PDF text layer and installed unchanged,bä,we,,,,kalkoti:ex16:1:3,kalkoti:t4:1pl:nom,"kalkoti[p. 150, example 16]",05417c41b5bbbf5f64f8d4c63a033cdc96bae3de2718edf634fbd83ace55a7a3
2026-08-25,t16:1:pl,t16,20,147,"p. 147, table 16",šii,house,number=pl; printed=šii,installed,read from the PDF text layer and installed unchanged,šii,house,,noun pl,,kalkoti:t16:1:pl,kalkoti:t16:1:sg,"kalkoti[p. 147, table 16]",064bcdd13336c827f9db54c8d506152d793dffd4822791ca9774618924a84277
2026-08-25,prose:dust:a2,prose,8,135,p. 135,[duɽ],dust,tags=noun; note=word-final /r/~/ɽ/ alternation; variant_of=prose:dust; printed=[dur] ~ [duɽ],installed,read from the PDF text layer and installed unchanged,duṛ,dust,duɽ,noun,6835,kalkoti:prose:dust:a2,,kalkoti[p. 135],06b192b38b240fc298fa8ef604444870da70fffb4b7a1436bb053d99ba2ce0f3
2026-08-25,ex16:1:1,interlinear,23,150,"p. 150, example 16",räs,3SG.OBL,example=16; language=Kalk; translation=To that we all laughed heartily.,installed,read from the PDF text layer and installed unchanged,räs,"he, she, it",,3sg obl pron,,kalkoti:ex16:1:1,,"kalkoti[p. 150, example 16]",07366e1b9c236e2abe4a2158cbf686f12a165049cdb7c835ac263e04cd87822e
2026-08-25,t2:11:pfv,t2,6,133,"p. 133, table 2",piil,drank,aspect=pfv; printed=piluun (piil); palula=piláanu (píilu); gawri=puant (puuy),installed,read from the PDF text layer and installed unchanged,piil,drank,,verb pfv,,kalkoti:t2:11:pfv,,"kalkoti[p. 133, table 2]",07490192990341c2e0205095a83431950e1e94a969e34a6dbf2e634a6f71c626
