Language_ID,Parameter_ID,Form,Gloss,Native,Phonemic,Notes,Source,Cognateset,Etymology,Entry_Key,Variant_Of_Key,Borrowed_From_Key,Derivation_Parent_Keys,Tags
as,,ḥaǧǧiyyāt,female dancer,,,,"herin2012domari[p. 2, introduction]",,,herin2012domari:introduction:q3,,,,dialect:as:aleppo:Aleppo
as,,xāzə́me,I laugh,,,,"herin2012domari[p. 7, section 1.2]",,,herin2012domari:s1.2:q22,,,,dialect:as:aleppo:Aleppo
as,,ʿāwin kar-,to help,,,,"herin2012domari[p. 7, section 1.2]",,,herin2012domari:s1.2:q63,,,,verb conjunct-verb multiword-expression dialect:as:aleppo:Aleppo
as,,hnū,that,,,,"herin2012domari[p. 9, example (1a) word 1]",,,herin2012domari:ex1a:w1,,,,dialect:as:aleppo:Aleppo
as,,dīšyā,from them,,,,"herin2012domari[p. 11, section 2.2]",,,herin2012domari:s2.2:q13:variant:2,herin2012domari:s2.2:q13,,,alternate dialect:as:aleppo:Aleppo
as,,ō,that,,,,"herin2012domari[p. 13, example (8) word 3]",,,herin2012domari:ex8:w3,,,,dialect:as:aleppo:Aleppo
as,,dazz panǧ,fifteen,,,,"herin2012domari[p. 14, section 2.7]",,,herin2012domari:s2.7:q16,,,,num multiword-expression dialect:as:aleppo:Aleppo
as,,kaǧǧī,woman,,,,"herin2012domari[p. 15, section 2.9]",,,herin2012domari:s2.9:q10,,,,dialect:as:aleppo:Aleppo
as,,akky-ēn-ki,from the eyes,,,,"herin2012domari[p. 17, section 2.11]",,,herin2012domari:s2.11:q9,,,,dialect:as:aleppo:Aleppo
as,,bēn-ōs,sister,,,,"herin2012domari[p. 20, example (19) word 1]",,,herin2012domari:ex19:w1,,,,3sg dialect:as:aleppo:Aleppo
as,,sr-ōs-tã,head,,,,"herin2012domari[p. 23, example (24) word 3]",,,herin2012domari:ex24:w3,,,,3sg superessive dialect:as:aleppo:Aleppo
as,,čanč-,next to,,,,"herin2012domari[p. 24, section 2.15]",,,herin2012domari:s2.15:q5,,,,dialect:as:aleppo:Aleppo
as,,bēʋk-,other,,,,"herin2012domari[p. 27, section 2.16]",,,herin2012domari:s2.16:q7,,,,dialect:as:aleppo:Aleppo
as,,ǧān-d-ēn,to know,,,,"herin2012domari[p. 29, Table 7, 1.PL., ǧān- “know”]",,,herin2012domari:t7:r4c2,,,,verb pfv 1pl dialect:as:aleppo:Aleppo
as,,nangə-č-ər,to enter,,,,"herin2012domari[p. 30, Table 9, 3.SG., nang- “enter”]",,,herin2012domari:t9:r3c3,,,,verb subjunctive 3sg dialect:as:aleppo:Aleppo
as,,ʋāy-,to hit,,,,"herin2012domari[p. 31, section 3.1]",,,herin2012domari:s3.1:q57,,,,verb stem dialect:as:aleppo:Aleppo
as,,karē,"to do, to make",,,,"herin2012domari[p. 32, Table 12, 2.SG., Imperfective]",,,herin2012domari:t12:r2c2,,,,verb 2sg ipfv dialect:as:aleppo:Aleppo
as,,kām,work,,,,"herin2012domari[p. 33, section 3.2]",,,herin2012domari:s3.2:q45,,,,dialect:as:aleppo:Aleppo
as,,qafṭī-,be stolen,,,,"herin2012domari[p. 35, section 3.3]",,,herin2012domari:s3.3:q34,,,,verb stem dialect:as:aleppo:Aleppo
as,,sākə-rd-ōr,"to be able, can",,,,"herin2012domari[p. 37, Table 13, 2.SG., Perfective]",,,herin2012domari:t13:r2c2,,,,verb 2sg pfv dialect:as:aleppo:Aleppo
as,,ǧbāri,obliged,,,,"herin2012domari[p. 37, section 3.5]",,,herin2012domari:s3.5:q19,,,,dialect:as:aleppo:Aleppo
as,,dy-ə-ki,village,,,,"herin2012domari[p. 40, section 4.1]",,,herin2012domari:s4.1:q7:w2,,,,obl abl dialect:as:aleppo:Aleppo
as,,kyāmōr,anything,,,,"herin2012domari[p. 41, section 5]",,,herin2012domari:5-negation-strategies:q23,,,,dialect:as:aleppo:Aleppo
as,,tā,"until, in order to",,,,"herin2012domari[p. 44, section 6.2]",,,herin2012domari:s6.2:q14,,,,dialect:as:aleppo:Aleppo
as,,manderdende,stand,,,,"herin2012domari[p. 47, example (42b) word 2]",,,herin2012domari:ex42b:w2,,,,ipfv 3pl verb dialect:as:aleppo:Aleppo
