Snapshot_Table,Source_Row,Concept_Number,Source_Item,Source_Gloss,Canonical_Gloss,Source_Lect,Upstream_Language_ID,Jambu_Language_ID,Dialect_ID,Raw_Cell,Form_Index,Transcription,Status,Reason,Entry_Key
monpa.tsv,2,1,,1st pl.,1st pl.,Monpa (Tawang Monastery),MonpaTawangMonastery,Dakpakha,abrahammonpa2018_monpa_tawang_monastery,ŋataŋ,1,ŋataŋ,installed,source-matrix form,abrahammonpa2018:monpa:r002:f:v1
monpa.tsv,2,1,,1st pl.,1st pl.,Monpa (Zimithang),MonpaZimithang,Dakpakha,abrahammonpa2018_monpa_zimithang,ɲi,1,ɲi,installed,source-matrix form,abrahammonpa2018:monpa:r002:r:v1
monpa.tsv,2,1,,1st pl.,1st pl.,Monpa (Changprong),MonpaChangprong,Dakpakha,abrahammonpa2018_monpa_changprong,ŋadaŋ,1,ŋadaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r002:s:v1
monpa.tsv,2,1,,1st pl.,1st pl.,Monpa (Kalaktang),MonpaKalaktang,KalaktangMonpa,abrahammonpa2018_monpa_kalaktang,aiba,1,aiba,installed,source-matrix form,abrahammonpa2018:monpa:r002:h:v1
monpa.tsv,2,1,,1st pl.,1st pl.,Monpa (Balemu),MonpaBalemu,KalaktangMonpa,abrahammonpa2018_monpa_balemu,dʒam,1,dʒam,installed,source-matrix form,abrahammonpa2018:monpa:r002:p:v1
monpa.tsv,2,1,,1st pl.,1st pl.,Monpa (Tomko),MonpaTomko,KalaktangMonpa,abrahammonpa2018_monpa_tomko,dʒaŋ,1,dʒaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r002:q:v1
monpa.tsv,2,1,,1st pl.,1st pl.,Monpa (Namsu),MonpaNamsu,KalaktangMonpa,abrahammonpa2018_monpa_namsu,aʃi,1,aʃi,installed,source-matrix form,abrahammonpa2018:monpa:r002:t:v1
monpa.tsv,2,1,,1st pl.,1st pl.,Monpa (Tembang),MonpaTembang,Tshangla,abrahammonpa2018_monpa_tembang,aʃi,1,aʃi,installed,source-matrix form,abrahammonpa2018:monpa:r002:u:v1
monpa.tsv,2,1,,1st pl.,1st pl.,Monpa (Dirang Dum),MonpaDirangDum,Tshangla,abrahammonpa2018_monpa_dirang_dum,aɕigaŋpo,1,aɕigaŋpo,installed,source-matrix form,abrahammonpa2018:monpa:r002:k:v1
monpa.tsv,2,1,,1st pl.,1st pl.,Monpa (Sangti),MonpaSangti,Tshangla,abrahammonpa2018_monpa_sangti,dʒaŋ,1,dʒaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r002:n:v1
monpa.tsv,2,1,,1st pl.,1st pl.,Monpa (Dirang),MonpaDirang,Tshangla,abrahammonpa2018_monpa_dirang,aʃi,1,aʃi,installed,source-matrix form,abrahammonpa2018:monpa:r002:o:v1
monpa.tsv,3,2,,1st sg. (I),1st sg. (I),Monpa (Tawang Monastery),MonpaTawangMonastery,Dakpakha,abrahammonpa2018_monpa_tawang_monastery,ŋei,1,ŋei,installed,source-matrix form,abrahammonpa2018:monpa:r003:f:v1
monpa.tsv,3,2,,1st sg. (I),1st sg. (I),Monpa (Zimithang),MonpaZimithang,Dakpakha,abrahammonpa2018_monpa_zimithang,ŋei,1,ŋei,installed,source-matrix form,abrahammonpa2018:monpa:r003:r:v1
monpa.tsv,3,2,,1st sg. (I),1st sg. (I),Monpa (Changprong),MonpaChangprong,Dakpakha,abrahammonpa2018_monpa_changprong,ɲeh,1,ɲeh,installed,source-matrix form,abrahammonpa2018:monpa:r003:s:v1
monpa.tsv,3,2,,1st sg. (I),1st sg. (I),Monpa (Kalaktang),MonpaKalaktang,KalaktangMonpa,abrahammonpa2018_monpa_kalaktang,dʒaŋ,1,dʒaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r003:h:v1
monpa.tsv,3,2,,1st sg. (I),1st sg. (I),Monpa (Balemu),MonpaBalemu,KalaktangMonpa,abrahammonpa2018_monpa_balemu,dʒaŋ,1,dʒaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r003:p:v1
monpa.tsv,3,2,,1st sg. (I),1st sg. (I),Monpa (Tomko),MonpaTomko,KalaktangMonpa,abrahammonpa2018_monpa_tomko,dʒaŋ,1,dʒaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r003:q:v1
monpa.tsv,3,2,,1st sg. (I),1st sg. (I),Monpa (Namsu),MonpaNamsu,KalaktangMonpa,abrahammonpa2018_monpa_namsu,dʒaŋ,1,dʒaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r003:t:v1
monpa.tsv,3,2,,1st sg. (I),1st sg. (I),Monpa (Tembang),MonpaTembang,Tshangla,abrahammonpa2018_monpa_tembang,dʒaŋ,1,dʒaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r003:u:v1
monpa.tsv,3,2,,1st sg. (I),1st sg. (I),Monpa (Dirang Dum),MonpaDirangDum,Tshangla,abrahammonpa2018_monpa_dirang_dum,dʒaŋ,1,dʒaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r003:k:v1
monpa.tsv,3,2,,1st sg. (I),1st sg. (I),Monpa (Sangti),MonpaSangti,Tshangla,abrahammonpa2018_monpa_sangti,dʒaŋ,1,dʒaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r003:n:v1
monpa.tsv,3,2,,1st sg. (I),1st sg. (I),Monpa (Dirang),MonpaDirang,Tshangla,abrahammonpa2018_monpa_dirang,dʒaŋ,1,dʒaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r003:o:v1
monpa.tsv,4,3,,2nd pl. (familiar),2nd pl. (familiar),Monpa (Tawang Monastery),MonpaTawangMonastery,Dakpakha,abrahammonpa2018_monpa_tawang_monastery,itaŋbanaŋ,1,itaŋbanaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r004:f:v1
monpa.tsv,4,3,,2nd pl. (familiar),2nd pl. (familiar),Monpa (Zimithang),MonpaZimithang,Dakpakha,abrahammonpa2018_monpa_zimithang,jira,1,jira,installed,source-matrix form,abrahammonpa2018:monpa:r004:r:v1
monpa.tsv,4,3,,2nd pl. (familiar),2nd pl. (familiar),Monpa (Changprong),MonpaChangprong,Dakpakha,abrahammonpa2018_monpa_changprong,irbanaŋ,1,irbanaŋ,installed,source-matrix form,abrahammonpa2018:monpa:r004:s:v1
