Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Raw_Note,Source_Language,Language_ID,Dialect_Tag,Page,Row,Item,Source_Record,Column,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Final_Notes,Final_Etymology,Note_Class,Crossref_Target_Raw,Crossref_Target_Key,Crossref_Status,Crossref_Reason,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256
2026-08-28,bhattacharya1968bonda:C:c1.p140.r5.i2787.s2786,'abṛak'-,to yawn,,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,140,5,2787,2786,1,1,bhattacharya1968bonda:C:c1.p140.r5.i2787.s2786,,'abṛak'-,to yawn,,,none,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 140, row 5, item 2787]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,54d6784cf50413df7a542c5616441a5261c6fb52139e2ae608f44f173ffd9236
2026-08-28,bhattacharya1968bonda:C:c1.p140.r6.i2788.s2787,"'ɔ:ɔ:, 'ɔn",see <ɔ:'ɔ:>,,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,140,6,2788,2787,1,1,bhattacharya1968bonda:C:c1.p140.r6.i2788.s2787,bhattacharya1968bonda:C:c1.p26.r7.i492.s487,'ɔ:ɔ:,"son, daughter, husband's brother's children, wife's sister's children",Source cross-reference: see <ɔ:'ɔ:>,,none,ɔ:'ɔ:,bhattacharya1968bonda:C:c1.p26.r7.i492.s487,resolved,unique normalized printed target,ingested,structured dictionary record,"bhattacharya1968bonda[p. 140, row 6, item 2788]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,ab6a66056f3d5d1a752bf5b9c49ff9b8250e56732ff7a769ec1e8e6ae5ae3771
2026-08-28,bhattacharya1968bonda:C:c1.p140.r6.i2788.s2787,"'ɔ:ɔ:, 'ɔn",see <ɔ:'ɔ:>,,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,140,6,2788,2787,1,2,bhattacharya1968bonda:C:c1.p140.r6.i2788.s2787:v2,bhattacharya1968bonda:C:c1.p140.r6.i2788.s2787,'ɔn,"son, daughter, husband's brother's children, wife's sister's children",Source cross-reference: see <ɔ:'ɔ:>,,none,ɔ:'ɔ:,bhattacharya1968bonda:C:c1.p26.r7.i492.s487,resolved,unique normalized printed target,ingested,structured dictionary record,"bhattacharya1968bonda[p. 140, row 6, item 2788]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,ab6a66056f3d5d1a752bf5b9c49ff9b8250e56732ff7a769ec1e8e6ae5ae3771
2026-08-28,bhattacharya1968bonda:C:c1.p90.r9.i1806.s1801,-bai,"the, that, the one",!used mostly after adjectives converting them to demonstrative pronouns: /mire?-bai/ the black one; cf. De./ka:la:-ṭa:/,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,90,9,1806,1801,1,1,bhattacharya1968bonda:C:c1.p90.r9.i1806.s1801,,-bai,"the, that, the one",used mostly after adjectives converting them to demonstrative pronouns: /mire?-bai/ the black one; cf. De./ka:la:-ṭa:/,,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 90, row 9, item 1806]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,f5c83b8dbd17cb2da9c30da11648da0d2d2a4bf5764c0f9c5ac85e771e498e47
2026-08-28,bhattacharya1968bonda:C:c1.p99.r13.i1991.s1986,-bɔ,"in, inside","!also used as a noun meaning: inside of something, house, place, etc.; /siksaŋ-bɔ/ in the bone; /siksaŋ-bɔ-na tupusaŋ/ marrow which is in the inner part of a bone",Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,99,13,1991,1986,1,1,bhattacharya1968bonda:C:c1.p99.r13.i1991.s1986,,-bɔ,"in, inside","also used as a noun meaning: inside of something, house, place, etc.; /siksaŋ-bɔ/ in the bone; /siksaŋ-bɔ-na tupusaŋ/ marrow which is in the inner part of a bone",,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 99, row 13, item 1991]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,13c74953cbb897b623823f18a667efc3f9f2628a45cf843c25530cd6d0ca6298
2026-08-28,bhattacharya1968bonda:C:c1.p99.r14.i1992.s1987,-bɔi,a fem. suffix,,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,99,14,1992,1987,1,1,bhattacharya1968bonda:C:c1.p99.r14.i1992.s1987,,-bɔi,a fem. suffix,,,none,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 99, row 14, item 1992]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo suffix f,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,aa83ba96ea08cf92bdda302037d6bc999f0c4d62245cc15bc9255ac28ff75606
2026-08-28,bhattacharya1968bonda:C:c1.p9.r21.i191.s186,-e,"a pl. suffix used after consonants, perhaps denoting 'some'",!see /-le/,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,9,21,191,186,1,1,bhattacharya1968bonda:C:c1.p9.r21.i191.s186,,-e,"a pl. suffix used after consonants, perhaps denoting 'some'",see /-le/,,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 9, row 21, item 191]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo suffix,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,fb5f3548ac60976c3de5bd05636de0c5aeb4d89d31314e7123c4e58d2c3cc15c
2026-08-28,bhattacharya1968bonda:C:c1.p120.r8.i2408.s2405,-le,a pl. suffix (perhaps denoting 'many'),!cf. /-e/,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,120,8,2408,2405,1,1,bhattacharya1968bonda:C:c1.p120.r8.i2408.s2405,,-le,a pl. suffix (perhaps denoting 'many'),cf. /-e/,,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 120, row 8, item 2408]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo suffix,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,f77d5c69b47bb822ecc4c7699832e24ee223971ebe54f0b8434128d090ffabbd
2026-08-28,bhattacharya1968bonda:C:c1.p121.r14.i2432.s2429,-lɔ,an emphatic particle,,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,121,14,2432,2429,1,1,bhattacharya1968bonda:C:c1.p121.r14.i2432.s2429,,-lɔ,an emphatic particle,,,none,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 121, row 14, item 2432]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo part emph,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,40daedf378ab427f5dc365b2f3e4db2836077faf31a289769ba725dbf1a047c3
2026-08-28,bhattacharya1968bonda:C:c1.p121.r17.i2435.s2432,-lɔ,"at the time of, if",!cf. /-lɔ/ emphatic particle,Bondo [Plains],re,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo,121,17,2435,2432,1,1,bhattacharya1968bonda:C:c1.p121.r17.i2435.s2432,,-lɔ,"at the time of, if",cf. /-lɔ/ emphatic particle,,comment,,,not-cross-reference,ordinary lexical definition,ingested,structured dictionary record,"bhattacharya1968bonda[p. 121, row 17, item 2435]",dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo part emph,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bhattacharya1968bonda,ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350,86491596faacd963818a1881defc47e1dfb905e6d9926aba1621ba5f1f07ebae
