Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Raw_Note,Source_Language,Language_ID,Item,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Final_Notes,Final_Etymology,Note_Class,Parameter_ID,Link_Status,Alignment_Method,Rau_Citation,Rau_Form,Rau_Gloss,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256
2026-08-28,pinnow1960beitraege:C:i827,arɔ-kia,"they two, third person dual","#Ju. /arɔ/ ""he, she, it, this, that""; Kh./aṛ-kiar/ ""they two"".",Juang,ju,827,1,pinnow1960beitraege:C:i827,,arɔ-kia,"they two, third person dual",,"#Ju. /arɔ/ ""he, she, it, this, that""; Kh./aṛ-kiar/ ""they two"".",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 827],du 3,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,f09f24639502df724825045a92ab6de8f9b77affa0f7ca4d8fba0d09abcc1944
2026-08-28,pinnow1960beitraege:C:i825,-ki,?,,Juang,ju,825,1,pinnow1960beitraege:C:i825,,-ki,,Source gloss: ?,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 825],uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,6840518e27789ee2ad0cc599e37858f8c94b43ae1e522afa6c9faf791f49fa3e
2026-08-28,pinnow1960beitraege:C:i5,-kia,?,"#Kh./-kiar/, /-kijar/??.",Juang,ju,5,1,pinnow1960beitraege:C:i5,,-kia,,Source gloss: ?,"#Kh./-kiar/, /-kijar/??.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 5],uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,74e3b36ca473129e67b37c94f92d32c441b8fad7b2243399a62aa5c4801d0dd8
2026-08-28,pinnow1960beitraege:C:i828,-kia,?,"#Kh./-kiar/, /-kijar/.",Juang,ju,828,1,pinnow1960beitraege:C:i828,,-kia,,Source gloss: ?,"#Kh./-kiar/, /-kijar/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 828],uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,37a94a32bc9f96a654538e6b82e1590543b1b005ba85e224bf7b57f5675978d1
2026-08-28,pinnow1960beitraege:C:i4,-kia,third person dual,"#Ju. /-ki/ ""plural""; Kh./-kiar/.",Juang,ju,4,1,pinnow1960beitraege:C:i4,,-kia,third person dual,,"#Ju. /-ki/ ""plural""; Kh./-kiar/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 4],du 3,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,cb7cad74ab585bdec71acb5e000f072f6b93f0b015ef147763d1190dc731b536
2026-08-28,pinnow1960beitraege:C:i826,-kia,third person dual,"#Ju. /-ki/ ""plural"", /-a/ ""dual""; Kh./-kiar/.  Cf. /-kia/, /-ki/, /arɔkia/.",Juang,ju,826,1,pinnow1960beitraege:C:i826,,-kia,third person dual,,"#Ju. /-ki/ ""plural"", /-a/ ""dual""; Kh./-kiar/.  Cf. /-kia/, /-ki/, /arɔkia/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 826],du 3,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,03b501ff7037d1c5f57b44ce0e3b41546819c1ef61de8264e7b4a30326ef11bf
2026-08-28,pinnow1960beitraege:C:i1246,-pa,?,"Cf. /apa/, /ha-/, /h-/.  #Ju./-pɛ/ ""you"", /-a/ ""dual"".",Juang,ju,1246,1,pinnow1960beitraege:C:i1246,,-pa,,Source gloss: ?,"#Ju./-pɛ/ ""you"", /-a/ ""dual"". Cf. /apa/, /ha-/, /h-/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 1246],uncertain,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,099ff2fad286817df39bde0d8c3979600ddb4162c4510a070c8f57de91c45ef2
2026-08-28,pinnow1960beitraege:C:i690,ab-jak-,"to weigh, to compare",,Juang,ju,690,1,pinnow1960beitraege:C:i690,,ab-jak-,"to weigh, to compare",,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 690],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,aeaf5e7ecb80cfe0d3291f7ca6f7bc27c39235e4e185c5b8da80c7d2335475d4
2026-08-28,pinnow1960beitraege:C:i1455,ab-sɔj-,"to teach, [to cause_to_learn]",,Juang,ju,1455,1,pinnow1960beitraege:C:i1455,,ab-sɔj-,"to teach, [to cause to learn]",,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 1455],caus,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,9f532fcada3dad176374b5a0811f7b5d10d8ba2223becbdfaf0a23662e8f0e2a
2026-08-28,pinnow1960beitraege:C:i1460,ab-sɔŋ-,"to sell, [to cause_to_buy]",#Kh./ɔb-sɔŋ/.,Juang,ju,1460,1,pinnow1960beitraege:C:i1460,,ab-sɔŋ-,"to sell, [to cause to buy]",,#Kh./ɔb-sɔŋ/.,comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 1460],caus,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,d61dd723bf2b26c7e2263437f2ee3f1063faa3a7301cca5e8cf78b719f1aabeb
