Seed,Entry_Key,PDF_Page,Printed_Page,Before_Form,Before_Definition,Final_Form,Final_Definition,Original_Material_Error,Final_Result,Disposition
1970,ghatage-kasargod1970:p137:e37,145,137,a:dne de:si,to order.,a:dne de:sɨ,to order.,yes,PASS,Corrected final central high vowel from source image.
1970,ghatage-kasargod1970:p138:e35,146,138,udu,iguana.,uḍu,iguana.,yes,PASS,Corrected retroflex stop from source image.
1970,ghatage-kasargod1970:p140:e10,148,140,kərgəle,bangle.,kərgəlɛ,bangle.,yes,PASS,Corrected final low front vowel from source image.
1970,ghatage-kasargod1970:p140:e18,148,140,kə:li,yesterday.,kə:lɨ,yesterday.,yes,PASS,Corrected final central high vowel from source image.
1970,ghatage-kasargod1970:p142:e10,150,142,kuou,to gather.,kuṭou,to gather.,yes,PASS,Recovered omitted retroflex stop from source image.
1970,ghatage-kasargod1970:p143:e34,151,143,kramo,habit.,kramo,habit.,no,PASS,Matched the source image.
1970,ghatage-kasargod1970:p144:e5,152,144,gante,bell.,gəṇṭɛ,bell.,yes,PASS,Recovered source vowel and consonant diacritics.
1970,ghatage-kasargod1970:p144:e26,152,144,ga:ņile,tumour.,ga:ņile,tumour.,no,PASS,Matched the source image; profile maps the OCR cedilla to retroflex.
1970,ghatage-kasargod1970:p144:e38,152,144,gubbi,"button, sparrow.",gubbi,"button, sparrow.",no,PASS,Matched the source image.
1970,ghatage-kasargod1970:p148:e7,156,148,jo:dt,"to thrash, to beat.",ǰo:ḍɨ,"to thrash, to beat.",yes,PASS,Recovered source affricate retroflex and vowel distinctions.
1970,ghatage-kasargod1970:p150:e24,158,150,to:ņdi pəsəri,to yawn.,tə:ṇḍɨ pəsərɨ,to yawn.,yes,PASS,Recovered source vowel and consonant distinctions.
1970,ghatage-kasargod1970:p152:e19,160,152,nayse kə:ri,to destroy.,naysɛ kə:rɨ,to destroy.,yes,PASS,Recovered source vowel distinctions.
1970,ghatage-kasargod1970:p156:e35,164,156,bərni,jar.,bərni,jar.,no,PASS,Matched the source image.
1970,ghatage-kasargod1970:p156:e37,164,156,bəssi,þus.,bəssɨ,bus.,yes,PASS,Corrected both head and gloss OCR.
1970,ghatage-kasargod1970:p157:e6,165,157,baččə,sister’s son.,baččə,sister’s son.,no,PASS,Matched the source image.
1970,ghatage-kasargod1970:p159:e30,167,159,məndabuddu,dull.,məndabuddu,dull.,no,PASS,Matched the source image.
1970,ghatage-kasargod1970:p163:e21,171,163,redo,buffalo.,reḍə,buffalo.,yes,PASS,Recovered the retroflex stop and final schwa.
1970,ghatage-kasargod1970:p166:e12,174,166,səvkk: kə:ri,to cure.,səvkkɛ kə:rɨ,to cure.,yes,PASS,Recovered source vowels and spacing.
1970,ghatage-kasargod1970:p166:e14,174,166,sitti.,truth,sɨttɨ,truth.,yes,PASS,Recovered two central high vowels and normalized punctuation.
1970,ghatage-kasargod1970:p167:e13,175,167,siijki,to sneeze.,si:ŋki,to sneeze.,yes,PASS,Recovered the long vowel and velar nasal.
