Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Source_Language,Language_ID,SEAlang_Record,Page,Column,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Parameter_ID,Link_Status,Alignment_Method,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256
2026-08-28,munda1968proto:C:c1.p385.i80,(d)ɛla,to come,Santali,sa,385,80,1,1,munda1968proto:C:c1.p385.i80,,(d)ɛla,to come,pkh-385-80,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 80, SEAlang record 385]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,156d89d7d860a7d8b6d92a80d7021c231bfc28a9d4a56d5c9ebb8ee51647c753
2026-08-28,munda1968proto:R:c2.p385.i80,(d)ɛla,to come,pre Mundari,PreMu,385,80,2,1,munda1968proto:R:c2.p385.i80,,(d)ɛla,to come,pkh-385-80,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 80, SEAlang record 385]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,e1435d1677344eb64076df04bd5171f060c756d4e70f23cecfbb9c567294e061
2026-08-28,munda1968proto:R:c2.p726.i106,(h)atu,"village, settlement",pre Mundari,PreMu,726,106,2,1,munda1968proto:R:c2.p726.i106,,(h)atu,"village, settlement",pkh-726-106,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 106, SEAlang record 726]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,6bc426db2091121f55f4f1671b44a365ea2808e33df1dfb4a210498531f03c74
2026-08-28,munda1968proto:R:c2.p725.i106,(h)aɽɡu,to descend,pre Mundari,PreMu,725,106,2,1,munda1968proto:R:c2.p725.i106,,(h)aɽɡu,to descend,pkh-725-106,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 106, SEAlang record 725]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,9f6d57d9a7fdedf2e60e4916fb5b4eca7332c7dcbd0a426505afb6c708a4d422
2026-08-28,munda1968proto:R:c3.p676.i102,*(a-)pì/ɛ̀ ~ *a-pɛ̀-a,three,proto Kherwarian,PKher,676,102,3,1,munda1968proto:R:c3.p676.i102,,*(a-)pì/ɛ̀,three,pkh-676-102,linked,self,ingested,source reconstruction,"munda1968proto[p. 102, SEAlang record 676]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,9e84b9b7aa475626081a735334a546b1b83f1eddb6fe83bbb42361a3bd3b0b2c
2026-08-28,munda1968proto:R:c3.p676.i102,*(a-)pì/ɛ̀ ~ *a-pɛ̀-a,three,proto Kherwarian,PKher,676,102,3,2,munda1968proto:R:c3.p676.i102:v2,munda1968proto:R:c3.p676.i102,*a-pɛ̀-a,three,pkh-676-102,linked,self,ingested,source reconstruction,"munda1968proto[p. 102, SEAlang record 676]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,9e84b9b7aa475626081a735334a546b1b83f1eddb6fe83bbb42361a3bd3b0b2c
2026-08-28,munda1968proto:R:c3.p385.i80,*(d)ɛla,to come,proto Kherwarian,PKher,385,80,3,1,munda1968proto:R:c3.p385.i80,,*(d)ɛla,to come,pkh-385-80,linked,self,ingested,source reconstruction,"munda1968proto[p. 80, SEAlang record 385]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,a1079dc2369147feeb6832c8289f092251c30af24b260218d58036d8b13ce2e6
2026-08-28,munda1968proto:R:c3.p240.i68,*(h)uruɽ,to wither,proto Kherwarian,PKher,240,68,3,1,munda1968proto:R:c3.p240.i68,,*(h)uruɽ,to wither,pkh-240-68,linked,self,ingested,source reconstruction,"munda1968proto[p. 68, SEAlang record 240]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,d8889c425e203b9f35d3a9e9af21da746c361222deb245848c4c815631268bfe
2026-08-28,munda1968proto:R:c3.p637.i98,*(s)ɔjɔŋ,to bake,proto Kherwarian,PKher,637,98,3,1,munda1968proto:R:c3.p637.i98,,*(s)ɔjɔŋ,to bake,pkh-637-98,linked,self,ingested,source reconstruction,"munda1968proto[p. 98, SEAlang record 637]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,2fe87ecd20875d607057e73b97fa8720aa2c526079a31d404887b55f9011d80b
2026-08-28,munda1968proto:R:c3.p325.i75,*(u-)pùn,four,proto Kherwarian,PKher,325,75,3,1,munda1968proto:R:c3.p325.i75,,*(u-)pùn,four,pkh-325-75,linked,self,ingested,source reconstruction,"munda1968proto[p. 75, SEAlang record 325]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,4ec502137001ec3a4428e6d38404e298eb446b97e822ee8dfc5cdd4d78e7bc43
2026-08-28,munda1968proto:R:c3.p.i67,*-sumuŋ,until,proto Kherwarian,PKher,,67,3,1,munda1968proto:R:c3.p.i67,,*-sumuŋ,until,pkh-none-67,linked,self,ingested,source reconstruction,munda1968proto[p. 67],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,481cd28b92663a98d2e5927bb304492816a8adb2aa0bfa5f622ce2d943f279ca
2026-08-28,munda1968proto:R:c3.p761.i108,*a(a)ʔ,bow,proto Kherwarian,PKher,761,108,3,1,munda1968proto:R:c3.p761.i108,,*a(a)ʔ,bow,pkh-761-108,linked,self,ingested,source reconstruction,"munda1968proto[p. 108, SEAlang record 761]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,fd0e62086ac01edbf58729a8ca2163bde8cf149df5142ac1200d60e5b0b754c7
2026-08-28,munda1968proto:R:c3.p482.i88,*a-bɛn,"you two, 2nd person dual (pronoun)",proto Kherwarian,PKher,482,88,3,1,munda1968proto:R:c3.p482.i88,,*a-bɛn,"you two, 2nd person dual",pkh-482-88,linked,self,ingested,source reconstruction,"munda1968proto[p. 88, SEAlang record 482]",pron du,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,4b8a07c23457e42c974b638c1e98ad528f3c509190b1becb72d0e7f58bdfa8e2
2026-08-28,munda1968proto:R:c3.p110.i59,*a-kin ~ *a-kiŋ,"they two, 3rd person dual pronoun",proto Kherwarian,PKher,110,59,3,1,munda1968proto:R:c3.p110.i59,,*a-kin,"they two, 3rd person dual pronoun",pkh-110-59,linked,self,ingested,source reconstruction,"munda1968proto[p. 59, SEAlang record 110]",pron du,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,41c5688f0a8598d0f2b8e4a0af7a9a092194513a87a179b7e62fa3fbcc0b8909
2026-08-28,munda1968proto:R:c3.p110.i59,*a-kin ~ *a-kiŋ,"they two, 3rd person dual pronoun",proto Kherwarian,PKher,110,59,3,2,munda1968proto:R:c3.p110.i59:v2,munda1968proto:R:c3.p110.i59,*a-kiŋ,"they two, 3rd person dual pronoun",pkh-110-59,linked,self,ingested,source reconstruction,"munda1968proto[p. 59, SEAlang record 110]",pron du,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,41c5688f0a8598d0f2b8e4a0af7a9a092194513a87a179b7e62fa3fbcc0b8909
2026-08-28,munda1968proto:R:c3.p.i102,*a-kɔ,"they, 3rd plural",proto Kherwarian,PKher,,102,3,1,munda1968proto:R:c3.p.i102,,*a-kɔ,"they, 3rd plural",pkh-none-102,linked,self,ingested,source reconstruction,munda1968proto[p. 102],pl,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,66f0c21098480a347f156afd2939b225955b0f87903db32f5bf312d80881cd43
2026-08-28,munda1968proto:R:c3.p481.i87,*a-lɛ,we plural exclusive (pronoun),proto Kherwarian,PKher,481,87,3,1,munda1968proto:R:c3.p481.i87,,*a-lɛ,we plural exclusive,pkh-481-87,linked,self,ingested,source reconstruction,"munda1968proto[p. 87, SEAlang record 481]",pron pl exclusive,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,59e5b2dbc6c565149147eb181e2641e2e81058643c7a41bb3047b8a6c2c89175
2026-08-28,munda1968proto:R:c3.p251.i69,*a-nu,to cause to drink,proto Kherwarian,PKher,251,69,3,1,munda1968proto:R:c3.p251.i69,,*a-nu,to cause to drink,pkh-251-69,linked,self,ingested,source reconstruction,"munda1968proto[p. 69, SEAlang record 251]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,4d0e305f246d7ec59efae666e476e563b48816f16d311d0e5a35cc4f363cf59e
2026-08-28,munda1968proto:R:c3.p497.i88,*a-pɛ,you plural inclusive (pronoun),proto Kherwarian,PKher,497,88,3,1,munda1968proto:R:c3.p497.i88,,*a-pɛ,you plural inclusive,pkh-497-88,linked,self,ingested,source reconstruction,"munda1968proto[p. 88, SEAlang record 497]",pron pl inclusive,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,747e89f238172eaac54de96d447c11d4175743b5ef2034a2c81761a8784cefe0
2026-08-28,munda1968proto:R:c3.p818.i113,*a-r-kid,to take away,proto Kherwarian,PKher,818,113,3,1,munda1968proto:R:c3.p818.i113,,*a-r-kid,to take away,pkh-818-113,linked,self,ingested,source reconstruction,"munda1968proto[p. 113, SEAlang record 818]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,7fda937c01a9a90ff82927827ded636cdfc9fc491b1af186db86d9a151228234
2026-08-28,munda1968proto:R:c3.p253.i69,*a-tu,to float,proto Kherwarian,PKher,253,69,3,1,munda1968proto:R:c3.p253.i69,,*a-tu,to float,pkh-253-69,linked,self,ingested,source reconstruction,"munda1968proto[p. 69, SEAlang record 253]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,3620c76b0bebd8fdd73fc8df9aea60ff0a62c537e2b70692bc75307f112e33a1
2026-08-28,munda1968proto:R:c3.p751.i108,*ab,to wash face,proto Kherwarian,PKher,751,108,3,1,munda1968proto:R:c3.p751.i108,,*ab,to wash face,pkh-751-108,linked,self,ingested,source reconstruction,"munda1968proto[p. 108, SEAlang record 751]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,4b23f78293a37e9420bfd04bea348e82977f5f4b9cfa98337e2595ee78140253
2026-08-28,munda1968proto:R:c3.p276.i71,*ab-uʔ ~ *ab-uŋ,to wash face,proto Kherwarian,PKher,276,71,3,1,munda1968proto:R:c3.p276.i71,,*ab-uʔ,to wash face,pkh-276-71,linked,self,ingested,source reconstruction,"munda1968proto[p. 71, SEAlang record 276]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,3b05dce5ed5a42fc21f6bc240f8919670e0d055d2fad61003fd78c6c1a68e697
2026-08-28,munda1968proto:R:c3.p276.i71,*ab-uʔ ~ *ab-uŋ,to wash face,proto Kherwarian,PKher,276,71,3,2,munda1968proto:R:c3.p276.i71:v2,munda1968proto:R:c3.p276.i71,*ab-uŋ,to wash face,pkh-276-71,linked,self,ingested,source reconstruction,"munda1968proto[p. 71, SEAlang record 276]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,3b05dce5ed5a42fc21f6bc240f8919670e0d055d2fad61003fd78c6c1a68e697
2026-08-28,munda1968proto:R:c3.p949.i123,*aba,father,proto Kherwarian,PKher,949,123,3,1,munda1968proto:R:c3.p949.i123,,*aba,father,pkh-949-123,linked,self,ingested,source reconstruction,"munda1968proto[p. 123, SEAlang record 949]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,eabe7b9b3522b28744327df2b5c7dd79a4c2497f8e98acb0df7774f436f7a3e0
