Record_Type,Source_Key,PDF_Page,Printed_Page,Item,Gloss,Excluded_From_Similarity,Raw_Lect_Code,Lect_Code,Site,District,Reliability,Raw_Form,Form,Review,Source_Scope,Source_Status,Status,Reason,Language_ID,Dialect_ID,Citation,Entry_Key
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,MOS,MOS,Mosyari,Rawalpindi District,A,bʌdn,bʌdn,,target,response,installed,,poth,sil-pahari-pothwari-2010-mos,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, MOS]",silpaharipothwari2010:g001:mos
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,GHO,GHO,Ghora Gali,Rawalpindi District,A,bʌdʌn,bʌdʌn,,target,response,installed,,poth,sil-pahari-pothwari-2010-gho,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, GHO]",silpaharipothwari2010:g001:gho
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,DEW,DEW,Dewal,Rawalpindi District,B,bʌdn,bʌdn,,target,response,installed,,poth,sil-pahari-pothwari-2010-dew,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, DEW]",silpaharipothwari2010:g001:dew
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,AYU,AYU,Ayubia,Abbottabad District,A,bʌdʌn,bʌdʌn,,target,response,installed,,poth,sil-pahari-pothwari-2010-ayu,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, AYU]",silpaharipothwari2010:g001:ayu
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,KOH,KOH,Kohala,Rawalpindi District,A,bʌdʌn,bʌdʌn,,target,response,installed,,poth,sil-pahari-pothwari-2010-koh,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, KOH]",silpaharipothwari2010:g001:koh
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,NIL,NIL,Nilabutt,"Bagh, Azad Kashmir",B,bʌdʌn,bʌdʌn,,target,response,installed,,poth,sil-pahari-pothwari-2010-nil,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, NIL]",silpaharipothwari2010:g001:nil
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,THA,THA,Thandiani,Abbottabad District,A,bʌdʌn,bʌdʌn,,target,response,installed,,poth,sil-pahari-pothwari-2010-tha,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, THA]",silpaharipothwari2010:g001:tha
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,LOR,LOR,Lora,Abbottabad District,A,bʌdʌn,bʌdʌn,,target,response,installed,,poth,sil-pahari-pothwari-2010-lor,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, LOR]",silpaharipothwari2010:g001:lor
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,OSI,OSI,Osia,Rawalpindi District,A,bʌdʌn,bʌdʌn,,target,response,installed,,poth,sil-pahari-pothwari-2010-osi,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, OSI]",silpaharipothwari2010:g001:osi
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,MUZ,MUZ,Muzaffarabad,Muzaffarabad District,B,ǰɪsm,ǰɪsm,,target,response,installed,,poth,sil-pahari-pothwari-2010-muz,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, MUZ]",silpaharipothwari2010:g001:muz
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,DUN,DUN,Dunga Gali,Abbottabad District,A,ǰɪsm,ǰɪsm,,target,response,installed,,poth,sil-pahari-pothwari-2010-dun,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, DUN]",silpaharipothwari2010:g001:dun
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,BHA,BHA,Bharakoh,Islamabad District,B,bʌdʌn,bʌdʌn,,target,response,installed,,poth,sil-pahari-pothwari-2010-bha,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, BHA]",silpaharipothwari2010:g001:bha
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,ABB,ABB,Abbottabad,Abbottabad District,B,ǰɪsm,ǰɪsm,,hindko_control,response,excluded,Abbottabad/Mansehra Hindko comparison list retained audit-only,,,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, ABB]",
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,MAN,MAN,Mansehra,Mansehra District,B,ǰɪsm,ǰɪsm,,hindko_control,response,excluded,Abbottabad/Mansehra Hindko comparison list retained audit-only,,,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, MAN]",
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,MIR,MIR,Mirpur,"Mirpur, Azad Kashmir",B,ǰɪsʌm,ǰɪsʌm,,target,response,installed,,poth,sil-pahari-pothwari-2010-mir,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, MIR]",silpaharipothwari2010:g001:mir
wordlist cell,lothers-lothers2010pahari,154,148,1,body,No,GUJ,GUJ,Gujarkhan,Rawalpindi District,B,bʌdʌn,bʌdʌn,,target,response,installed,,poth,sil-pahari-pothwari-2010-guj,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 1, GUJ]",silpaharipothwari2010:g001:guj
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,MOS,MOS,Mosyari,Rawalpindi District,A,sʌr,sʌr,,target,response,installed,,poth,sil-pahari-pothwari-2010-mos,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, MOS]",silpaharipothwari2010:g002:mos
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,GHO,GHO,Ghora Gali,Rawalpindi District,A,sɪr,sɪr,,target,response,installed,,poth,sil-pahari-pothwari-2010-gho,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, GHO]",silpaharipothwari2010:g002:gho
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,DEW,DEW,Dewal,Rawalpindi District,B,sʌr,sʌr,,target,response,installed,,poth,sil-pahari-pothwari-2010-dew,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, DEW]",silpaharipothwari2010:g002:dew
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,AYU,AYU,Ayubia,Abbottabad District,A,sʌr,sʌr,,target,response,installed,,poth,sil-pahari-pothwari-2010-ayu,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, AYU]",silpaharipothwari2010:g002:ayu
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,KOH,KOH,Kohala,Rawalpindi District,A,sir,sir,,target,response,installed,,poth,sil-pahari-pothwari-2010-koh,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, KOH]",silpaharipothwari2010:g002:koh
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,NIL,NIL,Nilabutt,"Bagh, Azad Kashmir",B,sɛr,sɛr,,target,response,installed,,poth,sil-pahari-pothwari-2010-nil,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, NIL]",silpaharipothwari2010:g002:nil
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,THA,THA,Thandiani,Abbottabad District,A,sɪr,sɪr,,target,response,installed,,poth,sil-pahari-pothwari-2010-tha,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, THA]",silpaharipothwari2010:g002:tha
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,LOR,LOR,Lora,Abbottabad District,A,sɪr,sɪr,,target,response,installed,,poth,sil-pahari-pothwari-2010-lor,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, LOR]",silpaharipothwari2010:g002:lor
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,OSI,OSI,Osia,Rawalpindi District,A,sir,sir,,target,response,installed,,poth,sil-pahari-pothwari-2010-osi,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, OSI]",silpaharipothwari2010:g002:osi
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,MUZ,MUZ,Muzaffarabad,Muzaffarabad District,B,sir,sir,,target,response,installed,,poth,sil-pahari-pothwari-2010-muz,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, MUZ]",silpaharipothwari2010:g002:muz
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,DUN,DUN,Dunga Gali,Abbottabad District,A,sɪr,sɪr,,target,response,installed,,poth,sil-pahari-pothwari-2010-dun,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, DUN]",silpaharipothwari2010:g002:dun
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,BHA,BHA,Bharakoh,Islamabad District,B,sɪr,sɪr,,target,response,installed,,poth,sil-pahari-pothwari-2010-bha,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, BHA]",silpaharipothwari2010:g002:bha
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,ABB,ABB,Abbottabad,Abbottabad District,B,ser,ser,,hindko_control,response,excluded,Abbottabad/Mansehra Hindko comparison list retained audit-only,,,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, ABB]",
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,MAN,MAN,Mansehra,Mansehra District,B,ser,ser,,hindko_control,response,excluded,Abbottabad/Mansehra Hindko comparison list retained audit-only,,,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, MAN]",
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,MIR,MIR,Mirpur,"Mirpur, Azad Kashmir",B,sir,sir,,target,response,installed,,poth,sil-pahari-pothwari-2010-mir,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, MIR]",silpaharipothwari2010:g002:mir
wordlist cell,lothers-lothers2010pahari,154,148,2,head,No,GUJ,GUJ,Gujarkhan,Rawalpindi District,B,sir,sir,,target,response,installed,,poth,sil-pahari-pothwari-2010-guj,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 2, GUJ]",silpaharipothwari2010:g002:guj
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,MOS,MOS,Mosyari,Rawalpindi District,A,bal,bal,,target,response,installed,,poth,sil-pahari-pothwari-2010-mos,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, MOS]",silpaharipothwari2010:g003:mos
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,GHO,GHO,Ghora Gali,Rawalpindi District,A,bal,bal,,target,response,installed,,poth,sil-pahari-pothwari-2010-gho,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, GHO]",silpaharipothwari2010:g003:gho
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,DEW,DEW,Dewal,Rawalpindi District,B,bal,bal,,target,response,installed,,poth,sil-pahari-pothwari-2010-dew,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, DEW]",silpaharipothwari2010:g003:dew
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,AYU,AYU,Ayubia,Abbottabad District,A,bal,bal,,target,response,installed,,poth,sil-pahari-pothwari-2010-ayu,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, AYU]",silpaharipothwari2010:g003:ayu
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,KOH,KOH,Kohala,Rawalpindi District,A,bal,bal,,target,response,installed,,poth,sil-pahari-pothwari-2010-koh,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, KOH]",silpaharipothwari2010:g003:koh
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,NIL,NIL,Nilabutt,"Bagh, Azad Kashmir",B,bal,bal,,target,response,installed,,poth,sil-pahari-pothwari-2010-nil,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, NIL]",silpaharipothwari2010:g003:nil
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,THA,THA,Thandiani,Abbottabad District,A,bal,bal,,target,response,installed,,poth,sil-pahari-pothwari-2010-tha,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, THA]",silpaharipothwari2010:g003:tha
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,LOR,LOR,Lora,Abbottabad District,A,bal,bal,,target,response,installed,,poth,sil-pahari-pothwari-2010-lor,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, LOR]",silpaharipothwari2010:g003:lor
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,OSI,OSI,Osia,Rawalpindi District,A,bal,bal,,target,response,installed,,poth,sil-pahari-pothwari-2010-osi,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, OSI]",silpaharipothwari2010:g003:osi
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,MUZ,MUZ,Muzaffarabad,Muzaffarabad District,B,bal,bal,,target,response,installed,,poth,sil-pahari-pothwari-2010-muz,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, MUZ]",silpaharipothwari2010:g003:muz
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,DUN,DUN,Dunga Gali,Abbottabad District,A,bal,bal,,target,response,installed,,poth,sil-pahari-pothwari-2010-dun,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, DUN]",silpaharipothwari2010:g003:dun
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,BHA,BHA,Bharakoh,Islamabad District,B,bal,bal,,target,response,installed,,poth,sil-pahari-pothwari-2010-bha,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, BHA]",silpaharipothwari2010:g003:bha
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,ABB,ABB,Abbottabad,Abbottabad District,B,bal,bal,,hindko_control,response,excluded,Abbottabad/Mansehra Hindko comparison list retained audit-only,,,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, ABB]",
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,MAN,MAN,Mansehra,Mansehra District,B,bal,bal,,hindko_control,response,excluded,Abbottabad/Mansehra Hindko comparison list retained audit-only,,,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, MAN]",
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,MIR,MIR,Mirpur,"Mirpur, Azad Kashmir",B,bal,bal,,target,response,installed,,poth,sil-pahari-pothwari-2010-mir,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, MIR]",silpaharipothwari2010:g003:mir
wordlist cell,lothers-lothers2010pahari,154,148,3,hair,No,GUJ,GUJ,Gujarkhan,Rawalpindi District,B,bal,bal,,target,response,installed,,poth,sil-pahari-pothwari-2010-guj,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 3, GUJ]",silpaharipothwari2010:g003:guj
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,MOS,MOS,Mosyari,Rawalpindi District,A,čɛ̤rʌ,čɛ̤rʌ,,target,response,installed,,poth,sil-pahari-pothwari-2010-mos,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, MOS]",silpaharipothwari2010:g004:mos
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,GHO,GHO,Ghora Gali,Rawalpindi District,A,mũ,mũ,,target,response,installed,,poth,sil-pahari-pothwari-2010-gho,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, GHO]",silpaharipothwari2010:g004:gho
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,DEW,DEW,Dewal,Rawalpindi District,B,mũ,mũ,,target,response,installed,,poth,sil-pahari-pothwari-2010-dew,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, DEW]",silpaharipothwari2010:g004:dew
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,AYU,AYU,Ayubia,Abbottabad District,A,mũ,mũ,,target,response,installed,,poth,sil-pahari-pothwari-2010-ayu,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, AYU]",silpaharipothwari2010:g004:ayu
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,KOH,KOH,Kohala,Rawalpindi District,A,mũ,mũ,,target,response,installed,,poth,sil-pahari-pothwari-2010-koh,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, KOH]",silpaharipothwari2010:g004:koh
wordlist cell,lothers-lothers2010pahari,154,148,4,face,No,NIL,NIL,Nilabutt,"Bagh, Azad Kashmir",B,čɛ̤rʌ,čɛ̤rʌ,,target,response,installed,,poth,sil-pahari-pothwari-2010-nil,"lothers-lothers2010pahari[Appendix B.1, printed p. 148, item 4, NIL]",silpaharipothwari2010:g004:nil
