Snapshot_Date,Collation_Date,Unit_ID,Printed_Page,Scan,Raw_Headline,Raw_Subparagraphs,Raw_Gloss_German,English_Gloss,Headwords,Labels,Turner_Claim,Final_Status,Final_Form,Final_Parameter_ID,Emitted_Keys,Resolution,Review,Material_Error,Source,Record_SHA256
2026-08-27,2026-08-27,p243:e01,243,TN446831,-a Interrogativ-Partikel: etwa? [Gramm. 5.8.1],"-a 61, 68, 334, 379, 426, -aa 30, 64, 330, 415.",etwa?,interrogative particle: perhaps?,-a,Interrogativ-Partikel:,,installed_form,-a,,degener-shina2008:p243:e01,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 243, glossary entry 1]",dfaff052a3485721c7712c04e5ed2e0d9489f7fbda194eaffa4ca87471525427
2026-08-27,2026-08-27,p243:e02,243,TN446831,-a Interrogativ-Partikel: ... oder ...?,"-a nach Verb 475, 568; -aa nach subst. 289; -aa nach adj. 273, 396.",... oder ...?,interrogative particle: ... or ...?,-a,Interrogativ-Partikel:,,installed_form,-a,,degener-shina2008:p243:e02,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 243, glossary entry 2]",f60e95647c0119dbab47cf1df8384fa8dec5039afd5e861e552431de3aa09a4d
2026-08-27,2026-08-27,p243:e03,243,TN446831,"abáak adj. m./ fem. wortlos, stumm.",229.,"wortlos, stumm","wordless, mute",abáak,adj. | m./ | fem.,,installed_form,abáak,,degener-shina2008:p243:e03,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 243, glossary entry 3]",afb57adf76d1c094533c93b6f315bc407ed3638e270931ca0d8422cd169a6685
2026-08-27,2026-08-27,p243:e04,243,TN446831,"abáš fem. Schwierigkeit, Not. [= Bur., Berger 1966, 81; Ikoh ʌbʌ̀s needless, bad].","608, 635, 639. Locii-s abašér 434.","Schwierigkeit, Not","difficulty, distress",abáš,fem.,,installed_form,abáš,,degener-shina2008:p243:e04,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 243, glossary entry 4]",55ced36dbe3e1e92d0d97bcb96f5e7cc21f709f980172cbcf9de711e0583381d
2026-08-27,2026-08-27,p243:e05,243,TN446831,"abaáto adj. m. träge, faul. [Bur. abádo].",Gen-s abaátei 329.,"träge, faul","sluggish, lazy",abaáto,adj. | m.,,installed_form,abaáto,,degener-shina2008:p243:e05,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 243, glossary entry 5]",6ced2115d4b37f4a24ea099df2ddf51c357c0d003057c92f5b81e13fc6198542
2026-08-27,2026-08-27,p243:e06,243,TN446831,"aboóm adj. m./ fem. verkehrtherum, falsch.",639.,"verkehrtherum, falsch","the wrong way around, wrong",aboóm,adj. | m./ | fem.,,installed_form,aboóm,,degener-shina2008:p243:e06,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 243, glossary entry 6]",f970e7bcddf95ec0e6b7fb827853cc955a22b06eb04087dd281e7c16762cd4cf
2026-08-27,2026-08-27,p243:e07,243,TN446831,"ač- itr. eintreten, hineingehen, eindringen. [T. 227].","Inf ačoóiky 591. Präs 2sm ačéenoo 278. Prät 3sf ačíti 704, 705.","eintreten, hineingehen, eindringen","enter, go in, penetrate",ač-,itr.,227,installed_form,ač-,227,degener-shina2008:p243:e07,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 243, glossary entry 7]",93c3d6b6989102726ad8f5613e51ea08a43d8336308921f9a36f998a44b80025
2026-08-27,2026-08-27,p243:e08,243,TN446831,"ac̣héemo adj. m. böse, böswillig. [= Bur., Berger 1966, 82, T. 47].",269.,"böse, böswillig","evil, malicious",ac̣héemo,adj. | m.,47,installed_form,ac̣héemo,47,degener-shina2008:p243:e08,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 243, glossary entry 8]",c2e92f5fa3b95500c232cf82338ba06e0a71fff682a520790cbf2325d61df7f4
2026-08-27,2026-08-27,p243:e09,243,TN446831,"ac̣hii fem. Auge. [T. 43. Ikoh ayc̣^i, Atlas 98-99].","202, 390, 462, 465, 496, 591, 662, 687. Dat-s ac̣híiyeṭ 77. Abl-s ac̣híiyejo 76, 661. pl. ac̣híiye 191, 221, 390, 683, 686, 688. Gen-pl ac̣híiyoo 371, 372, 661. Dat-pl ac̣híiyoṭ 117. Locii-pl ac̣híiyor 685, 686.",Auge,eye,ac̣hii,fem.,,installed_form,ac̣hii,,degener-shina2008:p243:e09,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 243, glossary entry 9]",8a2f490304509265aea1430c9e659ee082ff02ea9f96d3232aab2429d79537e3
2026-08-27,2026-08-27,p243:e10,243,TN446831,ac̣hi-páṭi fem. Augenlid. [T. 7701].,"Loci-s ac̣hi-páṭyeǰ 687. Loci-pl ac̣hi-páṭyoǰ 660, 688, 689.",Augenlid,eyelid,ac̣hi-páṭi,fem.,7701,installed_form,ac̣hi-páṭi,7701,degener-shina2008:p243:e10,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 243, glossary entry 10]",4b0ffa793ffe3707a386fdee4926c40f072854c3c4d7a5032a5b03831fa43bdc
2026-08-27,2026-08-27,p243:e11,243,TN446831,"ac̣hóoi Walnuss, Walnussbaum. [T. 48, Atlas 95].","Gen-s ac̣hóoyei 616, 646.","Walnuss, Walnussbaum","walnut, walnut tree",ac̣hóoi,,48,installed_form,ac̣hóoi,48,degener-shina2008:p243:e11,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 243, glossary entry 11]",d7591b92e52e6aa7e74a4eb93923bb9242daf9f2b2e18fce45a0055ec5b71591
