Record_Type,Source_Key,PDF_Page,Printed_Page,Item,Gloss,Lect_Code,Language_Label,Site,Similarity_Group,Response_Index,Raw_Form,Form,Review,Uncertainty,Source_Scope,Status,Reason,Language_ID,Dialect_ID,Citation,Entry_Key
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Hi,Hindi,Standard,6,1,ʃʌɾir,ʃʌɾir,Unicode Charis/Doulos SIL text layer,,comparison,excluded,standard comparison/control language; retained audit-only,,,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Hindi-Standard]",
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Pg,Pangi,Tindi,1,1,dʒɐn,dʒɐn,Unicode Charis/Doulos SIL text layer,,prior_list,excluded,previously collected regional comparison list; retained audit-only,,,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Pangi-Tindi]",
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Ch,Chinali,Gushal,4,1,puk,puk,Unicode Charis/Doulos SIL text layer,,target,installed,,cih,sil-lahul-2019-ch-gushal,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Chinali-Gushal]",sillahul2019:g001:sil-lahul-2019-ch-gushal:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Ch,Chinali,Nalda,4,1,ɸuk,ɸuk,Unicode Charis/Doulos SIL text layer,,target,installed,,cih,sil-lahul-2019-ch-nalda,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Chinali-Nalda]",sillahul2019:g001:sil-lahul-2019-ch-nalda:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Lo,Lohari,Gondhla,4,1,phuk,phuk,Unicode Charis/Doulos SIL text layer,,target,installed,,lhl,sil-lahul-2019-lo-gondhla,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Lohari-Gondhla]",sillahul2019:g001:sil-lahul-2019-lo-gondhla:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Lo,Lohari,Gawzang,4,1,phuk,phuk,Unicode Charis/Doulos SIL text layer,,target,installed,,lhl,sil-lahul-2019-lo-gawzang,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Lohari-Gawzang]",sillahul2019:g001:sil-lahul-2019-lo-gawzang:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Pa,Pattani,Jobrang,4,1,puk,puk,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-jobrang,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Pattani-Jobrang]",sillahul2019:g001:sil-lahul-2019-pa-jobrang:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Pa,Pattani,Jobrang,4,2,pukʌ,pukʌ,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-jobrang,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Pattani-Jobrang]",sillahul2019:g001:sil-lahul-2019-pa-jobrang:i2
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Pa,Pattani,Thirot,4,1,phuk̚,phuk̚,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-thirot,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Pattani-Thirot]",sillahul2019:g001:sil-lahul-2019-pa-thirot:i1
wordlist response,chamberlain-chamberlain2019lahul,46,38,1,body,Pa,Pattani,Udeypur,4,1,pug,pug,Unicode Charis/Doulos SIL text layer,,target,installed,,lae,sil-lahul-2019-pa-udeypur,"chamberlain-chamberlain2019lahul[Appendix A.4, printed p. 38, item 1, Pattani-Udeypur]",sillahul2019:g001:sil-lahul-2019-pa-udeypur:i1
