Entry_Key,Status,Form,POS,Gloss,Notes,Audit_Fingerprint,Updated_At
hockings-pilotraichoor1992:p3:c1:y0111,accepted,a-,,,,6883453ff7f58796,2026-08-18
hockings-pilotraichoor1992:p3:c1:y0144,accepted,-a,,,,f32e91dc40c6effb,2026-08-18
hockings-pilotraichoor1992:p3:c1:y0243,accepted,ai,,,,91ca65cb595e8faf,2026-08-18
hockings-pilotraichoor1992:p3:c1:y0264,accepted,aikiya,,,,bec0a65fe71e9941,2026-08-18
hockings-pilotraichoor1992:p3:c1:y0328,accepted,aigua,,,,7c7389ba996dd8b4,2026-08-18
hockings-pilotraichoor1992:p3:c1:y0361,accepted,aida,,,,709294f9c5a8346f,2026-08-18
hockings-pilotraichoor1992:p3:c1:y0395,accepted,aida:vadu,,,,9db03fd4990832c6,2026-08-18
hockings-pilotraichoor1992:p3:c1:y0463,accepted,aidu mani gidu,,,,f3f96c3ec69d13d1,2026-08-18
hockings-pilotraichoor1992:p3:c2:y0120,accepted,Aine:r,,,,7b7fdc65adfa043e,2026-08-18
hockings-pilotraichoor1992:p3:c2:y0287,accepted,au,,,,c769689b80d641fe,2026-08-18
hockings-pilotraichoor1992:p5:c1:y0096,accepted,akki ganje,,,,181dc3ea75a23435,2026-08-18
hockings-pilotraichoor1992:p5:c2:y0097,accepted,akkurama,,,,0786eb9ea99afdfc,2026-08-18
hockings-pilotraichoor1992:p5:c2:y0119,accepted,akkure,,,,4d3ee89db37dbecb,2026-08-18
hockings-pilotraichoor1992:p5:c2:y0141,accepted,aga-,,,,4d284cc5d9451d2b,2026-08-18
hockings-pilotraichoor1992:p5:c2:y0154,accepted,agacu,,,,a4a435d89c3d1dbd,2026-08-18
hockings-pilotraichoor1992:p5:c2:y0186,accepted,agaṭi,,,,945e82e259ec5247,2026-08-18
hockings-pilotraichoor1992:p5:c2:y0229,corrected,agaṭu madilu,,,,00363b5b60c58c67,2026-08-18
hockings-pilotraichoor1992:p5:c2:y0285,corrected,agaṭe,,,,3ece37daf76d3195,2026-08-18
hockings-pilotraichoor1992:p5:c2:y0404,corrected,agaṇḍam,,,,c1aeaf3a174f69ad,2026-08-18
hockings-pilotraichoor1992:p5:c2:y0469,corrected,aga na:ḍu,,,,14a351715763aa6c,2026-08-18
