Item,Printed_Page,Nager_Forms,Hunza_Forms,Turner_IDs,Raw_Entry
8.1,309,baríš|baríša,baríša,11392,"Ḍo.(Ng.) NOM.SG baríš m. “year”, NOM.PL baríša, GEN.PL barišéŋe; besides NOM.SG baríša m., NOM.PL barišóŋ, GEN.PL barišoŋéŋe ↔ Ḍo.(Hz.) NOM.SG baríša “do.”, NOM.PL baríšoŋ (11). – T. 11392.2; Sh. baríṣ m."
8.2,309,č̣éedoos,č̣éedo,5994|6333,"Ḍo.(Ng.) č̣éedoos “after tomorrow” (< č̣ái “three” + dóos m. “day”) ↔ Ḍo.(Hz.) NOM.SG č̣éedo “do.” (12). Lorimer 1939, p. 159 still has č̣ēεdōs. – T. 5994, 6333; Sh. (Gurez) č̣īḍi “day after tomorrow”."
8.3,309,biẓoón,bíiẓoi biẓoóni,12052,"Ḍo.(Ng.) NOM.SG biẓoón f. “rainbow”, NOM.PL biẓoóna ↔ Ḍo.(Hz.) bíiẓoi biẓoóni f. “do.” (13). – Sh. biẓoón f. “rainbow”, béeẓi f. “fine weather; sunshine during rain”; T. 12052."
8.4,309,kháša,khašá,,"Ḍo.(Ng.) NOM.SG kháša f. “mouth”, NOM.PL khašóŋ, GEN.SG khašéi ↔ Ḍo.(Hz.) NOM.SG khašá f. “do.” (23)."
8.5,309,phúla,phulá,,"Ḍo.(Ng.) NOM.SG phúla m. “ashes”, NOM.PL phúle and phulóŋ ↔ Ḍo.(Hz.) NOM.SG phulá m. “do.”, NOM.PL phulé (26). – cf. Buddruss 1986."
8.6,310,búuši|phitíiši,phitíiši|pitiší,8298,"Ḍo.(Ng.) NOM.SG búuši f. “cat”, NOM.PL búušiŋa. – Sh. búuši f.; Bur. buš; T. 8298. ↔ Ḍo.(Hz.) NOM.SG phitíiši f. “do.” (30), pitiší “do.” (Tikkanen 1999, p. 4). In Ḍo.(Ng.) phitíiši is used as the name of a fairy."
8.7,310,bambulaá,bambuláaỵ,,"Ḍo.(Ng.) NOM.SG bambulaá m. “tomcat”, NOM.PL bambulaáŋa, GEN.PL bambulaáŋeŋe ↔ Ḍo.(Hz.) NOM.SG bambuláaỵ m. “do.” (30). – Sh. bambulaá m. (Radloff 1999, p. 118); Bur.(Ng.) bambulá m."
8.8,310,looyá riíl,looyá haliẓá,11135|10752|13990,"Ḍo.(Ng.) NOM.SG looyá riíl m. “brass” (< looyá “red (m.)”; riíl m.”brass, bronze, copper”) ↔ Ḍo.(Hz.) looyá haliẓá m. “brass” (40). – Sh. lóolyo riíl m. “bronze, copper”, halíẓo “yellow (m.)”, halíẓo riíl m. “brass”; T. 11135, 10752, 13990."
8.9,310,támlam,bíčuṣ,,"Ḍo.(Ng.) NOM.SG támlam m. “lightning”, NOM.PL támlama, GEN. SG támlamei. – Bur.(Ng.) támlam ↔ Ḍo.(Hz.) NOM.SG bíčuṣ m. “do.” (45). – Sh. bíčuṣ m.; Bur. bíč̣uṣ."
8.10,310,phóok|phaaká,phaaká,13839|13840,"Ḍo.(Ng.) NOM.SG phóok m. “shoulder”, NOM.PL pháaka, GEN. SG phaakéi; besides phaaká m., NOM.PL phaaké, GEN.SG phaakéi ↔ Ḍo.(Hz.) NOM.SG phaaká “do.”, NOM.PL phaaké (51). – T. 13839, 13840."
