Entry_Key,PDF_Page,Printed_Page,Gold_Head,Embedded_OCR_Head,Fresh_Tesseract_Head,Structural_Parse,Transcription_Decision,Final_Result
hockings-pilotraichoor1992:p3:c1:y0111,23,3,a-,a-,a-,PASS,accepted,PASS
hockings-pilotraichoor1992:p3:c1:y0144,23,3,-a/-na/-ya/-va,-a/-na/-ya/-va,-a/-na/-ya/-va,PASS,accepted,PASS
hockings-pilotraichoor1992:p3:c1:y0243,23,3,ai/agi,ai/agi,ai/agi,PASS,accepted,PASS
hockings-pilotraichoor1992:p3:c1:y0264,23,3,aikiya,aikiya,aikiya,PASS,accepted,PASS
hockings-pilotraichoor1992:p3:c1:y0328,23,3,aigua,aigua,aigua,PASS,accepted,PASS
hockings-pilotraichoor1992:p3:c1:y0361,23,3,aida/agida,aida/agida,aida/agida,PASS,accepted,PASS
hockings-pilotraichoor1992:p3:c1:y0395,23,3,aida:vadu,aidarvadu,aida:vadu,PASS,accepted,PASS
hockings-pilotraichoor1992:p3:c1:y0463,23,3,aidu mani gidu/a:ru mani gidu,aidu maiji gidu/a:ru maiji gidu,aidu mani gidu/a:ru mani gidu,PASS,accepted,PASS
hockings-pilotraichoor1992:p3:c2:y0120,23,3,Aine:r,Ainerr,Aine:r,PASS,accepted,PASS
hockings-pilotraichoor1992:p3:c2:y0287,23,3,au/avu/avvu,au/avu/awu,au/avu/avvu,PASS,accepted,PASS
hockings-pilotraichoor1992:p5:c1:y0096,25,5,akki ganje,akki ganje,akki ganje,PASS,accepted,PASS
hockings-pilotraichoor1992:p5:c2:y0097,25,5,akkurama,akkurama,akkurama,PASS,accepted,PASS
hockings-pilotraichoor1992:p5:c2:y0119,25,5,akkure,akkure,akkure,PASS,accepted,PASS
hockings-pilotraichoor1992:p5:c2:y0141,25,5,aga-,aga-,aga-,PASS,accepted,PASS
hockings-pilotraichoor1992:p5:c2:y0154,25,5,agacu,agacu,agacu,PASS,accepted,PASS
hockings-pilotraichoor1992:p5:c2:y0186,25,5,agaṭi,agati,agaṭi,PASS,accepted,PASS
hockings-pilotraichoor1992:p5:c2:y0229,25,5,agaṭu madilu,agatu madilu,agatu madilu,PASS,corrected,PASS
hockings-pilotraichoor1992:p5:c2:y0285,25,5,agaṭe,agate,agate,PASS,corrected,PASS
hockings-pilotraichoor1992:p5:c2:y0404,25,5,agaṇḍam,agai)(iam,agandam,PASS,corrected,PASS
hockings-pilotraichoor1992:p5:c2:y0469,25,5,aga na:ḍu,aga na:çlu,aga na:du,PASS,corrected,PASS
