Source_Key,PDF_Page,Printed_Page,Page_Line,Item,Gloss,Source_Code,List,Role,Existing_SSNP_Dialect,Source_Cell,Verified_Cell,Similarity_Groups,Expanded_Forms,Record_Type,Review_Method,Review_Status,Confidence,Status,Reason,Language_ID,Dialect_ID,Citation,Installed_Count,Entry_Keys
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,29,1,body,URD,Urdu,Urdu control,,2  dʒɪsm,2  dʒɪsm,2,dʒɪsm,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,Urdu comparison control,,,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list URD]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,30,1,body,CHT,Chitral/Pak,republished SSNP list,SSNP-gojri-CHT,1  dʒɪn,1  dʒɪn,1,dʒɪn,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-CHT,,SSNP-gojri-CHT,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list CHT]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,31,1,body,SSW,Settlet Swat/Pak,republished SSNP list,SSNP-gojri-SSW,4  bʌdʌn / 5 wʌdʒud,4  bʌdʌn / 5 wʌdʒud,4 | 5,bʌdʌn | wʌdʒud,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-SSW,,SSNP-gojri-SSW,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list SSW]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,32,1,body,GLT,Gilgit/Pak,republished SSNP list,SSNP-gojri-GLT,1  dʒɪn,1  dʒɪn,1,dʒɪn,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-GLT,,SSNP-gojri-GLT,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list GLT]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,33,1,body,KGH,Kaghan/Pak,republished SSNP list,SSNP-gojri-KGH,2  dʒɪsʌm / 3  dʒuso,2  dʒɪsʌm / 3  dʒuso,2 | 3,dʒɪsʌm | dʒuso,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-KGH,,SSNP-gojri-KGH,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list KGH]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,34,1,body,NAK,North. Azad/Pak,republished SSNP list,SSNP-gojri-NAK,3  dʒusõ,3  dʒusõ,3,dʒusõ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-NAK,,SSNP-gojri-NAK,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list NAK]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,35,1,body,CAK,Centr. Azad/Pak,republished SSNP list,SSNP-gojri-CAK,4  bʌdʌn,4  bʌdʌn,4,bʌdʌn,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-CAK,,SSNP-gojri-CAK,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list CAK]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,36,1,body,UDH,Udhampur/J&K,new Indian target,,1  dʒhɑn,1  dʒhɑn,1,dʒhɑn,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-udhampur,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list UDH]",1,sileasterngujari2023:p042:i001:UDH:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,37,1,body,JAM,Jammu/J&K,new Indian target,,1  dʒɪnd,1  dʒɪnd,1,dʒɪnd,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-jammu,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list JAM]",1,sileasterngujari2023:p042:i001:JAM:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,38,1,body,CHA,Chamba/H.P.,new Indian target,,1  dʒɑn,1  dʒɑn,1,dʒɑn,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-chamba,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list CHA]",1,sileasterngujari2023:p042:i001:CHA:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,39,1,body,RAM,Rampur/H.P.,new Indian target,,1  dʒɑn,1  dʒɑn,1,dʒɑn,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-rampur,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list RAM]",1,sileasterngujari2023:p042:i001:RAM:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,40,1,body,NAL,Nalagarh/H.P.,new Indian target,,1  dʒɑn,1  dʒɑn,1,dʒɑn,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-nalagarh,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list NAL]",1,sileasterngujari2023:p042:i001:NAL:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,41,1,body,DEH,Dehradun/U.P.,new Indian target,,2  dʒɪsʌm,2  dʒɪsʌm,2,dʒɪsʌm,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-dehra-dun,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list DEH]",1,sileasterngujari2023:p042:i001:DEH:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,42,1,body,KOT,Kotdwara/U.P.,new Indian target,,4  bʌdʌn,4  bʌdʌn,4,bʌdʌn,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-kotdwara,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list KOT]",1,sileasterngujari2023:p042:i001:KOT:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,43,1,body,HAL,Haldwani/U.P.,new Indian target,,1  dʒɑn /  2  dʒɪsʌm,1  dʒɑn /  2  dʒɪsʌm,1 | 2,dʒɑn | dʒɪsʌm,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-haldwani,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list HAL]",2,sileasterngujari2023:p042:i001:HAL:a1 | sileasterngujari2023:p042:i001:HAL:a2
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,47,2,head,URD,Urdu,Urdu control,,1  sʌɾ,1  sʌɾ,1,sʌɾ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,Urdu comparison control,,,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 2, list URD]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,48,2,head,CHT,Chitral/Pak,republished SSNP list,SSNP-gojri-CHT,1  sʌɾ,1  sʌɾ,1,sʌɾ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-CHT,,SSNP-gojri-CHT,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 2, list CHT]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,49,2,head,SSW,Settlet Swat/Pak,republished SSNP list,SSNP-gojri-SSW,1  seɾ,1  seɾ,1,seɾ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-SSW,,SSNP-gojri-SSW,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 2, list SSW]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,50,2,head,GLT,Gilgit/Pak,republished SSNP list,SSNP-gojri-GLT,1  sɛɾ,1  sɛɾ,1,sɛɾ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-GLT,,SSNP-gojri-GLT,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 2, list GLT]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,51,2,head,KGH,Kaghan/Pak,republished SSNP list,SSNP-gojri-KGH,1  seɾ,1  seɾ,1,seɾ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-KGH,,SSNP-gojri-KGH,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 2, list KGH]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,52,2,head,NAK,North. Azad/Pak,republished SSNP list,SSNP-gojri-NAK,1  sɛɾ,1  sɛɾ,1,sɛɾ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-NAK,,SSNP-gojri-NAK,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 2, list NAK]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,53,2,head,CAK,Centr. Azad/Pak,republished SSNP list,SSNP-gojri-CAK,1  sɪɾ,1  sɪɾ,1,sɪɾ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-CAK,,SSNP-gojri-CAK,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 2, list CAK]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,54,2,head,UDH,Udhampur/J&K,new Indian target,,1  sɛɾ,1  sɛɾ,1,sɛɾ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-udhampur,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 2, list UDH]",1,sileasterngujari2023:p042:i002:UDH:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,55,2,head,JAM,Jammu/J&K,new Indian target,,1  sɪɾ,1  sɪɾ,1,sɪɾ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-jammu,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 2, list JAM]",1,sileasterngujari2023:p042:i002:JAM:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,56,2,head,CHA,Chamba/H.P.,new Indian target,,1  sɪɾ,1  sɪɾ,1,sɪɾ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-chamba,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 2, list CHA]",1,sileasterngujari2023:p042:i002:CHA:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,57,2,head,RAM,Rampur/H.P.,new Indian target,,1  sɪɾ,1  sɪɾ,1,sɪɾ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-rampur,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 2, list RAM]",1,sileasterngujari2023:p042:i002:RAM:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,58,2,head,NAL,Nalagarh/H.P.,new Indian target,,1  sɪɾ,1  sɪɾ,1,sɪɾ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-nalagarh,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 2, list NAL]",1,sileasterngujari2023:p042:i002:NAL:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,59,2,head,DEH,Dehradun/U.P.,new Indian target,,1  sɛɾ /  1  sɪɾ,1  sɛɾ /  1  sɪɾ,1 | 1,sɛɾ | sɪɾ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-dehra-dun,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 2, list DEH]",2,sileasterngujari2023:p042:i002:DEH:a1 | sileasterngujari2023:p042:i002:DEH:a2
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,60,2,head,KOT,Kotdwara/U.P.,new Indian target,,1  sɛɾ,1  sɛɾ,1,sɛɾ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-kotdwara,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 2, list KOT]",1,sileasterngujari2023:p042:i002:KOT:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,61,2,head,HAL,Haldwani/U.P.,new Indian target,,1  sɪɾ,1  sɪɾ,1,sɪɾ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-haldwani,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 2, list HAL]",1,sileasterngujari2023:p042:i002:HAL:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,65,3,hair,URD,Urdu,Urdu control,,1  bɑl,1  bɑl,1,bɑl,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,Urdu comparison control,,,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 3, list URD]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,66,3,hair,CHT,Chitral/Pak,republished SSNP list,SSNP-gojri-CHT,2  bɑ,2  bɑ,2,bɑ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-CHT,,SSNP-gojri-CHT,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 3, list CHT]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,67,3,hair,SSW,Settlet Swat/Pak,republished SSNP list,SSNP-gojri-SSW,2  bɑ,2  bɑ,2,bɑ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-SSW,,SSNP-gojri-SSW,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 3, list SSW]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,68,3,hair,GLT,Gilgit/Pak,republished SSNP list,SSNP-gojri-GLT,1  bɑɽ,1  bɑɽ,1,bɑɽ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-GLT,,SSNP-gojri-GLT,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 3, list GLT]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,69,3,hair,KGH,Kaghan/Pak,republished SSNP list,SSNP-gojri-KGH,1  bɑɽ,1  bɑɽ,1,bɑɽ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-KGH,,SSNP-gojri-KGH,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 3, list KGH]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,70,3,hair,NAK,North. Azad/Pak,republished SSNP list,SSNP-gojri-NAK,1  bɑl,1  bɑl,1,bɑl,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-NAK,,SSNP-gojri-NAK,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 3, list NAK]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,71,3,hair,CAK,Centr. Azad/Pak,republished SSNP list,SSNP-gojri-CAK,1  bɑl,1  bɑl,1,bɑl,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,excluded,audit-only reprint; primary SSNP data already installed as SSNP-gojri-CAK,,SSNP-gojri-CAK,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 3, list CAK]",0,
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,72,3,hair,UDH,Udhampur/J&K,new Indian target,,1  bɑl,1  bɑl,1,bɑl,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-udhampur,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 3, list UDH]",1,sileasterngujari2023:p042:i003:UDH:a1
hugoniot-polster-ahmad-rajan2023easterngujari,42,34,73,3,hair,JAM,Jammu/J&K,new Indian target,,1  bɑɭ,1  bɑɭ,1,bɑɭ,response,manual visual comparison against 180-dpi rendered canonical PDF page; Unicode text layer used only as extraction scaffold,complete,high,installed,,Goj,sil-eastern-gujari-1996-jammu,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 3, list JAM]",1,sileasterngujari2023:p042:i003:JAM:a1
