Status,Entry_Key,Printed_Page,Column,Source_Label,Raw_OCR_Label,Raw_OCR_Block,Form,Gloss,POS,Loan,Uncertain
ocr_unreviewed,mundlay1996:1,17,1,1,L1,"abā (N) ‘father’, cf. M. Zbā term of address, Md. bāp ‘father’. Nihali makes no distinction here between term of reference and of address, K. -ba, PM. -ba. a. abāīna bhaga may (NC) ‘great grandmother’, lit. ‘father’s grandmother’. b. abāna bhaga āäbā (NC) ‘great grandfather’.",abā,father,N,yes,no
ocr_unreviewed,mundlay1996:2,17,1,2,L2,"ačambo (N) ‘surprise’, cf. M. acamba.",ačambo,surprise,N,yes,no
ocr_unreviewed,mundlay1996:3,17,1,3,L3,"ačar (N) ‘end of a sari which is draped over the shoulders’, cf. Hd. acal.",ačar,end of a sari which is draped over the shoulders,N,yes,no
ocr_unreviewed,mundlay1996:4,17,1,4,4,ačči (Vtr) ‘dig’,ačči,dig,Vtr,no,no
ocr_unreviewed,mundlay1996:5,17,1,5,L5,"ādā (Adj -Vintr-) ‘half; to halve’, cf. H. ādhā.",ādā,half; to halve,Adj -Vintr-,yes,no
ocr_unreviewed,mundlay1996:6,17,1,6,L6,"adar (NVtr-) ‘order’, cf. English order in use in H. and M.",adar,order,NVtr-,yes,no
ocr_unreviewed,mundlay1996:7,17,1,7,?7,"adawdi (I) ‘suddenly, at once’. This is possibly a reduplication ađda-odi. M. ekaeki has the same meaning and similar formation, but in M. ad- ‘to obstruct’, so no connection.",adawdi,"suddenly, at once",I,no,yes
ocr_unreviewed,mundlay1996:8,17,1,8,8,"addo (N) ‘tree’. a. addo umúni (NC) ‘seed bed’. b. addone joppó (NC) ‘sap of the tæee’, lit. ‘water by the tree’.",addo,tree,N,no,no
ocr_unreviewed,mundlay1996:9,17,1,9,9,adé (Vintr) ‘to burn’ as in ‘the fire’.,adé,to burn,Vintr,no,no
ocr_unreviewed,mundlay1996:10,17,1,10,L10,"adito (NV-) ‘habit’, cf. H. Zdat.",adito,habit,NV-,yes,no
ocr_unreviewed,mundlay1996:11,17,1,11,L11,"adla-bedli -kamay (V} ‘to barter, exchange’, cf. M. adlabadal (noun).",adla-bedli -kamay,"to barter, exchange",V,yes,no
ocr_unreviewed,mundlay1996:12,17,1,12,12,admosu (Vintr) ‘to stretch after sleep.,admosu,,Vintr,no,no
ocr_unreviewed,mundlay1996:13,17,1,13,?13,"ador (Vintr) ‘to speak haltingly, with a defect’, cf. M. ad- ‘obstruct’ (verb).",ador,"to speak haltingly, with a defect",Vintr,no,yes
ocr_unreviewed,mundlay1996:14,17,1,14,L14,"aggari (N-) ‘train’, cf. M. äggādi.",aggari,train,N-,yes,no
ocr_unreviewed,mundlay1996:15,17,1,15,L15,"aggaso (N-) ‘sky’, cf. M. akāš.",aggaso,sky,N-,yes,no
ocr_unreviewed,mundlay1996:16,17,1,16,L16,"agin (N) ‘summer’, cf. MH agni ‘fire’.",agin,summer,N,yes,no
ocr_unreviewed,mundlay1996:17,17,1,17,17,agin-bí (VC) ‘to perspire’.,agin-bí,to perspire,VC,no,no
ocr_unreviewed,mundlay1996:18,17,1,18,18,agor (N) ‘trap for catching animals in the forest’.,agor,trap for catching animals in the forest,N,no,no
ocr_unreviewed,mundlay1996:19,17,1,19,19,"agri (Vtr) ‘to shut, close’.",agri,"to shut, close",Vtr,no,no
ocr_unreviewed,mundlay1996:20,17,1,20,20,"aja (V) ‘to thank’, cf. K. aya ‘to be happy’.",aja,to thank,V,no,no
ocr_unreviewed,mundlay1996:21,17,2,21,L21,"ajāb-kamay (V) ‘decorate’, cf. HM ajab ‘wonderful’.",ajāb-kamay,decorate,V,yes,no
ocr_unreviewed,mundlay1996:22,17,2,22,L22,"ajānā (N) ‘name of a tropical tree’, cf. HM anjan.",ajānā,name of a tropical tree,N,yes,no
ocr_unreviewed,mundlay1996:23,17,2,23,23,"āji (N) ‘sister-in-law°, i.e., ‘husband’s younger sister’.",āji,"sister-in-law°, i.e., ‘husband",N,no,no
ocr_unreviewed,mundlay1996:24,17,2,24,L24,"ajiw (D) ‘immediately, now’, cf. Md ajji meaning ‘presently’ (said to be from Urdu, but cf. Sanskrit adya- ‘today’).",ajiw,"immediately, now",D,yes,no
ocr_unreviewed,mundlay1996:25,17,2,25,L25,"ajgar (N) ‘python’, cf. HM ajgar.",ajgar,python,N,yes,no
ocr_unreviewed,mundlay1996:26,17,2,26,26,ajmí (NV) ‘vomit.,ajmí,,NV,no,no
ocr_unreviewed,mundlay1996:27,17,2,27,27,"ákā (V) ‘to hang up on a line, ete.’, cf. K. akhà-.",ákā,"to hang up on a line, ete.",V,no,no
ocr_unreviewed,mundlay1996:28,17,2,28,28,akāwā (N) ‘name of a bush’.,akāwā,name of a bush,N,no,no
ocr_unreviewed,mundlay1996:29,17,2,29,?29,"akhandā (N) ‘finger, cf. M. āpgathā ‘thumb’, Sanskrit angustha- ‘thumb’. This must be an older loan since there is metathesis of the nasal and aspiration as well as change in voicing of the consonants. a. sendā akhandā (NC) ‘thumb’. b. akhandā langí (NC) ‘web of a finger’.",akhandā,"finger, cf. M. āpgathā ‘thumb",N,no,yes
ocr_unreviewed,mundlay1996:30,17,2,30,?30,"akhunda (N) some speakers return this for 29 above; cf. Sk. angustha-, OM. anguthā.",akhunda,,N,no,yes
ocr_unreviewed,mundlay1996:31,17,2,31,?31,"akiri (N) ‘camp, short-term resting place’, H. ākhādā ‘gymnasium of wrestlers’.",akiri,"camp, short-term resting place",N,no,yes
ocr_unreviewed,mundlay1996:32,17,2,32,L32,"akkal-kāmāy (VC) ‘to advise’, cf. M. akkal (noun) ‘wisdom’ (from Arabic).",akkal-kāmāy,to advise,VC,yes,no
ocr_unreviewed,mundlay1996:33,17,2,33,L33,akkal-kāyni (VC) ‘to cry loudly in anguish’.,akkal-kāyni,to cry loudly in anguish,VC,yes,no
ocr_unreviewed,mundlay1996:35,17,2,35,L35,"alā (1) ‘exclamation of surprise’, cf. K. ala.",alā,exclamation of surprise,1,yes,no
ocr_unreviewed,mundlay1996:36,17,2,36,?36,"alābalā (I) ‘descriptive of inferior quality’, e.g. alābalä biji báårobe ‘do not sing such trash’, cf. M. alābalā used in the ritual of warding off the evil eye.",alābalā,descriptive of inferior quality,I,no,yes
ocr_unreviewed,mundlay1996:37,17,2,37,L37,"alāgat (I) ‘descriptive of caution, delicacy, discretion, etc.’, cf M. algat of similar meaning.",alāgat,"descriptive of caution, delicacy, discretion, etc.",I,yes,no
ocr_unreviewed,mundlay1996:38,17,2,38,L38,"alāgo (NV) ‘separate’, cf. MH. alag ‘separate’.",alāgo,separate,NV,yes,no
ocr_unreviewed,mundlay1996:39,17,2,39,39,alogo (N) ʻa strip of bark used as a rope; a thin bamboo stick’.,alogo,a strip of bark used as a rope; a thin bamboo stick,N,no,no
ocr_unreviewed,mundlay1996:40,17,2,40,40,"alú (V) ‘to stretch oneself’, cf. M. alas dene same meaning, Sk. Zlasya ‘laziness’.",alú,to stretch oneself,V,no,no
ocr_unreviewed,mundlay1996:41,18,1,41,L41,"Āāmuso (N) ‘new moon night, cf. Md. amuša, Sk. amāvāsyā.",Āāmuso,,N,yes,no
ocr_unreviewed,mundlay1996:42,18,1,42,L42,"anā or ānā ? (N) ‘one anna, 1/16 of a rupee’. This was the coin before the decimal system was introduced in India, cf. M. āna. Now it is used to indicate percentage of crops, etc.",anā or ānā ?,"one anna, 1/16 of a rupee",N,yes,no
ocr_unreviewed,mundlay1996:43,18,1,43,L43,"ana-biki-kayni (VC) ‘to take a vow, to promise secretly’, cf. M. ānbhāk (noun) ‘secret pact? — Än refers to the gesture and bhāk to the accompanying words; cf. Sk. bhas ‘speak’.",ana-biki-kayni,"to take a vow, to promise secretly",VC,yes,no
ocr_unreviewed,mundlay1996:44,18,1,44,44,ancho (V) ‘to pick’.,ancho,to pick,V,no,no
ocr_unreviewed,mundlay1996:45,18,1,45,45,"anchi (V) ‘to select, to pick’; see 44.",anchi,"to select, to pick",V,no,no
ocr_unreviewed,mundlay1996:46,18,1,46,46,"anda (Adj - V) ‘bad, false; to become badđ’. a. anda bai (NC) ‘female adulterer’. b. anda manso (NC) ‘male adulterer’.",anda,"bad, false; to become badđ",Adj - V,no,no
ocr_unreviewed,mundlay1996:47,18,1,47,47,"andáy (V } ‘to suffer from venereal disease’, (In M. ānda refers to a man’s balls). Sk. anda ‘egg’.",andáy,to suffer from venereal disease,V,no,no
ocr_unreviewed,mundlay1996:48,18,1,48,48,āndij (N) ‘a root like the sweet potato’.,āndij,a root like the sweet potato,N,no,no
ocr_unreviewed,mundlay1996:49,18,1,49,L49,"andori (NV} ‘darkness; to become dark’, cf. M. andhār.",andori,darkness; to become dark,NV,yes,no
ocr_unreviewed,mundlay1996:50,18,1,50,?50,"andhloy (N) ‘menstruation’. It could be a NC anda loy ‘bad blood’, cf. H. Joi ‘blood’.",andhloy,menstruation,N,no,yes
ocr_unreviewed,mundlay1996:51,18,1,51,?51,"ane (Adj - V) ‘other; to do such and such’, e.g. jó téka do ane-aneka do kappi ‘1 eat and do this and that and slept’, cf. Sk. anya.",ane,other; to do such and such,Adj - V,no,yes
ocr_unreviewed,mundlay1996:52,18,1,52,52,anjer (V) ‘to become senseless; faint’.,anjer,to become senseless; faint,V,no,no
ocr_unreviewed,mundlay1996:53,18,1,53,L53,"angārā (N} ‘fragrant black powder of magico-religious potency’, cf. M. angārā.",angārā,fragrant black powder of magico-religious potency,N,yes,no
ocr_unreviewed,mundlay1996:54,18,1,54,L54,"angulij (V - N) ‘to bathe; bath’ (it may be body-wash). In the nominal form, /j/ is optionally deleted, cf. K. äguluj, M. ānghol, Md. anguli, Sk. anga ‘body’. a. angloy basonki bethey ‘puberty’, see 50, lit. ‘not taking bath’",angulij,to bathe; bath,V - N,yes,no
ocr_unreviewed,mundlay1996:55,18,1,55,L55,"angúb (NV) ‘to yawn’, cf. K. angub.",angúb,to yawn,NV,yes,no
ocr_unreviewed,mundlay1996:56,18,1,56,L56,"angārko (N) ‘upper garment of a man’, cf. M. angarkhā.",angārko,upper garment of a man,N,yes,no
ocr_unreviewed,mundlay1996:57,18,1,57,L57,"anuij (V) ‘to bend down (as of a branch’, K. anuj.",anuij,to bend down (as of a branch,V,yes,no
ocr_unreviewed,mundlay1996:58,18,1,58,L58,"&āp (PN) honorific pronoun for second person; used only to address officials, etc., who are non-Nihals; never used in an all Nihali talking group, cf. H. äp, M. āpan. a. āpla ‘your’, cf. M. āpla ‘genitive form’, usage as above only for non-Nihals.",&āp,your,PN,yes,no
ocr_unreviewed,mundlay1996:59,18,1,59,59,ápa (V) ‘to cry’.,ápa,to cry,V,no,no
ocr_unreviewed,mundlay1996:60,18,2,60,60,"ápaenkāmā (V} ‘to make to cry’, eg. jó bacakan ápaenkamaka ‘I cause the child to cry’.",ápaenkāmā,to make to cry,V,no,no
ocr_unreviewed,mundlay1996:61,18,2,61,6l,"aparā (N) ‘ritual impurity after death, mourning’, see 59. This could be apa-ra; ra is a personalizer, lit. ‘crying oneself’.",aparā,"ritual impurity after death, mourning",N,no,no
ocr_unreviewed,mundlay1996:62,18,2,62,L62,"aphir (V) ‘fly’, K. aphir.",aphir,fly,V,yes,no
ocr_unreviewed,mundlay1996:63,18,2,63,63,aphiri (N) ‘fire-fly’.,aphiri,fire-fly,N,no,no
ocr_unreviewed,mundlay1996:64,18,2,64,64,apó (V) ‘to start towards’.,apó,to start towards,V,no,no
ocr_unreviewed,mundlay1996:65,18,2,65,65,"ápó (NV) ‘wood; to be lit’, e.g. apóka ‘it bums’.",ápó,wood; to be lit,NV,no,no
ocr_unreviewed,mundlay1996:66,18,2,66,66,ápokama (V) ‘to light a fire’.,ápokama,to light a fire,V,no,no
ocr_unreviewed,mundlay1996:67,18,2,67,767,"apse-bando (VC) ‘to check flow of blood’ (as in dressing a wound), bandh ‘to tie’ in M.",apse-bando,to check flow of blood,VC,no,no
ocr_unreviewed,mundlay1996:68,18,2,68,68,"ara see (a) below; does not occur by itself. a. ara jāto (NC) ‘other caste’, e.g. jó kaltu āp babinye. ara jato āpla ‘I (am) a Nihal. You are a brahmin. Your caste is different’.",ara,other caste,,no,no
ocr_unreviewed,mundlay1996:69,18,2,69,69,ará (V) ‘to examine closely’.,ará,to examine closely,V,no,no
ocr_unreviewed,mundlay1996:70,18,2,70,L70,arado (NV) ‘to systematically cry loudly to raise a wild animal in hunting? — this may be an older loan. Hunting by Nihals is now non-existent. Cf. M. arda-orad (noun) ‘loud cry’.,arado,to systematically cry loudly to raise a wild animal in hunting? — this may be an older loan. Hunting by Nihals is now non-existent. Cf. M. arda-orad (noun) ‘loud cry,NV,yes,no
ocr_unreviewed,mundlay1996:71,18,2,71,71,"arāngá (Adj - V) ‘stale; to become stale’, e.g. sokora arangaya ‘bread became state’.",arāngá,stale; to become stale,Adj - V,no,no
ocr_unreviewed,mundlay1996:72,18,2,72,72,"arāni see (a); does not occur by itself. a. arāni mór (NC) ʻa thorny bush, grown for hedges’, M. name for it is tantapi.",arāni,"a thorny bush, grown for hedges",,no,no
ocr_unreviewed,mundlay1996:73,18,2,73,73,arāti (N) ‘thorny bush’.,arāti,thorny bush,N,no,no
ocr_unreviewed,mundlay1996:74,18,2,74,L74,"arāy (num) ‘two and a half, cf. H. adhay, Hd. aray.",arāy,,num,yes,no
ocr_unreviewed,mundlay1996:75,18,2,75,75,"arāy (V) ‘to see’, cf. 69 above (use of tone by Nihals — some speakers lapse from it)",arāy,to see,V,no,no
ocr_unreviewed,mundlay1996:76,18,2,76,76,"arec (V) ‘to brush away into a pile on one side (dry leaves, ete.y.",arec,,V,no,no
ocr_unreviewed,mundlay1996:77,18,2,77,T1,"arki (V) ‘to weave’. Nihals nowadays buy all clothing in weekly markets, But stories of weaving survive in folk tales.",arki,to weave,V,no,no
