Record_Type,Source_Key,PDF_Page,Printed_Page,Concept,Gloss,Lect,Scope,Category,Response_Index,Raw_Form,Form,Notes,Status,Reason,Language_ID,Dialect_ID,Citation,Entry_Key
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Son-Bal,Nimadi target list,1,1,N-Son-Bal 1 sʌɾir,sʌɾir,,installed,,Nimadi,sil-nimadi-2012-sonipura-balai,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Son-Bal]",silnimadi2012:g001:sil-nimadi-2012-sonipura-balai:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Son-Pat,Nimadi target list,1,1,N-Son-Pat 1 ʃəɾiɾ,ʃəɾiɾ,,installed,,Nimadi,sil-nimadi-2012-sonipura-patidar,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Son-Pat]",silnimadi2012:g001:sil-nimadi-2012-sonipura-patidar:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Son-Pat,Nimadi target list,1,2,1 sʌɾi,sʌɾi,,installed,,Nimadi,sil-nimadi-2012-sonipura-patidar,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Son-Pat]",silnimadi2012:g001:sil-nimadi-2012-sonipura-patidar:i2
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Son-Pat,Nimadi target list,4,3,4 tʃʌmədɔ,tʃʌmədɔ,,installed,,Nimadi,sil-nimadi-2012-sonipura-patidar,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Son-Pat]",silnimadi2012:g001:sil-nimadi-2012-sonipura-patidar:i3
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Bal-Br,Nimadi target list,1,1,N-Bal-Br 1 sʌɾi,sʌɾi,,installed,,Nimadi,sil-nimadi-2012-balkhad-brahmin,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Bal-Br]",silnimadi2012:g001:sil-nimadi-2012-balkhad-brahmin:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Jaj-OBC,Nimadi target list,2,1,N-Jaj-OBC 2 bɑd̪ɑn,bɑd̪ɑn,,installed,,Nimadi,sil-nimadi-2012-jajamkhedi-obc,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Jaj-OBC]",silnimadi2012:g001:sil-nimadi-2012-jajamkhedi-obc:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Bhi-Bhi,Nimadi target list,1,1,N-Bhi-Bhi 1 sʌɾi,sʌɾi,,installed,,Nimadi,sil-nimadi-2012-bhilkheda-bhilala,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Bhi-Bhi]",silnimadi2012:g001:sil-nimadi-2012-bhilkheda-bhilala:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Dhar-Bhi,Nimadi target list,1,1,N-Dhar-Bhi 1 sʌɾir,sʌɾir,,installed,,Nimadi,sil-nimadi-2012-awlia-dhar-bhilala,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Dhar-Bhi]",silnimadi2012:g001:sil-nimadi-2012-awlia-dhar-bhilala:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Khj-Bhi,Nimadi target list,2,1,N-Khj-Bhi 2 bɑd̪ɑn,bɑd̪ɑn,,installed,,Nimadi,sil-nimadi-2012-khajuri-bhilala,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Khj-Bhi]",silnimadi2012:g001:sil-nimadi-2012-khajuri-bhilala:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Mah-Bhi,Nimadi target list,1,1,N-Mah-Bhi 1 sʌɾiɾ,sʌɾiɾ,,installed,,Nimadi,sil-nimadi-2012-maheshwar-bhilala,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Mah-Bhi]",silnimadi2012:g001:sil-nimadi-2012-maheshwar-bhilala:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Rup-Br,Nimadi target list,1,1,N-Rup-Br 1 sʌɾi,sʌɾi,,installed,,Nimadi,sil-nimadi-2012-rupkheda-brahmin,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Rup-Br]",silnimadi2012:g001:sil-nimadi-2012-rupkheda-brahmin:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Khr-Gen,Nimadi target list,2,1,N-Khr-Gen 2 bɑd̪ɑn,bɑd̪ɑn,,installed,,Nimadi,sil-nimadi-2012-khargone-general,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Khr-Gen]",silnimadi2012:g001:sil-nimadi-2012-khargone-general:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Awl-Bal,Nimadi target list,1,1,N-Awl-Bal 1 sʌɾiɾ,sʌɾiɾ,,installed,,Nimadi,sil-nimadi-2012-awlia-khandwa-balai,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Awl-Bal]",silnimadi2012:g001:sil-nimadi-2012-awlia-khandwa-balai:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Sir-OBC,Nimadi target list,1,1,N-Sir-OBC 1 sʌɾi,sʌɾi,,installed,,Nimadi,sil-nimadi-2012-sirpur-melgav-obc,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Sir-OBC]",silnimadi2012:g001:sil-nimadi-2012-sirpur-melgav-obc:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Sir-OBC,Nimadi target list,4,2,4 tʃʌmədɔ,tʃʌmədɔ,,installed,,Nimadi,sil-nimadi-2012-sirpur-melgav-obc,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Sir-OBC]",silnimadi2012:g001:sil-nimadi-2012-sirpur-melgav-obc:i2
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,N-Kup-Dar,Nimadi target list,1,1,N-Kup-Dar 1 sʌɾi,sʌɾi,,installed,,Nimadi,sil-nimadi-2012-kupdol-badgav-darbar,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, N-Kup-Dar]",silnimadi2012:g001:sil-nimadi-2012-kupdol-badgav-darbar:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,Par Bhi,comparison list,1,1,Par Bhi 1 sʌɾir,sʌɾir,,excluded,borrowed or standard comparison list,,,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, Par Bhi]",
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,Malvi,comparison list,1,1,Malvi 1 ʃəɾiɾ,ʃəɾiɾ,,excluded,borrowed or standard comparison list,,,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, Malvi]",
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,Hindi,comparison list,1,1,Hindi 1 ʃəɾiɾ,ʃəɾiɾ,,excluded,borrowed or standard comparison list,,,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, Hindi]",
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,Gujarati,comparison list,1,1,Gujarati 1 ʃəɾiɾ,ʃəɾiɾ,,excluded,borrowed or standard comparison list,,,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, Gujarati]",
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,Marathi,comparison list,1,1,Marathi 1 səɾiɾ,səɾiɾ,,excluded,borrowed or standard comparison list,,,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, Marathi]",
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,1,body,Marathi,comparison list,3,2,3 ʌŋg,ʌŋg,,excluded,borrowed or standard comparison list,,,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 1, Marathi]",
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,2,head,N-Son-Bal,Nimadi target list,3,1,N-Son-Bal 3 mɑd̪ʱɔ,mɑd̪ʱɔ,,installed,,Nimadi,sil-nimadi-2012-sonipura-balai,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 2, N-Son-Bal]",silnimadi2012:g002:sil-nimadi-2012-sonipura-balai:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,2,head,N-Son-Pat,Nimadi target list,1,1,N-Son-Pat 1 sɪɾ,sɪɾ,,installed,,Nimadi,sil-nimadi-2012-sonipura-patidar,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 2, N-Son-Pat]",silnimadi2012:g002:sil-nimadi-2012-sonipura-patidar:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,2,head,N-Son-Pat,Nimadi target list,3,2,3 mɑd̪ʱɔ,mɑd̪ʱɔ,,installed,,Nimadi,sil-nimadi-2012-sonipura-patidar,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 2, N-Son-Pat]",silnimadi2012:g002:sil-nimadi-2012-sonipura-patidar:i2
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,2,head,N-Bal-Br,Nimadi target list,3,1,N-Bal-Br 3 mɑtʰ̪ʌ,mɑtʰ̪ʌ,,installed,,Nimadi,sil-nimadi-2012-balkhad-brahmin,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 2, N-Bal-Br]",silnimadi2012:g002:sil-nimadi-2012-balkhad-brahmin:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,2,head,N-Jaj-OBC,Nimadi target list,3,1,N-Jaj-OBC 3 mɑtʰ̪o,mɑtʰ̪o,,installed,,Nimadi,sil-nimadi-2012-jajamkhedi-obc,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 2, N-Jaj-OBC]",silnimadi2012:g002:sil-nimadi-2012-jajamkhedi-obc:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,2,head,N-Bhi-Bhi,Nimadi target list,3,1,N-Bhi-Bhi 3 mɑtʰ̪ɑ,mɑtʰ̪ɑ,,installed,,Nimadi,sil-nimadi-2012-bhilkheda-bhilala,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 2, N-Bhi-Bhi]",silnimadi2012:g002:sil-nimadi-2012-bhilkheda-bhilala:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,2,head,N-Dhar-Bhi,Nimadi target list,3,1,N-Dhar-Bhi 3 mɑtʰ̪ɑ,mɑtʰ̪ɑ,,installed,,Nimadi,sil-nimadi-2012-awlia-dhar-bhilala,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 2, N-Dhar-Bhi]",silnimadi2012:g002:sil-nimadi-2012-awlia-dhar-bhilala:i1
wordlist response,vunnamatla-john-samuvel2012nimadi,58,57,2,head,N-Khj-Bhi,Nimadi target list,3,1,N-Khj-Bhi 3 mʌd̪ʰo,mʌd̪ʰo,,installed,,Nimadi,sil-nimadi-2012-khajuri-bhilala,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 57, item 2, N-Khj-Bhi]",silnimadi2012:g002:sil-nimadi-2012-khajuri-bhilala:i1
