Snapshot_Date,Collation_Date,Unit_ID,PDF_Page,Printed_Page,Raw_Form,Raw_Gloss_German,English_Gloss,Final_Status,Final_Form,Final_Parameter_ID,Emitted_Key,Resolution,Review,Material_Error,Source,Record_SHA256
2026-08-28,2026-08-28,p40:e01,17,40,ač-,"eintreten, hineingehen",enter; go in,installed_form,ač-,227,buddruss-shina1996:p40:e01,direct headword; causative and inflected examples remain prose,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 40, glossary entry 01]",4c406f298cde01aa4cf530837e0620646499308140a6365b99a5bac0efe97e9e
2026-08-28,2026-08-28,p40:e02,17,40,achíi,Auge,eye,installed_form,achíi,43,buddruss-shina1996:p40:e02,manually collated printed glossary headword,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 40, glossary entry 02]",f1c9c2f2bb7a4f939067ea99cb25574a9afa53c4cb31123f693127e3963fb5ad
2026-08-28,2026-08-28,p40:e03,17,40,achóo,Walnuß,walnut,installed_form,achóo,48,buddruss-shina1996:p40:e03,manually collated printed glossary headword,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 40, glossary entry 03]",493b1c94dde7543fcca102c9d7ca6c194144b7dcccce708ad11e29fd212ac350
2026-08-28,2026-08-28,p40:e04,17,40,agúl,Hülle; Schwertscheide,cover; sheath,installed_form,agúl,,buddruss-shina1996:p40:e04,canonical member of the printed agúl = hagúl cross-reference pair,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 40, glossary entry 04]",c1225eb6b3353735085ffa6e5f15ab3db7fbac26ac5528a4ed36efe490bf99e2
2026-08-28,2026-08-28,p40:e05,17,40,agurií,ungesponnene Wolle,unspun wool,installed_form,agurií,,buddruss-shina1996:p40:e05,source compares Sanskrit anigaruha-,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 40, glossary entry 05]",9cb4edf481802883cc771db224e805efc1ae23859f04672ab6c01ffd32dea176
2026-08-28,2026-08-28,p40:e06,17,40,ai,Ziege,goat,installed_form,ai,,buddruss-shina1996:p40:e06,"Turner 145 and 887 are alternatives, so neither is linked",full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 40, glossary entry 06]",ae0ddd6c044c7e535927ac2c438971fb2d624b0a1e6c632963ff73909efb4bff
2026-08-28,2026-08-28,p40:e07,17,40,áa~i,Mund,mouth,installed_form,áa~i,1533,buddruss-shina1996:p40:e07,printed nasal vowel normalized to source-profile ~ notation,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 40, glossary entry 07]",eaea6fce3eba0e284beba14c4ddd0634bb523777af8a122613e1f4aa417358b5
2026-08-28,2026-08-28,p40:e08,17,40,ají,oben,above,installed_form,ají,274,buddruss-shina1996:p40:e08,manually collated printed glossary headword,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 40, glossary entry 08]",bcb80f09e72757a2bb033223d0270225f4e213696dfea22ad7391eeb14ab1e8e
2026-08-28,2026-08-28,p40:e09,17,40,aáji,Mutter,mother,installed_form,aáji,1351,buddruss-shina1996:p40:e09,manually collated printed glossary headword,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 40, glossary entry 09]",7602212c06cf13df0dbe9f58d3109159d7e0467b40b91aab29a1a5fb2da9acdc
2026-08-28,2026-08-28,p40:e10,17,40,ajiíno,oben befindlich,situated above,installed_form,ajiíno,,buddruss-shina1996:p40:e10,source derives this from ají,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 40, glossary entry 10]",7dc5b6a5a0fb0636c6e4fef390d982c44ad5bc8478fe61358f7e014c7f461bff
2026-08-28,2026-08-28,p40:e11,17,40,akóo,Obliquus zu akí selbst,oblique form of self,installed_form,akóo,,buddruss-shina1996:p40:e11,etymology unclear; explicitly printed as glossary headword,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 40, glossary entry 11]",ca4a3470cc9ce848bb928c2e5e7f89e98cf9287d03edc54e447e9dc7b7aaa28e
2026-08-28,2026-08-28,p40:e12,17,40,akhár,Schmied,smith,installed_form,akhár,,buddruss-shina1996:p40:e12,Persian derivation is doubted by the source,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 40, glossary entry 12]",162d35af6d6bfc06411b675f8ff80d2fcc356eee1193a8d58596f6de2ae4d7fc
2026-08-28,2026-08-28,p40:e13,17,40,alák b-,sich trennen,separate; part,installed_form,alák b-,,buddruss-shina1996:p40:e13,loan from Hindi-Urdu alag,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 40, glossary entry 13]",f9d7ed4c893cdf50e44f3c6295bd174866e389518142ca6e51c49886182b5bf2
