Gold_Row,Form,Strategy,Evidence_Form,Evidence_Raw,Tags
1,abáś,exact-form-source,abáś,"abáś y hz ng. Schwierigkeit, Un- glück 7.11; 56.16, adv. schwierig (Opp. subás)",adv noun dialect:Hunza
2,aćári,aligned-source,aćári,"aćári NH rückständig (Dorf, Ge- gend) (vgl. kho. aćhár ""hinten"", T 8000?)",dialect:Hunza dialect:NH
3,aćhará,aligned-source,aćhará,"aćhará hz.ng. verwirrt, kopflos, er- schreckt durcheinandergebracht, seelisch labil, (Boden) kümmer- lich, unfruchtbar, (Erntejahr) schlecht L 8 (sh. aćhará, zu T 1464) aćhará -mán- kopflos usw. wer- den 38.31; 68",verb dialect:Hunza dialect:Nager
4,ac̣héemo,aligned-source,ac̣héemo,"açhéemo, fem. -mi, L pl. -tiù, ng. -muč schurkisch, bösartig, heim- tückisch 56.20; 60.3; K 302; auch harmlos: Schwerenöter (vor allem in Liebessachen) L 8 (sh. açhéemo, T 47)",noun f pl dialect:Hunza
5,adít,aligned-source,adít,"adít y hz.ng. Sonntag (sh. adit, T 1154)",noun dialect:Hunza dialect:Nager
6,áḍa,aligned-source,áḍa,"áda verbleibend, übrig; minder gut, unwürdig (ys. áde, vgl. T 644)",dialect:Hunza
7,áḍe,aligned-source,áḍe,"áda verbleibend, übrig; minder gut, unwürdig (ys. áde, vgl. T 644)",alternate dialect:Yasin
8,agón,aligned-source,agón,"agón pl. agőyo ""Hof"" um den Mond; Kreis (von Menschen}; oberer Raum, Veranda, Emp- fangsraum L 1 (sh. hagón, T 118} agón wáśi-' einen Kreis bilden (beim Sitzen, oder um einen Feind zu umzingeln) agőn wáli bi ein Hof hat sich (um den Mond) gebildet",pl dialect:Hunza
9,(ajá-)biṭi( ét-),aligned-source,(ajá-)biṭi( ét-),"ajábiṭi ét- NH sich sehr anstren- gen, sich heftig bemühen (biṭi zu T 12070?)",verb dialect:Hunza dialect:NH
10,(a)jóono,aligned-source,(a)jóono,"ajóono, hz. auch ajőo seltsam, son- derbar; Fremdling L 12 (sh. ajóono, a- + T 5281?)",dialect:Hunza
11,alaláso,aligned-source,alaláso,"aláća hz. -miù Art Tuch (tü. alača R I 3610) alaláso und alúuśo schwach, schwächlich (Menschen, Pflan- zen) (vgl. T 708 und 1371)",noun dialect:Hunza
12,alúuśo,exact-form-source,alúuśo,alúuśo s. alaláso,dialect:Hunza
13,amúko,aligned-source,amúko,"amúko schrecklich -, fürchterlich aussehend, NH furchtlos, zornig, wütend L 4 (vgl. T 569)",dialect:Hunza dialect:NH
