Key,English_Gloss,Headwords_Override,Labels_Override,Gloss_De_Override,Resolution
p243:e01,interrogative particle: perhaps?,,,,
p243:e02,interrogative particle: ... or ...?,,,,
p243:e03,"wordless, mute",,,,
p243:e04,"difficulty, distress",,,,
p243:e05,"sluggish, lazy",,,,
p243:e06,"the wrong way around, wrong",,,,
p243:e07,"enter, go in, penetrate",,,,
p243:e08,"evil, malicious",,,,
p243:e09,eye,,,,
p243:e10,eyelid,,,,
p243:e11,"walnut, walnut tree",,,,
p243:e12,"politeness, education, manners",,,,
p243:e13,(a girl) who was not given a dowry (dáap),,,,
p243:e14,habit,,,,
p243:e15,"so, in such a way",,,,
p243:e16,,,,,
p243:e17,slander,,,,
p243:e18,,,,,
p243:e19,,,,,
p243:e20,goat,,,,
p243:e21,mouth,,,,
p243:e22,,,,,
p243:e23,"above, upwards",,,,
p244:e01,mother,,,,
p244:e02,"located above; following (year, day)",,,,
p244:e03,from above,,,,
p244:e04,"foreign, stranger",,,,
p244:e05,this year,,,,
p244:e06,stupid,,,,
p244:e07,"particle: just, precisely",,,,
p244:e08,"self, oneself",,,,
p244:e09,if,,,,
p244:e10,(with ... to ga) although,,,,
p244:e11,blacksmith,,,,
p244:e12,(Shiite) cleric,,,,
p244:e13,there,,,,
p244:e14,come (only perfect stem),,,,
p244:e15,"scholar, Islamic legal scholar",,,,
p244:e16,here and there,,,,
p244:e17,potato blossom,,,,
p244:e18,,,,,
p244:e19,"larger leather bag, leather sack",,,,
p244:e20,rich man,,,,
p244:e21,forget,,,,
p244:e22,millet,,,,
p244:e23,this,,,,
p245:e01,cry out (of a donkey),,,,
p245:e02,"little, slight",,,,
p245:e03,"intellect, understanding",,,,
p245:e04,"inner, own",,,,
p245:e05,"awl, leather needle",,,,
p245:e06,"fear, terror; frightful, dangerous, tense",,,,
p245:e07,inside,,,,
p245:e08,from inside,,,,
p245:e09,,,,,
p245:e10,be,,,,
p245:e11,name of a month,,,,
p245:e12,"trace, effect",,,,
p245:e13,"sky, heaven",,,,
p245:e14,old man,,,,
p245:e15,justice; legal case,,,,
p245:e16,place name,,,,
p245:e17,today,,,,
p245:e18,weak,,,,
p245:e19,,,,,
p245:e20,suddenly,,,,
p245:e21,horse,,,,
p246:e01,"groom, stable hand",,,,
p246:e02,tear,,,,
p246:e03,weak,,,,
p246:e04,bring,,,,
p246:e05,flour,,,,
p246:e06,bone,,,,
p246:e07,loudmouth; braggart,áa~u báṛo,m.,"Großmaul, Angeber",two-word collocation headword
p246:e08,"offspring, children",,,,
p246:e09,be necessary,,,,
p246:e10,"unit of weight for measuring grain, equal to 2 ser (ca. 2 kilos)",,,,
p246:e11,"such, such a",,,,
p246:e12,greatness,,,,
p246:e13,"rain, moisture; cloud",,,,
p246:e14,become,,,,
p247:e01,"stable for small livestock, pen, fold",,,,
p247:e02,"above, over the ground",,,,
p247:e03,father (also as polite form of address),,,,
p247:e04,calf (older than bačhóo),,,,
p247:e05,calf,,,,
p247:e06,thunderclap,,,,
