Record_Type,Item,Gloss,Site_Code,Site_Name,Source_Dialect_Label,PDF_Page,Printed_Page,Column,Cell_Image,Manual_Transcription,Manual_Review,Uncertainty,OCR_Evidence,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Keys
wordlist cell,1,body,CHU,Churla,Kullui,34,27,1,cells/i001-CHU-pdf034.png,dʒɪsəm,manual-source-image,,131s°m 2315,installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 1, Churla]",silkullu1985:chu:i001:v1
wordlist cell,2,head,CHU,Churla,Kullui,34,27,1,cells/i002-CHU-pdf034.png,ˈmʌɳɖə,manual-source-image,,nonda 'rna,installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 2, Churla]",silkullu1985:chu:i002:v1
wordlist cell,3,face,CHU,Churla,Kullui,34,27,1,cells/i003-CHU-pdf034.png,ˈmoːtʰə,manual-source-image,,moths. D 111,installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 3, Churla]",silkullu1985:chu:i003:v1
wordlist cell,4,eye,CHU,Churla,Kullui,34,27,1,cells/i004-CHU-pdf034.png,ˈteɳɖe,manual-source-image,,tende,installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 4, Churla]",silkullu1985:chu:i004:v1
wordlist cell,5,nose,CHU,Churla,Kullui,34,27,1,cells/i005-CHU-pdf034.png,naːk,manual-source-image,,naк,installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 5, Churla]",silkullu1985:chu:i005:v1
wordlist cell,6,mouth,CHU,Churla,Kullui,34,27,1,cells/i006-CHU-pdf034.png,kʰakʰ,manual-source-image,,khakh,installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 6, Churla]",silkullu1985:chu:i006:v1
wordlist cell,7,arm,CHU,Churla,Kullui,34,27,1,cells/i007-CHU-pdf034.png,(h)atʰ,manual-source-image,,(n)ath,installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 7, Churla]",silkullu1985:chu:i007:v1
wordlist cell,8,palm,CHU,Churla,Kullui,34,27,1,cells/i008-CHU-pdf034.png,tʰəːl,manual-source-image,,1nач7,installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 8, Churla]",silkullu1985:chu:i008:v1
wordlist cell,9,finger,CHU,Churla,Kullui,34,27,1,cells/i009-CHU-pdf034.png,gaːtʰi,manual-source-image,,gothi,installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 9, Churla]",silkullu1985:chu:i009:v1
wordlist cell,10,belly,CHU,Churla,Kullui,34,27,1,cells/i010-CHU-pdf034.png,petʰ,manual-source-image,,pEth,installed,,kul,sil-kullu-1985-churla,"blair2021kullu[Appendix C, printed p. 27, item 10, Churla]",silkullu1985:chu:i010:v1
