Snapshot_Date,Gandhari_ID,Entry_Key,Lemma,Homograph,Sanskrit,Status,Exclusion_Reason,CDIAL_ID,Candidates,Gloss,POS_Raw,SubPOS_Raw,Tags,Source_Citation,Article_URL,Volume,Page,Column,Morphology_Raw,Attestations_Raw,Native,Phonetic,Etymology_Raw
2026-08-05,1,gandhari:1,edi,2,aiti,ambiguous,Multiple exact accent-normalized CDIAL head matches,,14340:aíti | 2534:áiti,comes.,v.,,verb,"gandhari[entry 1, homograph 2, lemma edi]",https://gandhari.org/dictionary/edi,,,,"pres. pl. 3rd aedi. ◾ impv. sg. 2nd ehi, pl. 2nd edha.","AnavL 44 ehi; DhpK 95 aedi, 286 edha.",𐨀𐨅𐨡𐨁,ʔaːjeːði,"(Skt. aiti, P eti)"
2026-08-05,2,gandhari:2,akakaśa,,karkaśa,matched,,2822,karkaśá,not harsh.,adj.,,adj,"gandhari[entry 2, lemma akakaśa]",https://gandhari.org/dictionary/akaka%C5%9Ba,,,,f. sg. dir. akakaśa.,DhpK 22 akakaśa.,𐨀𐨐𐨐𐨭,ʔəkəkːəʝə,"(a- + Skt. karkaśa, P kakkasa)"
2026-08-05,3,gandhari:3,akaroṃta,,kurvant,unmatched,No exact accent-normalized CDIAL head match,,,not doing.,adj.,,adj,"gandhari[entry 3, lemma akaroṃta]",https://gandhari.org/dictionary/akaro%E1%B9%83ta,,,,m. sg. dir. akaroda.,DhpK 338 akaroda.,𐨀𐨐𐨪𐨆𐨎𐨟,ʔəkəɾontə > ʔəkəɾondə,"(a- + Skt. kurvant, P karonta)"
2026-08-05,7,gandhari:7,agasida,,ākāsita,unmatched,No exact accent-normalized CDIAL head match,,,taken away.,adj.,,adj,"gandhari[entry 7, lemma agasida]",https://gandhari.org/dictionary/agasida,,,,"pret. sg. 3rd ag̱asita, akasita, agasita, ag̱as̱ita, agasida, pl. 3rd ag̱asitaṃti, agazitaṃti, ag̱azidaṃti.","CKD 1, co2 ag̱asitaṃti; CKD 9, uo2 ag̱asitaṃti; CKD 18, uo2 ag̱asita; CKD 162, uo5 akasita, 6 ag̱asitaṃti; CKD 212, uo3 ag̱asitaṃti; CKD 375, o3 agasida; CKD 400, o2 agasita; CKD 415, uo3 ag̱azidaṃti; CKD 506, o6 ag̱as̱ita; CKD 584, uo7 agazitaṃti; CKD 859, co3 ag̱asita.",𐨀𐨒𐨯𐨁𐨡,ʔaːjaːziðə,(Skt. ākāsita)
2026-08-05,12,gandhari:12,akidaṃña,1,kr̥tajña,unmatched,No exact accent-normalized CDIAL head match,,,not grateful.,adj.,,adj,"gandhari[entry 12, homograph 1, lemma akidaṃña]",https://gandhari.org/dictionary/akida%E1%B9%83%C3%B1a,,,,m. sg. gen. akridañasya. ◾ f. pl. dir. akidaña.,"DhpK 77 akidaña; CKD 514, r1 akridañasya.",𐨀𐨐𐨁𐨡𐨎𐨙,ʔəkiðəɳːə,"(a- + Skt. kr̥tajña, P kataññu)"
2026-08-05,13,gandhari:13,akuyana,,kujana | akujana,unmatched,No exact accent-normalized CDIAL head match,,,not crooked.,adj.,,adj,"gandhari[entry 13, lemma akuyana]",https://gandhari.org/dictionary/akuyana,,,,m. sg. dir. akuyaṇo.,DhpK 97 akuyaṇo.,𐨀𐨐𐨂𐨩𐨣,ʔəkujənə,(a- + Skt. kujana; cf. P akujana)
2026-08-05,17,gandhari:17,akrośa,,ākrośa,unmatched,No exact accent-normalized CDIAL head match,,,reviling.,m.,,noun m,"gandhari[entry 17, lemma akrośa]",https://gandhari.org/dictionary/akro%C5%9Ba,,,,sg. dir. akrośa.,DhpK 28 akrośa.,𐨀𐨐𐨿𐨪𐨆𐨭,ʔəkɾoːʝə,"(Skt. ākrośa, P akkosa)"
2026-08-05,20,gandhari:20,akhada,,ākhyāta,matched,,1040,ākhyāta,declared.,adj.,,adj,"gandhari[entry 20, lemma akhada]",https://gandhari.org/dictionary/akhada,,,,m. sg. dir. akhade.,EĀL r23 akhade.,𐨀𐨑𐨡,ʔəkʰːaːðə,"(Skt. ākhyāta, P akkhāta)"
2026-08-05,21,gandhari:21,agachadi,,āgacchati,matched,,1044,ā́gacchati,comes.,v.,,verb,"gandhari[entry 21, lemma agachadi]",https://gandhari.org/dictionary/agachadi,,,,"pres. sg. 3rd agachati, agacati, ag̱achati, agachadi, (*aga)chadi, pl. 3rd agachaṃti, ag̱achaṃti. ◾ impv. sg. 2nd agachaï, pl. 3rd agachaṃtu. ◾ opt. sg. 3rd agache. ◾ fut. sg. 2nd agamiṣyas̱i, agaṃmiṣyatu, agachiśatu, 3rd agamiṣyati, akamiṣadi, agachiṣyati, agachiśati, ag̱amiṣyati, pl. 1st agachiṣyama, agamiṣyama, 3rd agamiṣyati. ◾ fut. sg. 1st ag̱amiṣyama. ◾ pret. sg. 1st agame. ◾ abs. agamo, agamya, aghatva. ◾ inf. agachaṃnae.","AnavL 53 aghatva; NirdL2 r46 agame; AvL6 v47 agachadi, (*aga)chadi; MĀB r11 agamo, 12 (*agamo), 14 agamya, 16 (*agamya), 48 agachaṃtu, 49 agachaṃtu; DhpK 209 akamiṣadi, 210 akamiṣadi; SĀS5 v25 agachaï; CKD 25, o6 agachiṣyati; CKD 35, r2 agamiṣyati; CKD 84, r4 agamiṣyati; CKD 86, r6 agamiṣyama; CKD 109, r4 agachaṃti; CKD 153, r2 agamiṣyati; CKD 161, cr3 agamiṣyati; CKD 211, r6 agamiṣyas̱i; CKD 228, o4 agamiṣyati; CKD 231, r3 agachiṣyama; CKD 262, uo2 agachati; CKD 399, o5 agaṃmiṣyatu; CKD 403, uo4 agamiṣyat(*i); CKD 462, r1 ag̱achati; CKD 542, cr1 agachaṃti, uo5 agachati; CKD 546, o6 agamiṣyati; CKD 547, o1 ag̱amiṣyama; CKD 550, o3 agachati; CKD 584, cr2 agachiśati; CKD 634, o3 agachiśatu; CKD 639, uo4 agachiṣyati; CKD 644, r1 ag̱amiṣyati; CKD 675, o3 agamiṣyati; CKD 722, co7 agamiṣya(*s̱i), r1 agacati; CKD 842, 4 agachaṃnae; CKD 884, 10 ag̱achaṃti; Bhks 2v5 agache.",𐨀𐨒𐨖𐨡𐨁,ʔaːjət͡ɕʰːəði,"(Skt. āgacchati, P āgacchati)"
2026-08-05,22,gandhari:22,agada,,āgata,matched,,1045,ā́gata,came.,adj.,,adj,"gandhari[entry 22, lemma agada]",https://gandhari.org/dictionary/agada,,,,"m. sg. dir. agado, āgado. ◾ n. sg. dir. agada, pret. sg. 3rd agata, agada. ◾ pret. sg. 1st agatemi, agademi, pl. 3rd agataṃti, ag̱ataṃti. ◾ ag̱aṃtu.","AvL3 v2 āgado, 10 agada; AvL4 v309 agado, 310 agado; NirdL2 r49 agado, v145 agad(*o), 146 agado [2×], 160 agado; AvL6 v38 agada; CKD 159, oB4 aga(*ta); CKD 183, r1 agataṃti; CKD 324, o2 ag̱ataṃti; CKD 390, o5 agata; CKD 491, uo2 agada; CKD 519, o4 agademi; CKD 637, o2 agata, 8 agata; CKD 646, cr3 ag̱aṃtu; CKD 662, o5 agataṃti; CKD 696, o3 agatemi.",𐨀𐨒𐨡,ʔaːjəðə,"(Skt. āgata, P āgata)"
