Action,Entry_Key,PDF_Page,Printed_Page,Entry,Form,POS,Definition,Locator,Reason
replace,ghatage-kasargod1970:p137:e20,145,137,20,alo:čəna,F.,consideration.,p. 137 entry 20,Removed reverse-page bleed after comparison with the source image.
replace,ghatage-kasargod1970:p139:e23,147,139,23,ulučɨ,Adv.,slowly.,p. 139 entry 23,Recovered the central high vowel and POS from the source image.
replace,ghatage-kasargod1970:p139:e33,147,139,33,e:kɨkuli,,one by one.,p. 139 entry 33,The initial e: was a lexical vowel and not a leaked POS marker.
replace,ghatage-kasargod1970:p141:e37,149,141,37,ka:rɨ,N.,car.,p. 141 entry 37,Removed reverse-page bleed and recovered the final central high vowel.
replace,ghatage-kasargod1970:p142:e12,150,142,12,kuṇṭə,Adj.,lame.,p. 142 entry 12,Recovered the source underdots and final schwa.
replace,ghatage-kasargod1970:p142:e33,150,142,33,ku:śɨ,V.,to rot.,p. 142 entry 33,Recovered a line whose head was distorted by OCR.
replace,ghatage-kasargod1970:p143:e4,151,143,4,koǰpou,V.,to boil.,p. 143 entry 4,Recovered the palatal affricate from the source image.
replace,ghatage-kasargod1970:p143:e36,151,143,36,kriśika,M.,farmer.,p. 143 entry 36,Removed reverse-page bleed and corrected the OCR diacritic.
replace,ghatage-kasargod1970:p145:e10,153,145,10,goṭṭe ~ goṭṭɛ,,at.,p. 145 entry 10,Recovered both printed alternatives and their vowel contrast.
replace,ghatage-kasargod1970:p145:e15,153,145,15,gõṇsɨ,V.,to find out.,p. 145 entry 15,Recovered the retroflex nasal and central high vowel.
replace,ghatage-kasargod1970:p145:e37,153,145,37,čəvkka,Adj.,square.,p. 145 entry 37,Removed reverse-page bleed after comparison with the source image.
replace,ghatage-kasargod1970:p146:e31,154,146,31,čukkoṭu,Adj.,"good, strong.",p. 146 entry 31,Removed reverse-page bleed and restored the retroflex stop.
replace,ghatage-kasargod1970:p146:e37,154,146,37,čedu,N.,girl.,p. 146 entry 37,Removed reverse-page bleed after comparison with the source image.
replace,ghatage-kasargod1970:p146:e38,154,146,38,čeppu,N.,green coconut.,p. 146 entry 38,Recovered the complete head and removed bleed-through text.
replace,ghatage-kasargod1970:p147:e11,155,147,11,ǰəḍḍɨ,Adj.,heavy.,p. 147 entry 11,Recovered the source affricate retroflex stops and central vowel.
replace,ghatage-kasargod1970:p147:e20,155,147,20,ǰãvai,M.,son-in-law.,p. 147 entry 20,Recovered the source palatal affricate.
replace,ghatage-kasargod1970:p147:e23,155,147,23,ǰagrutɛ,Adj.,careful.,p. 147 entry 23,Recovered the source palatal affricate and final low front vowel.
replace,ghatage-kasargod1970:p147:e37,155,147,37,ǰuttu,F.,tuft of hair.,p. 147 entry 37,Removed reverse-page bleed after comparison with the source image.
replace,ghatage-kasargod1970:p148:e16,156,148,16,ṭɨkli,F.,ear ornament.,p. 148 entry 16,Recovered the contrastive central high vowel and source punctuation.
replace,ghatage-kasargod1970:p148:e32,156,148,32,dəŋgiyə,M.,gourd.,p. 148 entry 32,Recovered the complete head from the source image.
replace,ghatage-kasargod1970:p148:e34,156,148,34,dɛrɛ,N.,tent.,p. 148 entry 34,Recovered both low front vowels and removed bleed-through.
replace,ghatage-kasargod1970:p148:e37,156,148,37,təŋgɨ,N.,younger sister.,p. 148 entry 37,Recovered the velar nasal and final central high vowel.
replace,ghatage-kasargod1970:p149:e33,157,149,33,tilače te:lɨ,N.,til oil.,p. 149 entry 33,Recovered the final central high vowel and removed OCR punctuation.
replace,ghatage-kasargod1970:p149:e37,157,149,37,tɨ,Pro.,"thou, you.",p. 149 entry 37,Recovered the contrastive central high vowel.
replace,ghatage-kasargod1970:p150:e7,158,150,7,tu:pu,N.,ghee.,p. 150 entry 7,Removed an OCR punctuation insertion.
replace,ghatage-kasargod1970:p150:e9,158,150,9,tɛ,M.F.,that.,p. 150 entry 9,Recovered the contrastive low front vowel and composite gender label.
replace,ghatage-kasargod1970:p150:e26,158,150,26,dəyttɛ,Adj.,"many, much.",p. 150 entry 26,Recovered the POS and final low front vowel.
replace,ghatage-kasargod1970:p151:e24,159,151,24,du:pe,N.,grave.,p. 151 entry 24,Removed reverse-page bleed after comparison with the source image.
replace,ghatage-kasargod1970:p151:e35,159,151,35,de:ṇṭɨ,N.,stalk.,p. 151 entry 35,Separated a following headless OCR line from this definition.
add,ghatage-kasargod1970:p151:manual:doggadogga,159,151,36,doggadogga,,two by two.,p. 151 between OCR entries 35 and 36,Recovered a printed entry whose head was missed while its gloss merged into the preceding row.
replace,ghatage-kasargod1970:p151:e36,159,151,36,doḍou,V.,to hide.,p. 151 entry 36,Removed reverse-page bleed and restored the retroflex stop.
replace,ghatage-kasargod1970:p151:e37,159,151,37,doṇḍə,M.,stone.,p. 151 entry 37,Removed reverse-page bleed and restored the source underdots.
replace,ghatage-kasargod1970:p152:e20,160,152,20,narkɨ,V.,to groan.,p. 152 entry 20,Recovered the central high vowel from the source image.
replace,ghatage-kasargod1970:p152:e37,160,152,37,nidi,M.,treasure.,p. 152 entry 37,Removed reverse-page bleed after comparison with the source image.
replace,ghatage-kasargod1970:p152:e38,160,152,38,nibarɨ,N.,sunshine.,p. 152 entry 38,Removed reverse-page bleed and recovered the final central high vowel.
replace,ghatage-kasargod1970:p153:e1,161,153,1,nimbu,N.,lemon.,p. 153 entry 1,Corrected an OCR thorn-for-b confusion.
replace,ghatage-kasargod1970:p153:e21,161,153,21,pədlɛ,N.,cradle.,p. 153 entry 21,Recovered the final low front vowel.
replace,ghatage-kasargod1970:p153:e22,161,153,22,pəddyə sa:ŋgɨ,V.,to sing.,p. 153 entry 22,Recovered the velar nasal and removed an OCR digit.
replace,ghatage-kasargod1970:p153:e29,161,153,29,pakɛ,N.,roof.,p. 153 entry 29,Recovered the final low front vowel.
replace,ghatage-kasargod1970:p154:e7,162,154,7,pãyãčɛ mundarə,M.,heel.,p. 154 entry 7,Recovered nasalization and the source vowel qualities.
