Snapshot_Date,Entry_Key,GUID,Letter,Page,Entry_Kind,Headword,Homograph,IPA,Part_Of_Speech,Sense_Count,Sense_Number,Gloss_English,Gloss_Hindi,Definition_Kind,Usage_Note,Semantic_Domains,Example,Example_Translation,Complex_Form_Type,Complex_Form_Parts,Variant_Of_Type,Variant_Of_Target,Variant_Of_Key,Variant_Backref_Type,Variant_Backref_Target,Cross_Reference_Type,Cross_Reference_Target,Status,Reason,Record_SHA256
2026-08-26,woods2019halbi:g00190166-3358-4c84-97ec-03e4ffab2224,g00190166-3358-4c84-97ec-03e4ffab2224,ए,2,minorentrycomplex,एक कोड़ी नों,,ek koɽi nõ,num,1,,twenty-nine,उन्‍तीस,definition,,8.1.1.1 Cardinal numbers,,,comp. of,एक कोड़ी + नों,,,,,,,,installed,,19b78c222c1671885a945ab0c973c06c3b626d63744a7f716943574879459dfa
2026-08-26,woods2019halbi:g001b0450-6481-45aa-884f-ca8d223be14f,g001b0450-6481-45aa-884f-ca8d223be14f,ब,23,entry,बोता,,bota,n,3,1,reed,सरकंडा,definition,,"1.5.3 Grass, herb, vine",,,,,,,,,,cf,बोगली,installed,,a14cd7758e5d92f81c9b1a572f1f74044a27a4ba4cb0e6781200a51262c567b3
2026-08-26,woods2019halbi:g001b0450-6481-45aa-884f-ca8d223be14f,g001b0450-6481-45aa-884f-ca8d223be14f,ब,23,entry,बोता,,bota,n,3,2,grass for making mats,घास,definition,,"1.5.3 Grass, herb, vine",,,,,,,,,,cf,बोगली,installed,,8471ef80a06652a9a048166dc0b5cbc7f4b2fd6073a41e5c302a91a363a82f89
2026-08-26,woods2019halbi:g001b0450-6481-45aa-884f-ca8d223be14f,g001b0450-6481-45aa-884f-ca8d223be14f,ब,23,entry,बोता,,bota,n,3,3,battens; timber cross-pieces for holding roof tiles,तख़्ताए,definition,,6.5.1.1 House; 8.6 Parts of things; 6.5.2.2 Roof,,,,,,,,,,cf,बोगली,installed,,fdd5f608b3662e5a953806cbbf1c6e49c35aa7874474aac655bf924d000348a6
2026-08-26,woods2019halbi:g0027f141-f890-4287-9d56-433fd929bf3f,g0027f141-f890-4287-9d56-433fd929bf3f,क,11,minorentrycomplex,नाँग फेनी काटा,,nãɡ pʰeni kaʈa,cn,1,,cactus,नागफनी,definition,,"1.5.3 Grass, herb, vine",,,comp. of,फेनी + काटा + नाँग,,,,,,,,installed,,68f4edbbdfeae83326285855e31ac5aa0b499402d8b00f5da52ec018eecee598
2026-08-26,woods2019halbi:g0030c0bb-c079-411a-845e-706817fda4cb,g0030c0bb-c079-411a-845e-706817fda4cb,प,21,entry,पोलटा,,polʈa,n,1,,standing in place of someone else; taking someone's turn; loan,पालतू,definition,,,मचो पोलटा गूँजी लागूआए।,Gunji will take my turn (or work in my place),,,,,,,,,,installed,,5d3e2182bb9b18955109e34fadb231aac85a197abbd5136d60d3d1d1a62616f4
2026-08-26,woods2019halbi:g00321fc6-b778-4c34-98e2-7d25fb2249fe,g00321fc6-b778-4c34-98e2-7d25fb2249fe,म,10,entry,मीरूक,,miruk,v,1,,to be available,उपलब्ध होना,definition,,9.1.1.1 Exist; 6.1.2.6 Prepare,,,,,,,,,,,,installed,,18ba5d6403d94498fe4fbcaac5e3b13771f995031f6a7163073fa725b0674245
2026-08-26,woods2019halbi:g003631f8-fb73-4345-a23a-2c2102ddcbc0,g003631f8-fb73-4345-a23a-2c2102ddcbc0,च,1,entry,चकाऊक,,tʃəkauk,v,1,,to perplex,हैरान करना,definition,,3.4.2.5 Confused,,,,,,,,,,,,installed,,89456a375ea41bb60f3ef8648b6a09fefad1129b6a81e661e75c7ef8d2b0e3c0
2026-08-26,woods2019halbi:g003d988d-5e43-4ec2-ad46-9a67e2e704c6,g003d988d-5e43-4ec2-ad46-9a67e2e704c6,म,2,entry,मरीआ,,məria,pernm,1,,Maria,,definition,,,,,,,,,,,,,,installed,,afe0d86793927e147230bed22ce7ada9f8b604b093b999fe6b62f5db50a416ff
2026-08-26,woods2019halbi:g0053bd59-ce6a-44e7-bc0b-101b98a66c6c,g0053bd59-ce6a-44e7-bc0b-101b98a66c6c,ग,7,entry,गाल,,ɡal,n,1,,cheek,गाल,definition,,2.1 Body; 2.1.1 Head,गाल ले हात दीलासोत,They have put their hand on their cheek/rested head on hand.,,,,,,,,,,installed,,ad7d79329433601d2812d6e93d950fd77c2d6afb03db984807b12a898e7d7313
