Snapshot_Date,Collation_Date,Unit_ID,PDF_Page,Printed_Page,Raw_Form,Raw_Gloss_German,English_Gloss,Final_Status,Final_Form,Final_Parameter_ID,Emitted_Key,Resolution,Review,Material_Error,Source,Record_SHA256
2026-08-24,2026-08-24,p187:e17,16,187,Kamgāl,Ortsname,Kamgal,installed_form,Kamgāl,,buddruss-wama2006:p187:e17,place name,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 187, glossary entry 17]",00394bc9fef6d7e650f42c4630cdd8afb30c59fe915d3c481a831b9f5c0b9e61
2026-08-24,2026-08-24,p184:e22,13,184,imā́,mein,my,installed_form,imā́,,buddruss-wama2006:p184:e22,manually collated printed glossary headword,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 184, glossary entry 22]",012c4ed376c2501aef4724fc78124717ba89d5d919efd486e23b4a36e3e5b413
2026-08-24,2026-08-24,p187:e03,16,187,jən,Numerativ für Menschen,human classifier,installed_form,jən,5098,buddruss-wama2006:p187:e03:v2,second printed headword alternate,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 187, glossary entry 03]",0237c971967b2b3ea65cc10e200f713d935243e5dd7c660736f2e9ac461db652
2026-08-24,2026-08-24,p190:e18,19,190,wū,Präfix steil hinab,steeply downward,installed_form,wū,,buddruss-wama2006:p190:e18:v3,third printed headword alternate,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 190, glossary entry 18]",023a719330a5a2984385665eb3183116a2fd7e03b3ad3d352c2682c9a09dd8f9
2026-08-24,2026-08-24,p187:e16,16,187,kam,Mann aus Kamgal,man from Kamgal,installed_form,kam,,buddruss-wama2006:p187:e16,manually collated printed glossary headword,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 187, glossary entry 16]",06f1a2635c333872ad34daaa879bfdcc0523d8df63076a2eb16fcb98cfe3ac2d
2026-08-24,2026-08-24,p185:e28,14,185,bat-,"denken, meinen",think; suppose,installed_form,bat-,9276,buddruss-wama2006:p185:e28,manually collated printed glossary headword,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 185, glossary entry 28]",0744336407de61a40e21fe7aba3f928ed9b6d09b6bf80e7a37146eb501272ad7
2026-08-24,2026-08-24,p185:e10,14,185,otādi-,hineingehen,go inside,installed_form,otādi-,,buddruss-wama2006:p185:e10,manually collated printed glossary headword,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 185, glossary entry 10]",07859c58b51a3e708df70594e1872c18d6058d4e0b31be0e57e75e1c4e537c90
2026-08-24,2026-08-24,p188:e06,17,188,mac,Ehemann,husband,installed_form,mac,9888,buddruss-wama2006:p188:e06,manually collated printed glossary headword,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 188, glossary entry 06]",0951afa5810933781589910894f7935d4814e2043bf9703c46fea52d3d7e7fa6
2026-08-24,2026-08-24,p188:e30,17,188,pala,hinwerfen,throw away,installed_form,pala,,buddruss-wama2006:p188:e30,manually collated printed glossary headword,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 188, glossary entry 30]",0a32beb290de9a6dec230119b5ed81b468738fdcd6c3f9d7cb66f4ad7791e62d
2026-08-24,2026-08-24,p184:e06,13,184,ō-,"Präverb senkrecht, steil hoch",straight upward,installed_form,ō-,2136,buddruss-wama2006:p184:e06:v2,second printed headword alternate,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 184, glossary entry 06]",0ae8b734a1ad4e7d5864524611dd44c64c72af366555983d2a4a7039a25b83b9
2026-08-24,2026-08-24,p189:e05,18,189,par,-mal,time; occurrence,installed_form,par,,buddruss-wama2006:p189:e05,manually collated printed glossary headword,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 189, glossary entry 05]",0e2307364855590046d1c5fd951071be7afed4011835c80dfa3b01719c22fdf2
2026-08-24,2026-08-24,p190:e28,19,190,wə̄ra-,zeigen,show,installed_form,wə̄ra-,12111,buddruss-wama2006:p190:e28:v2,second printed headword alternate,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 190, glossary entry 28]",0e8cc0b10f4dbb70ea357ffb435fc4e1e02556cc63fa160396fa06af9fc4baec
