Seed,Page_ID,Title,Article_Type,Status,Accepted_Targets,PNur_Targets,Raw_Compared,Rendered_Compared,Forms_Compared,Commentary_Compared,Material_Error,Review_Notes
20260818,5,*āč(iya)n(a)-,pnur,ingested,n3525,n3525,yes,yes,yes,yes,no,"three explicit Nuristani Form templates route to the existing PNur head; commentary alone is retained"
20260818,126,*kaṭṭigaraga,cdial,ingested,2574,nured-126,yes,yes,yes,yes,no,"seven Nuristani reflexes route through a generated PNur borrowing head; full lexical sections are excluded from commentary"
20260818,208,*tāṁḍagā,cdial,ingested,5527,nured-208,yes,yes,yes,yes,no,"the one explicit tree-trunk reflex routes through a generated PNur head tied to the printed Turner entry"
20260818,223,*aṁnajja,cdial,ingested,398,n2638,yes,yes,yes,yes,no,"the explicit Nuristani reflex routes to the compatible existing PNur borrowing sibling"
20260818,250,*warri(ya)-,pnur,ingested,n932,n932,yes,yes,yes,yes,no,"five templated reflexes and their grammatical tags route to the reviewed existing PNur entry"
20260818,263,*mālā,cdial,ingested,10092,n606,yes,yes,yes,yes,no,"twelve explicit reflex rows preserve source spelling and route through the existing PNur sibling"
20260818,270,*mā(r)čč(a)-,pnur,ingested,n700,n700,yes,yes,yes,yes,no,"Katë, Kalasha, and Ashkun forms remain distinct reflexes of the existing reconstruction"
20260818,274,*nās(ā̆)-,pnur,ingested,n2163,n2163,yes,yes,yes,yes,no,"seven templated forms retain source caveats as tags while commentary remains a separate PNur block"
20260818,287,*nāṣa,cdial,ingested,7030,nured-287,yes,yes,yes,yes,no,"tilde alternatives expand deterministically beneath a generated PNur borrowing head"
20260818,462,Kāṁḍa,cdial,ingested,3023,n3068,yes,yes,yes,yes,no,"six explicit reflexes route to the compatible existing PNur borrowing sibling after CDIAL canonicalization"
20260818,876,*aj̈ā(ra)-,pnur,ingested,n2603,n2603,yes,yes,yes,yes,no,"Katë and Kalasha pond forms are separate source-keyed reflexes of the existing PNur entry"
20260818,1021,*śpāvi,cdial,ingested,12766,n2428,yes,yes,yes,yes,no,"five porcupine reflexes route through the existing PNur sibling selected by the printed Turner entry"
20260818,1082,*muṁdha,cdial,ingested,10247,n749,yes,yes,yes,yes,no,"only the semantically compatible one of two same-CDIAL PNur branches receives the five reflexes"
20260818,1083,*nāṁdha,cdial,ingested,7051,nured-1083,yes,yes,yes,yes,no,"two explicit reflexes route through a generated PNur borrowing head; non-commentary sections are omitted"
20260818,1138,*āċa(ka)-,pnur,ingested,n3415,n3415,yes,yes,yes,yes,no,"the one explicit flour-and-ghee reflex routes to the exact existing PNur reconstruction"
20260818,1151,*pārċ(wa)-,pnur,ingested,n3417,n3417,yes,yes,yes,yes,no,"eleven spot/design reflexes retain source order and dialect tags under the existing PNur entry"
20260818,1211,*acchi,cdial,ingested,43,nured-1211,yes,yes,yes,yes,no,"five eye reflexes route through a generated PNur head attached to the canonical CDIAL entry"
20260818,1304,Vāṇiya,cdial,ingested,11484,nured-1304,yes,yes,yes,yes,no,"four merchant reflexes route through a generated PNur borrowing entry based on the article lemma"
20260818,1352,*ċċā(r)k(a)-,pnur,ingested,,nured-1352,yes,yes,yes,yes,no,"three explicit reflexes and commentary route through a stable generated PNur entry when no sibling exists"
20260818,1435,*khura,cdial,ingested,3906,n3255 | n3256,yes,yes,yes,yes,no,"five foot/hoof reflexes are routed between the two compatible PNur siblings by branch evidence"
