Record_Type,Report,Printed_Page,Column,Gloss_Number,Gloss,Site_Code,Site_Name,Dialect_Group,Response,Similarity_Group,Raw_Transcription,Transcription,Review,Uncertainty,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Key
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,1,sky,0,Standard Bangla,comparison control,1,1,aka,akaʃ,source text-layer transcript; legacy glyphs checked against page image,,excluded,standard Bangla comparison list; not Bishnupriya,,,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 1, Standard Bangla]",
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,1,sky,a,Tilakpur,Madoi Gang,1,2,dn,dɪn,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-tilakpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 1, Tilakpur]",silbishnupriya2008:g001:sil-bishnupriya-2008-tilakpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,1,sky,b,Soi Sri,Rajar Gang,1,2,dn,dɪn,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-soi-sri,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 1, Soi Sri]",silbishnupriya2008:g001:sil-bishnupriya-2008-soi-sri:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,1,sky,c,Gulerhaor,Rajar Gang,1,2,dn,dɪn,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-gulerhaor,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 1, Gulerhaor]",silbishnupriya2008:g001:sil-bishnupriya-2008-gulerhaor:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,1,sky,d,Dhonitila,Rajar Gang,1,2,dn,dɪn,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-dhonitila,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 1, Dhonitila]",silbishnupriya2008:g001:sil-bishnupriya-2008-dhonitila:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,1,sky,e,Machimpur,Rajar Gang,1,2,dn,dɪn,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-machimpur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 1, Machimpur]",silbishnupriya2008:g001:sil-bishnupriya-2008-machimpur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,1,sky,f,Madhapur,Madoi Gang,1,2,dn,dɪn,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-madhapur,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 1, Madhapur]",silbishnupriya2008:g001:sil-bishnupriya-2008-madhapur:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,2,sun,0,Standard Bangla,comparison control,1,1,udo,ʃuɹdʒo,source text-layer transcript; legacy glyphs checked against page image,,excluded,standard Bangla comparison list; not Bishnupriya,,,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 2, Standard Bangla]",
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,2,sun,b,Soi Sri,Rajar Gang,1,2,bli,bɛli,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-soi-sri,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 2, Soi Sri]",silbishnupriya2008:g002:sil-bishnupriya-2008-soi-sri:i1
expanded wordlist attestation,kim-kim2008bishnupriya,35,1,2,sun,c,Gulerhaor,Rajar Gang,1,2,bli,bɛli,source text-layer transcript; legacy glyphs checked against page image,,installed,,Bishnupriya,sil-bishnupriya-2008-gulerhaor,"kim-kim2008bishnupriya[Appendix B.3, printed p. 35, item 2, Gulerhaor]",silbishnupriya2008:g002:sil-bishnupriya-2008-gulerhaor:i1
