Stable_Key,Installed_Key,PDF_Page,Printed_Page,Column,Top,Raw_OCR,Final_Form,Raw_Gloss_German,English_Gloss,Source_Image_Check,Material_Error,Resolution
berger:p009:c1:e001,berger:p009:c1:e001,7,9,1,607,la Ausruf der Überraschung,a,Ausruf der Überraschung,exclamation of surprise,checked,no,source-image verified
berger:p031:c2:e004,berger-entry-445,18,31,2,1494,"3bal hz.ng. -éù Wand 1.10; 67.3;
L66
(ys. bal)
bále ke iltúmaliṅ biċá ng. auch
die Wand hat Ohren (Sprich-
wort)",bal,Wand,wall,checked,no,source-image verified
berger:p057:c2:e007,berger-entry-794,31,57,2,1857,"bódo, ng. bóodo y Mittwoch L 84
(ys. búdu, sh. bóodo, T 9322)",bódo,bóodo y Mittwoch,bóodo y Wednesday,checked,no,source-image verified; Nager variant retained
berger:p085:c2:e004,berger-entry-1369-dialect-1,45,85,2,1088,"davon ćaćár +t- ds.
(sh. ćáćar)",ćaćár,+t- ds,+t- same as preceding entry,checked,no,source-image verified; derived cross-reference retained
berger:p113:c1:e009,berger-entry-2058,60,113,1,1252,damdareéś ét- geheim tun,damdareéś ét-,geheim tun,do secretly,checked,no,source-image verified
berger:p141:c2:e001,berger-entry-2687,74,141,2,374,"dazu di-áarċ- -śŚ-, neg. atíarċ- reg-
nen (mit oder ohne karált als
Subj.); (Nesselsucht, doś) befal-
len L 128
(ys. di-árċ-)",di-áarċ- -ś-,"neg. atíarċ- regnen (mit oder ohne karált als Subj.); (Nesselsucht, doś) befallen","neg. atíarċ- rain (with or without carált as subj.); (hives, doś) infested",checked,no,source-image verified; headword suffix and vowel length repaired
berger:p167:c1:e006,berger-entry-3260,87,167,1,1826,"galíiz und galíis -išo -tiùṅ, L auch -śo
unwohl, krank 5.33; 28.20; 30.17;
37.13; Kranker; y Krankheit 13.9;
62.10; L 178
(ys. galíz, sh. galís <-u. galīz ""grob,
dick"", für den Puls)
galíiz -mán- krank werden, er-
kranken
galíiz -wál- ds.; nach einigen nur
von Tieren oder von Ķindern, die
sich von der Arbeit drücken wol-
len",galíiz,"und galíis -išo -tiùṅ, L auch -śo unwohl, krank ; ; ; ; Kranker; y Krankheit","and galíis -išo -tiùṅ, L also -śo unwell, sick ; ; ; ; sick ; y disease",checked,no,source-image verified; OCR suffix -śo repaired
berger:p190:c1:e001,berger-entry-3784,99,190,1,614,"hanpá eine Seite, Richtung; zur
Seite L 193
(""han + -pa)
hanpáåá (laṅ) mané geh zur Seite,
rück ein wenig
hanpáå ... hanpá auf der einen
Seite ... auf der anderen Seite
26.2",hanpá,"eine Seite, Richtung; zur Seite (""han + -pa)","one side, direction; to the side (""han + -pa"")",checked,no,source-image verified
berger:p216:c1:e006,berger-entry-4345,112,216,1,1147,"ispákpa große Mahlzeit, Tafel mit
allen möglichen Speisen; Hack-
fleisch L 48
(vgl. ba. spaq, ti. spags)",ispákpa,"große Mahlzeit, Tafel mit allen möglichen Speisen; Hackfleisch","large meal, table with all kinds of food; minced meat",checked,no,source-image verified
berger:p242:c1:e009,berger:p242:c1:e009,125,242,1,1525,"d:karan-, hz. auch d:skaran- um-
ringen, umgeben, einfrieden (ver-
altet)
(ys. d+kharan-)",d:karan-,"auch d:skaran- umringen, umgeben, einfrieden (veraltet)","also d:skaran- surround, surround, united (obsolete)",checked,no,source-image verified
berger:p265:c2:e002,berger-entry-5425,136,265,2,824,"léen Barackenlager 48.1
{e. Zane)",léen,Barackenlager {e. Zane),barracks {e. Zane],checked,no,source-image verified
berger:p290:c2:e003,berger-entry-6014,149,290,2,991,móo- s. mu:,móo-,s. mu,see Mu,checked,no,source-image verified
berger:p316:c2:e007,berger-entry-6600,162,316,2,1375,"poq ét-, poqpóq ét-, toqtóq ét-, tiqtíą
ét- NH ein küssendes Geräusch
machen, um ein Kind, Pferd usw.,
zu beruhigen
(sh. pok-pők)
poq komm! (zu einem Vogel)
póqar díċ- NH (Vogel) zähmen",poq ét-,"poqpóq ét-, toqtóq ét-, tiqtíą","poqpóq ét-, toqtóq ét-, tiqtíą",checked,no,source-image verified; sound-symbolic series retained
berger:p341:c2:e003,berger-entry-7190,174,341,2,609,qaṅqurúućo ng. s. qamqurúućo,qaṅqurúućo,s. qamqurúućo,see qamqurúućo,checked,no,source-image verified
berger:p364:c2:e006,berger-entry-7737,186,364,2,1376,"riíl ng. -ćaù Kupfer L 303
(sh. rit, T 10752.3)",riíl,Kupfer,copper,checked,no,source-image verified
berger:p390:c1:e007,berger-entry-8345,199,390,1,1875,śamśám s. Śam,śamśám,s. Śam,see Śam,checked,no,source-image verified
berger:p414:c1:e008,berger-entry-8925,211,414,1,1912,taá-taákući s. toő-taákući,taá-taákući,s. toő-taákući,see toő-taákući,checked,no,source-image verified
berger:p436:c2:e005,berger-entry-9463,222,436,2,1439,"thaló hxy, thalé z sieben 28.3; 34.7;
38.64; 54.6; 55.3 (thalő-thalő}, L
(ys. thalő, -é)",thaló,"hxy, thalé z sieben ; ; ; ; (thalő-thalő}, L","hxy, thalé z seven ; ; ; ; (thalő-thalő}, L",checked,no,source-image verified; noun-class notation retained
