Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Source_Language,Language_ID,SEAlang_Record,Page,Column,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Parameter_ID,Link_Status,Alignment_Method,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256,Review_Result,Material_Error
2026-08-28,munda1968proto:C:c1.p25.i52,ika,to pardon,Santali,sa,25,52,1,1,munda1968proto:C:c1.p25.i52,,ika,to pardon,pkh-25-52,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 52, SEAlang record 25]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,2dc19b1793b1e1de8eb3497ca6e15299a88a79de97df1e0ddd805b797468bd8f,pass,
2026-08-28,munda1968proto:C:c1.p930.i121-2,haɽub,to embrace,Santali,sa,930,121-2,1,1,munda1968proto:C:c1.p930.i121-2,,haɽub,to embrace,pkh-930-121x2,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 121-2, SEAlang record 930]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,c38758deb6d11219c50c38d93ab2c94393e7f099be416af0c374ebfaefd48751,pass,
2026-08-28,munda1968proto:R:c3.p549.i92,*ɲɔlhad ~ *nɔlhad,soot,proto Kherwarian,PKher,549,92,3,2,munda1968proto:R:c3.p549.i92:v2,munda1968proto:R:c3.p549.i92,*nɔlhad,soot,pkh-549-92,linked,self,ingested,source reconstruction,"munda1968proto[p. 92, SEAlang record 549]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,c864ab4d8fe20abb736194dc91d12649603692625b5995d7c06de8330b14195b,pass,
2026-08-28,munda1968proto:C:c1.p461.i86,bɛrɛl,raw,Santali,sa,461,86,1,1,munda1968proto:C:c1.p461.i86,,bɛrɛl,raw,pkh-461-86,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 86, SEAlang record 461]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,f1901a1e310c1f6e0a14a5d93b64bd3edd51c3df6ca574b4aae78baf40998087,pass,
2026-08-28,munda1968proto:C:c1.p347.i77,poʈor,scratch,Santali,sa,347,77,1,1,munda1968proto:C:c1.p347.i77,,poʈor,scratch,pkh-347-77,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 77, SEAlang record 347]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,8cfd6ec6be66dde34e4391b410d56059b5b2cb0534632feb790f339af9eba944,pass,
2026-08-28,munda1968proto:C:c1.p549.i92,ɲɔlhad,soot,Santali,sa,549,92,1,1,munda1968proto:C:c1.p549.i92,,ɲɔlhad,soot,pkh-549-92,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 92, SEAlang record 549]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,7cb3ba2816976ba273df5fa8911cfeeae8cd4a8a6c11f70bcd397af32b79bd84,pass,
2026-08-28,munda1968proto:C:c1.p412.i82,tɛbaʔ,to reach,Santali,sa,412,82,1,1,munda1968proto:C:c1.p412.i82,,tɛbaʔ,to reach,pkh-412-82,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 82, SEAlang record 412]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,c87387b2e0a36e58eaa7f44bd6ca562e3f641419d9b9c56b8c902a6f07d197dc,pass,
2026-08-28,munda1968proto:C:c1.p271.i71,ɟapud ~ ɟa-l-pud,rain,Santali,sa,271,71,1,2,munda1968proto:C:c1.p271.i71:v2,munda1968proto:C:c1.p271.i71,ɟa-l-pud,rain,pkh-271-71,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 71, SEAlang record 271]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,16da849f8078c7303373a7acf7db08c0f04304837dec3527047595566c38042a,pass,
2026-08-28,munda1968proto:C:c1.p1025.i127,alaŋ,tongue,Santali,sa,1025,127,1,1,munda1968proto:C:c1.p1025.i127,,alaŋ,tongue,pkh-1025-127,linked,locator+gloss,ingested,shared source locator and gloss,"munda1968proto[p. 127, SEAlang record 1025]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,f329966196e88195df11143d4c0f45259715d43f3562624ca79c8ceeb96d1c2b,pass,
2026-08-28,munda1968proto:R:c3.p622.i97,*bɔhɔʔ,head,proto Kherwarian,PKher,622,97,3,1,munda1968proto:R:c3.p622.i97,,*bɔhɔʔ,head,pkh-622-97,linked,self,ingested,source reconstruction,"munda1968proto[p. 97, SEAlang record 622]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=munda1968proto,5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f,c584c123fbe52a25e7f938b239a1c59d0a16ff4b8738ac1018c97c7a32525b2f,pass,
