Sequence|Unit_ID|Region|Section|Printed_Page|Raw_Form|Raw_Phonetic|Raw_Before|Raw_Gloss|Raw_After|Raw_Context
1|abstract:q1|prose|Front matter|1||||the Middle-Eastern Gypsies|. Described as an archaic Indo-Aryan language, Domari is known to the |on an under-described variety of Domari, a very scarcely documented Indo-Aryan language spoken by the Dōm , who are often referred to as “the Middle-Eastern Gypsies”. Described as an archaic Indo-Aryan lan
2|introduction:q1|prose|Introduction|1||||Gypsies| of the Middle-East. The Dōm are originally service-providing itiner|Domari is an Indic language spoken by the Dōm , commonly described as the “Gypsies” of the Middle-East. The Dōm are origi
3|introduction:q2|prose|Introduction|2||||In Sayyida Zaineb, the largest Dōm settlement, their number lies between 4000 and 10000| (Meyer 2004:76). The other Dōm population for which I was given est|as (Matras 1999:4), the Jerusalem community does not exceed 600-700. Other figures are given by Meyer for Damascus about which he says that “In Sayyida Zaineb, the largest Dōm settlement, their number lies between 4000 and 10000” (Meyer 2004:76). The other Dōm popula
4|introduction:q3|prose|Introduction|2|ḥaǧǧiyyāt||s are sieve-making, rudimentary dendistery and dancing (the so-called |female dancer| performing in the maqāṣif , plural of maqṣaf “cabaret”). In Syria|ipatetic peoples. In Aleppo, the main (claimed) occupations are sieve-making, rudimentary dendistery and dancing (the so-called ḥaǧǧiyyāt “female dancer” performing in the maqāṣif , plural of
5|introduction:q4|prose|Introduction|2|maqṣaf||d ḥaǧǧiyyāt “female dancer” performing in the maqāṣif , plural of |cabaret|). In Syria, other occupations generally attributed to the Dōm are i|ieve-making, rudimentary dendistery and dancing (the so-called ḥaǧǧiyyāt “female dancer” performing in the maqāṣif , plural of maqṣaf “cabaret”). In Syria, other occupations generally
6|introduction:q5|prose|Introduction|2||||Dōm of Damascus|). The zētqayyīn are also called by the Arabic name akkālīn zēt “o|fe. Some of the names recorded are nāṣəḷḷārīn , barǧōlyīn , qādəḷḷārīn , malḥamīn , zētqayyīn and also qurbāṭ iš-šām (literally “ Dōm of Damascus”). The zētqayyīn are also called by th
7|introduction:q6|prose|Introduction|2|akkālīn zēt||ōm of Damascus”). The zētqayyīn are also called by the Arabic name |oil eaters|. The nāṣəḷḷārīn and qādəḷḷārīn are also referred to by their Arab|zētqayyīn and also qurbāṭ iš-šām (literally “ Dōm of Damascus”). The zētqayyīn are also called by the Arabic name akkālīn zēt “oil eaters”. The nāṣəḷḷārīn and qādəḷḷārīn are
8|introduction:q7|prose|Introduction|3|ǧib||y stressed on the last syllable), which may occur in collocation with |language|: dōmʋārī ǧib “Domari language”. An attractive etymology for dōmʋār|do not call their language domari , but dōmʋārī́ (expectedly stressed on the last syllable), which may occur in collocation with ǧib “language”: dōmʋārī ǧib “Domari language”. An at
9|introduction:q8|prose|Introduction|3|dōmʋārī ǧib||last syllable), which may occur in collocation with ǧib “language”: |Domari language|. An attractive etymology for dōmʋārī is the suffixation of the Old |e domari , but dōmʋārī́ (expectedly stressed on the last syllable), which may occur in collocation with ǧib “language”: dōmʋārī ǧib “Domari language”. An attractive etymology for dōmʋārī
10|introduction:q9|prose|Introduction|3||||speech, language| to the ethnonym Dōm . Dōmʋārī would thus originally mean “speech |ǧib “language”: dōmʋārī ǧib “Domari language”. An attractive etymology for dōmʋārī is the suffixation of the Old Indo-Aryan root *vari “speech, language” to the ethnonym Dōm . Dōmʋārī would
11|introduction:q10|prose|Introduction|3||||speech of the Dōm|. However, this morpheme does not seem to be productive anymore in Dom|ōmʋārī is the suffixation of the Old Indo-Aryan root *vari “speech, language” to the ethnonym Dōm . Dōmʋārī would thus originally mean “speech of the Dōm ”. However, this morpheme does not seem t
12|introduction:q11|prose|Introduction|3||||Domari| comes from but a possible explanation is that what Macalister heard w|d, it may simply have been copied from Turkish or a variety of Iranian with which Domari was in contact. It is still unclear where the term “Domari” comes from but a possible explanation i
13|introduction:q12|prose|Introduction|3||||The Gypsies of Egypt| presented material collected in northern Syria, more specifically in |cinity of Beirut. Overall, Aleppo Domari seems closer to this dialect than to Palestinian Domari. Newboldʾs article (Newbold 1856) entitled “The Gypsies of Egypt” presented material collected in norther
14|introduction:q13|prose|Introduction|3||||the dialects of the Transcaucasian Gypsies| (Patkannoff 1907/1908). Macalister’s description (Macalister 1914) is|the language is quite close to what I recorded in Aleppo. Another source is Patkannoffʾs article in which he gives words of what he calls “the dialects of the Transcaucasian Gypsies” (Patkannoff 1907/1908). Macalisterʾs de
