Snapshot_Date,Collation_Date,Atlas_Numbers,PDF_Page,Printed_Page,Raw_Form,Raw_Gloss,Final_Status,Final_Form,Final_Parameter_ID,Emitted_Key,Resolution,Review,Material_Error,Source,Record_SHA256
2026-08-19,2026-08-20,97,12,31,byeλ,night,installed_form,byeλ,,buddruss-grangali1979:item-97,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 31, item 97]",00189cde7197fd5ac90c2fce080842a3fca2fddf6ed617b2dd6e7591802b4aab
2026-08-19,2026-08-20,54,10,29,tūlakə́,sickle,installed_form,tūlakə́,,buddruss-grangali1979:item-54,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 54]",00ca30d9e0fc07d1322974e5e8331548e58ca3e65bea53b121be81c56ffdeac3
2026-08-19,2026-08-20,165,16,35,dōr,face,installed_comparison,dōr,,buddruss-grangali1979:item-165:shumashti,manually collated source comparison,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 35, item 165]",0135fc75b8e802316b9456d43927a6dea20f3cc8d739ce76ce15bc54174ff2bb
2026-08-19,2026-08-20,119,13,32,dēstə́ angũ,thumb,installed_form,dēstə́ angũ,,buddruss-grangali1979:item-119,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 32, item 119]",0141a792ec3d5d2b7831f41cffb3d4c79b6d44fb37b70e99b068ab40324b9b47
2026-08-19,2026-08-20,113,13,32,xũr,foot,installed_comparison,xũr,,buddruss-grangali1979:item-113:ningalami,Buddruss questions whether the vowel is long,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 32, item 113]",01817c5c00cbe91b5db7f91a408ed6e1142b4ff032973b9e1541839c13fe4447
2026-08-19,2026-08-20,104,12,31,artə zar,gold (red gold),installed_form,artə zar,,buddruss-grangali1979:item-104,calque of Pashto expression,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 31, item 104]",01c6643f2a8a38c71067bf9f0e0264123b13ee3d2ccbd548a68720a1873e0318
2026-08-19,2026-08-20,61,10,29,kõ,arrow,installed_comparison,kõ,,buddruss-grangali1979:item-61:shumashti,"source prints kõ(r), with optional final r",full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 61]",0209ac6c797668cf765e8d8b8bc79e81a2d1b0c4db1c0015ad3bc0ee01ab20b1
2026-08-19,2026-08-20,35,8,27,yidə́,heart,installed_form,yidə́,,buddruss-grangali1979:item-35,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 35]",0268402987ba439234ac021740fd2196030a6384f9081ebdb47bcde8757e6b31
2026-08-19,2026-08-20,83,11,30,dūrwarī́,far,installed_form,dūrwarī́,,buddruss-grangali1979:item-83,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 30, item 83]",0280ab4f4a9cf994fae4fec9014c4359b2220e1600c766d77db17b1f66f44896
2026-08-19,2026-08-20,40,9,28,mis,brass; copper,installed_comparison,mis,,buddruss-grangali1979:item-40:shumashti,manually collated source comparison,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 28, item 40]",031a9a82255726c1a813e645155f2c220751f21d1fcac894146326e7cec240a3
2026-08-19,2026-08-20,137,14,33,aratə́,red,installed_comparison,aratə́,,buddruss-grangali1979:item-137:shumashti,manually collated source comparison,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 33, item 137]",044073366e351904baddfad799277d1d9afffc3b3f34700531ec596bf4d6becf
2026-08-19,2026-08-20,5,6,25,mūnda,neck,installed_comparison,mūnda,,buddruss-grangali1979:item-5:ningalami,comparison embedded in the etymological commentary,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 25, item 5]",05d19b7cb122a02e6ad935f9f9345164c1a8ff8b0f880293d4a0ed37591b4c4c
2026-08-19,2026-08-20,130,13,32,ãṭeik,kidney,installed_comparison,ãṭeik,,buddruss-grangali1979:item-130:shumashti,manually collated source comparison,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 32, item 130]",05fbaf7249d6a9d3b20d06cd9cc6e4912093f955a34ee65cb19ba59880f247ec
2026-08-19,2026-08-20,95,12,31,turū́,walnut,installed_form,turū́,,buddruss-grangali1979:item-95,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 31, item 95]",06cf8746e7ad69cb53cd0ff588cb7bc78515839a5f1ada616e4e3b3360ed8802
2026-08-19,2026-08-20,90,12,31,dār-a,mountain,installed_comparison,dār-a,,buddruss-grangali1979:item-90:ningalami,locative form extracted from the quoted utterance utalə dār-a,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 31, item 90]",072ae76c48af4f7f340222db195d7e8c9ca707ad784d2e5a2238682991477027
2026-08-19,2026-08-20,130,13,32,ētḗk,kidney,installed_form,ētḗk,,buddruss-grangali1979:item-130,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 32, item 130]",0730cac513e89045169a4e73c82d6af96d3ee6ab50f147321730b7c5109348f9
2026-08-19,2026-08-20,11,6,25,kal,year,installed_form,kal,,buddruss-grangali1979:item-11,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 25, item 11]",076b568c8f9190e0215fd42c854f2d0a9ba53001be00c658cd6505e87de0436c
2026-08-19,2026-08-20,123-124,13,32,cōdḗs,fourteen,installed_form,cōdḗs,,buddruss-grangali1979:item-123-124,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 32, item 123-124]",08994498e4fca6de3908fcf3becbf50ff6f44d662d377282075e77bb1d264273
2026-08-19,2026-08-20,25,8,27,xantə́,irrigation canal,installed_form,xantə́,,buddruss-grangali1979:item-25,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 27, item 25]",08b7c33c8e9aa9de1537c6fc816b177bfe853cb2f4ea45ee87e32a69b98a0de4
2026-08-19,2026-08-20,63,10,29,la,brother,installed_comparison,la,,buddruss-grangali1979:item-63:ningalami,manually collated source comparison,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 29, item 63]",08fa4eb9283e1b694ea076be23f7f9b1995645529aaa898a773383aaed126669
2026-08-19,2026-08-20,4,6,25,cuλä,sour; bitter,installed_comparison,cuλä,,buddruss-grangali1979:item-4:shumashti,Buddruss corrects Fussman's printed culä,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 25, item 4]",0900a902f571f4452264e8b81d599f7e587b713e982cb8e65580aebd30b792ad
2026-08-19,2026-08-20,164,16,35,isí,twenty,installed_comparison,isí,,buddruss-grangali1979:item-164:ningalami,manually collated source comparison,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 35, item 164]",0958d28358e89b5a503320c09544cc4b44d09690120a6958d391ee79579625c5
2026-08-19,2026-08-20,10,6,25,xareṭa,donkey,installed_comparison,xareṭa,,buddruss-grangali1979:item-10:shumashti,manually collated source comparison,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 25, item 10]",09bee80ecef21fabb165ff3d83e5c4eea17d0074cfb3ca05031d139702707259
2026-08-19,2026-08-20,97,12,31,wyel,night,installed_comparison,wyel,,buddruss-grangali1979:item-97:shumashti,manually collated source comparison,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 31, item 97]",0a01ef88544eca83c844040702ac7f8f2f6b26eb59e76efeb46c9c1cba401d3c
2026-08-19,2026-08-20,147,15,34,λõ,sleep,installed_form,λõ,,buddruss-grangali1979:item-147,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 34, item 147]",0a85422f42463879ab945193fa049e3ec7c34d33acbfbdee95577c3e2a4089aa
