PDF_Page,Printed_Page,OIA_Source,OIA_Match_Form,CDIAL_ID,Match_Status,Candidates,RHS_Source,Indus_Kohistani_Forms
1,477,ákṣi,ákṣi,43,exact,43,ʌỹ́c̣hi,ʌỹ́c̣hi
1,477,*akṣadāruka,akṣadāruka,30,exact,30,ʌčhā̀r,ʌčhā̀r
1,477,akṣoṭa,akṣoṭa,48,loose,48,c̣hū́1 (J); ʌc̣hṓ (Š),c̣hū́;ʌc̣hṓ
1,477,agniṣṭhá,agniṣṭhá,65,exact,65,ʌṅgēṭʌ́y,ʌṅgēṭʌ́y
1,477,ágra,ágra,68,exact,68,agár 1,agár
1,477,aṅgana,aṅgana,118,exact,118,"aṅgʌ́ṛ (J), áṅgō̃ (B)",aṅgʌ́ṛ;áṅgō̃
1,477,áṅgāra,áṅgāra,125,exact,125,ʌṅgā̀r,ʌṅgā̀r
1,477,aṅgāryā́,aṅgāryā́,131,exact,131,ā̃rī̃̀,ā̃rī̃̀
1,477,aṅgulī́ya,aṅgulī́ya,136,exact,136,ā̃ṅguíli,ā̃ṅguíli
1,477,aṅguṣṭhá,aṅguṣṭhá,137,exact,137,aṅgṭhṑ (B),aṅgṭhṑ
1,477,*aṅguṣṭhiya,aṅguṣṭhiya,14203,disambiguated,14203;138-2,aṅgṭhùi (B),aṅgṭhùi
1,477,*aṅgūḍi,aṅgūḍi,135-2,exact,135-2,ʌṅgùī,ʌṅgùī
1,477,accha-1,accha,142,exact,142,ʌ̀ċh,ʌ̀ċh
1,477,*ajakaṭa,ajakaṭa,146,exact,146,ʌžʌ́ṛ,ʌžʌ́ṛ
1,477,ajñānin,ajñānin,162,exact,162,ʌnāṛī́,ʌnāṛī́
1,477,*ajya,ajya,163,exact,163,in ḍʌ́b1 žī̀,ḍʌ́b žī̀
1,477,*aṭṭ-2,aṭṭ,179,exact,179,in hʌṭɑ̊̄̀l,hʌṭɑ̊̄̀l
1,477,*aṭṭakk,aṭṭakk,182,exact,182,ʌṭkā̀,ʌṭkā̀
1,477,*aḍ,aḍ,187,exact,187,ʌṛḕ karʌ́ṽ and in hʌṛɑ̄́ṅg,ʌṛḕ karʌ́ṽ;hʌṛɑ̄́ṅg
1,477,**aḍḍakka,aḍḍakka,,unmatched,,hʌṛʌ́kh,hʌṛʌ́kh
1,477,*aṭṭakkalā,aṭṭakkalā,183,exact,183,aṭkʌ́l,aṭkʌ́l
1,477,*attha,attha,186-2,exact,186-2,ʌ̀th,ʌ̀th
1,477,adakṣa,adakṣa,,unmatched,,ʌdàc̣h,ʌdàc̣h
