Snapshot_Date,Unit_ID,Parent_Unit_ID,PDF_Page,Printed_Page,Entry_Label,Series,Item_Type,Language,Dialect_Or_Source,Raw_Form,Raw_Gloss,Raw_Status,Raw_Relation,Old_Targets,Resolved_Targets,Final_Status,Final_Language_ID,Final_Parameter_ID,Emitted_Key,Resolution,Agent_Correction,Review,Material_Error,Source,Record_SHA256
2026-08-19,p399:u001,,4,399,8,DED,record,,,,,,,main:8,d7,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 8]",0c45c927fa833f9e155c24e17cbc50147bb44701a4eedbc80bee4cc765d5e811
2026-08-19,p399:u001:f001,p399:u001,4,399,8,DED,form,Malayalam,,aka-ppetuka,"to get into, be caught, befall",active,reflex,main:8,d7,installed_form,Malayalam,d7,burrow-emeneau1972den1:p399:u001:f001,unique old-number resolution; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'aka-ppetuka' reconciled as 'aka-ppeṭuka',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 8]",1c4256d581ce8a0f01f1855463f59e748ed8e31a67763b39df54d0bd5bc6655e
2026-08-19,p399:u001:f002,p399:u001,4,399,8,DED,form,Malayalam,,aka-ppetukka,to catch,active,reflex,main:8,d7,installed_form,Malayalam,d7,burrow-emeneau1972den1:p399:u001:f002,unique old-number resolution; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'aka-ppetukka' reconciled as 'akappeṭukka',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 8]",c88234a1987a0a7687b6a41b4d6f79fbca15bb6409f538370edb89a3092c4d1c
2026-08-19,p399:u001:f003,p399:u001,4,399,8,DED,form,Tamil,,aka-ppatu,,comparison_only,comparison_only,main:8,d7,excluded_nonaccepted,,,,"comparison form retained as prose, not installed as a reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 8]",4256f3051e11e9011107915d33b68deb0b677057231c76fd4b44aa0cae22d80e
2026-08-19,p399:u001:f004,p399:u001,4,399,8,DED,form,Telugu,,aginapadu,,comparison_only,comparison_only,main:8,d7,excluded_nonaccepted,,,,"comparison form retained as prose, not installed as a reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 8]",fb9f32a1a9731fdc7660503e6381a5b7ccedaef964be78716695bbf935b27a5f
2026-08-19,p399:u001:f005,p399:u001,4,399,8,DED,form,Toda,,o'por-,,comparison_only,comparison_only,main:8,d7,excluded_nonaccepted,,,,"comparison form retained as prose, not installed as a reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 8]",58c82136cc0c1d6bd186f8a012cd480660a58234129a4d3780c004ba2b174b49
2026-08-19,p399:u002,,4,399,9,DED,record,,,,,,,main:9,d8,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 9]",370397010f0ae4f20ef35315c0ee455abdd801a5b24d0aaba87120a833d35b8b
2026-08-19,p399:u002:f001,p399:u002,4,399,9,DED,form,Tulu,B-K,agelu,"to go apart, to widen",active,reflex,main:9,d8,installed_form,Tulu,d8,burrow-emeneau1972den1:p399:u002:f001,unique old-number resolution; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'agelu' reconciled as 'agelů',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 9]",920b0b5a68f521881d9f1d0452aa902eff37d90086a632c16a12114dd3b6ce6b
2026-08-19,p399:u003,,4,399,12,DED,record,,,,,,,main:12,d11,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 399, entry 12]",20a20cdba9250fe4cc20aecafee403a334f4e04470b8016247f6657272539431
2026-08-19,p399:u003:f001,p399:u003,4,399,12,DED,form,Tulu,B-K,agate,overturning the soil by spade,active,reflex,main:12,d11,installed_form,Tulu,d11,burrow-emeneau1972den1:p399:u003:f001,unique old-number resolution; agent transcription exactly corroborated by current DEDR,,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 399, entry 12]",ad0ba528fe46bb9a309e1c79d28bcbfa4b952b33a873f828e278d6b3e14ff256
