Language_ID,Form,Gloss,Notes
dr,dáae,beard,Table 2 item 2
bro,sma'raa,beard,Table 2 item 2
dr,ḍeér,belly,Table 2 item 3
bro,wor,belly,Table 2 item 3
dr,léel,blood,Table 2 item 4
bro,lyl,blood,Table 2 item 4
dr,á~ṭi,bone,Table 2 item 5
bro,'aati,bone,Table 2 item 5
dr,médto,brain,Table 2 item 6
bro,xor'mo,brain,Table 2 item 6
dr,mamé,breast,Table 2 item 7
bro,kry,breast,Table 2 item 7
bro,dut,breast,Table 2 item 7
dr,koṇ,ear,Table 2 item 8
bro,ka'ni,ear,Table 2 item 8
dr,bakhiini,elbow,Table 2 item 9
bro,khen,elbow,Table 2 item 9
dr,ac̣híi,eye,Table 2 item 10
bro,ac̣híi,eye,Table 2 item 10
dr,mukh,face,Table 2 item 11
bro,'andzuk,face,Table 2 item 11
dr,aṅwíi~,finger,Table 2 item 12
bro,'guli,finger,Table 2 item 12
dr,néor,fingernail,Table 2 item 13
bro,'nuori,fingernail,Table 2 item 13
dr,moéost,flesh,Table 2 item 14
bro,moós,flesh,Table 2 item 14
dr,páa,foot,Table 2 item 15
bro,'kuti,foot,Table 2 item 15
dr,jakúu,hair,Table 2 item 16
bro,'ẓokur,hair,Table 2 item 16
dr,hat,hand,Table 2 item 17
bro,hat,hand,Table 2 item 17
dr,sifs,head,Table 2 item 18
bro,ṣiṣ,head,Table 2 item 18
dr,híiu,heart,Table 2 item 19
bro,hɨɨ,heart,Table 2 item 19
dr,ẓuík,kidney,Table 2 item 20
bro,kxal'ma,kidney,Table 2 item 20
dr,kiito,knee,Table 2 item 21
bro,kúṭo,knee,Table 2 item 21
dr,doto,lip,Table 2 item 22
bro,lyti,lip,Table 2 item 22
dr,yaoi,liver,Table 2 item 23
bro,gim,liver,Table 2 item 23
dr,phiino,moustache,Table 2 item 24
bro,sam'dal,moustache,Table 2 item 24
dr,aaizo,mouth,Table 2 item 25
bro,'uzi,mouth,Table 2 item 25
dr,chdgan,neck,Table 2 item 26
bro,grii,neck,Table 2 item 26
bro,ziṅ'gat,neck,Table 2 item 26
dr,ndéto,nose,Table 2 item 27
bro,'nuto,nose,Table 2 item 27
dr,com,skin,Table 2 item 28
bro,'thuro,skin,Table 2 item 28
dr,kaṇḍi,shoulder,Table 2 item 29
bro,stod,shoulder,Table 2 item 29
dr,ant,thumb,Table 2 item 30
bro,'guli gud,thumb,Table 2 item 30
dr,jip,tongue,Table 2 item 31
bro,gip,tongue,Table 2 item 31
dr,don,tooth,Table 2 item 32
bro,da'nii,tooth,Table 2 item 32
dr,miíko,urine,Table 2 item 33
bro,tshus,urine,Table 2 item 33
dr,ẓáa,brother,Table 2 item 34
bro,'baayo,brother,Table 2 item 34
dr,jaj̣eé,brother's wife,Table 2 item 35
bro,'kaakle,brother's wife,Table 2 item 35
bro,chi'gaa,brother's wife,Table 2 item 35
dr,baál,child,Table 2 item 36
bro,si'naa,child,Table 2 item 36
dr,mulái,daughter,Table 2 item 37
bro,mu'ley,daughter,Table 2 item 37
dr,nuts,daughter-in-law,Table 2 item 38
bro,nus,daughter-in-law,Table 2 item 38
dr,babo,father,Table 2 item 39
bro,boo,father,Table 2 item 39
dr,c̣uṇu babo,father's brother,Table 2 item 40
bro,'saeno boo,father's brother,Table 2 item 40
dr,šéer,father-in-law,Table 2 item 41
bro,šcar,father-in-law,Table 2 item 41
dr,póoc̣i,granddaughter,Table 2 item 42
bro,'pyyei,granddaughter,Table 2 item 42
dr,póoc̣o,grandson,Table 2 item 43
bro,póoc̣o,grandson,Table 2 item 43
dr,mušáa,man,Table 2 item 44
bro,byɨɨ,man,Table 2 item 44
dr,daje,mother,Table 2 item 45
bro,'aae,mother,Table 2 item 45
dr,mdomoo,mother's brother,Table 2 item 46
bro,''muumo,mother's brother,Table 2 item 46
dr,ṣaṣ,mother-in-law,Table 2 item 47
bro,ṣaṣ,mother-in-law,Table 2 item 47
dr,néom,name,Table 2 item 48
bro,nto,name,Table 2 item 48
dr,manúuẓo,person,Table 2 item 49
bro,mus,person,Table 2 item 49
dr,kaéaki,sister,Table 2 item 50
dr,sas,sister,Table 2 item 50
bro,'kaakle,sister,Table 2 item 50
dr,baál,son,Table 2 item 51
bro,byɨɨ,son,Table 2 item 51
dr,jamacooé,son-in-law,Table 2 item 52
bro,ẓa'moo,son-in-law,Table 2 item 52
dr,šairí,wife's brother,Table 2 item 53
bro,šadzẓe'rii,wife's brother,Table 2 item 53
dr,céei,woman,Table 2 item 54
bro,chi' gaa,woman,Table 2 item 54
dr,kóoṇ,arrow,Table 2 item 55
bro,daah,arrow,Table 2 item 55
dr,dáal,ashes,Table 2 item 56
bro,thal'tsir,ashes,Table 2 item 56
dr,palan,bed,Table 2 item 57
dr,caarpái,bed,Table 2 item 57
bro,car'pii,bed,Table 2 item 57
dr,ṭíkki,bread,Table 2 item 58
bro,man'nili,bread,Table 2 item 58
dr,gurgur,churn,Table 2 item 59
dr,c̣hapáru,churn,Table 2 item 59
bro,tharíṅi,churn,Table 2 item 59
dr,dut méto,curds,Table 2 item 60
bro,gaan,curds,Table 2 item 60
dr,sáa~c̣o,dream,Table 2 item 61
bro,'saacii,dream,Table 2 item 61
dr,páaṣ,fertilizer,Table 2 item 62
bro,pus,fertilizer,Table 2 item 62
dr,c̣héec̣,field,Table 2 item 63
bro,bun,field,Table 2 item 63
bro,kheey,field,Table 2 item 63
dr,phiu,fire,Table 2 item 64
bro,šoor,fire,Table 2 item 64
dr,daf lojuili,ghee,Table 2 item 65
bro,gi,ghee,Table 2 item 65
dr,míi~,grease,Table 2 item 66
bro,min,grease,Table 2 item 66
dr,diṣṭ,handspan,Table 2 item 67
bro,diṭ,handspan,Table 2 item 67
dr,mac̣híi,honey,Table 2 item 68
bro,giaá'tsi,honey,Table 2 item 68
dr,goóṭ,house,Table 2 item 69
bro,góoṭ,house,Table 2 item 69
dr,yap,irrigation channel,Table 2 item 70
dr,fiíl,irrigation channel,Table 2 item 70
bro,giab,irrigation channel,Table 2 item 70
bro,iṣka,irrigation channel,Table 2 item 70
dr,coṣ,loom,Table 2 item 71
bro,thak'ṣaa,loom,Table 2 item 71
dr,thokteé,mattock (hoe),Table 2 item 72
dr,phyóoṛi,mattock (hoe),Table 2 item 72
dr,gintí,mattock (hoe),Table 2 item 72
bro,thok'tse,mattock (hoe),Table 2 item 72
dr,aṇṇáṭi,milk,Table 2 item 73
dr,dut,milk,Table 2 item 73
bro,ɨ'dẓen,milk,Table 2 item 73
dr,pon,path,Table 2 item 74
bro,pon,path,Table 2 item 74
dr,hal,plow,Table 2 item 75
bro,hal,plow,Table 2 item 75
dr,šeréoon,roof,Table 2 item 76
bro,'šaltaa,roof,Table 2 item 76
dr,luúṇi,salt,Table 2 item 77
bro,pa'yue,salt,Table 2 item 77
dr,ḍoṅo,sickle,Table 2 item 78
dr,yóo leéc̣i,sickle,Table 2 item 78
bro,bo'ṣuṅs,sickle,Table 2 item 78
dr,yoo dutm,smoke,Table 2 item 79
bro,dre,smoke,Table 2 item 79
dr,caku,spinning wheel,Table 2 item 80
