Status,Entry_Key,PDF_Page,Printed_Head,Form,Variants,Gloss,DEDR_IDs,DEDR_Relations,Checked_Unlinked,Unresolved_DEDR_IDs,Raw_Entry
ingested,wolf-kota:p1:e1,1,a an- (and-),a an-,and-,"to assent, say “a aa” when listening",,,,,"a an- (and-) — to assent, say “a aa” when listening"
ingested,wolf-kota:p1:e2,1,-abi,-abi,,"area (used with forest, road, etc.)",,,yes,,"-abi — [– ] area (used with forest, road, etc.)"
ingested,wolf-kota:p1:e3,1,abjib,abjib,,ordinary/rough/common (in this case musician); without attention/roughly (III:15b),,,,,abjib— ordinary/rough/common (in this case musician); without attention/roughly (III:15b)
ingested,wolf-kota:p1:e4,1,ac- (77),ac-,,"(in DEDR, strike a ball in a game) tāḷm acgo antama, strike the tāḷm (III: 52 extension, jaychandran interview)",77,direct,,,"ac- (77) – (in DEDR, strike a ball in a game) tāḷm acgo antama, strike the tāḷm (III: 52 extension, jaychandran interview)"
ingested,wolf-kota:p1:e5,1,ac/acl/acār,ac,acl|acār,below (I: 69),72,direct,,,ac/acl/acār — (72) below (I: 69)
ingested,wolf-kota:p1:e6,1,acgaṛ,acgaṛ,,"“place beneath object, position after the first in a row” (or under skin, bark) II: 39",72,direct,,,"acgaṛ — (72) “place beneath object, position after the first in a row” (or under skin, bark) II: 39"
ingested,wolf-kota:p1:e7,1,ackāṭ- (ackāc-),ackāṭ-,ackāc-,"to shake (tr.) move slightly (see also, aḷkāṭ-)",294,related,,,"ackāṭ- (ackāc-) — [294] to shake (tr.) move slightly (see also, aḷkāṭ-)"
ingested,wolf-kota:p1:e8,1,activārm,activārm,,"(<astivāram, U.ustuwār) foundation",,,,,"activārm — (<astivāram, U.ustuwār) foundation"
ingested,wolf-kota:p1:e9,1,aḍ,aḍ,,"horizontal piece (in aḍceḷ for gurykat); “oblique, slanting, at right angles, crosswise”; crossing, crossroads",83,direct,,,"aḍ — (83) horizontal piece (in aḍceḷ for gurykat); “oblique, slanting, at right angles, crosswise”; crossing, crossroads"
ingested,wolf-kota:p1:e10,1,aḍēr,aḍēr,,"adjustment, making due in a difficult situation",,,yes,,"aḍēr — [-] adjustment, making due in a difficult situation"
ingested,wolf-kota:p1:e11,1,aḍgaṭ- (aḍgāc-),aḍgaṭ-,aḍgāc-,"to block (view, road, etc.)",,,yes,,"aḍgaṭ- (aḍgāc-) — [-] to block (view, road, etc.)"
ingested,wolf-kota:p1:e12,1,aḍḍi,aḍḍi,,using someone else’s failure to do a job as an excuse for shirking one’s duty,,,,,aḍḍi — using someone else’s failure to do a job as an excuse for shirking one’s duty
ingested,wolf-kota:p1:e13,1,aḍmuṛtd,aḍmuṛtd,,"Praying with knees on ground and head on ground, or hands together, head on ground. For deity or respected elder.",,,,,"aḍmuṛtd — Praying with knees on ground and head on ground, or hands together, head on ground. For deity or respected elder."
ingested,wolf-kota:p1:e14,1,aḍmug-/aḍmūv- (aḍmuṛt-),aḍmug-,aḍmūv-|aḍmuṛt-,“to bow to the ground before god or godlike person”,5123,direct,,,aḍmug-/aḍmūv- (aḍmuṛt-) — (5123) “to bow to the ground before god or godlike person”
ingested,wolf-kota:p1:e15,1,adn talār,adn talār,,(tal + ār) in addition to,,,,,adn talār — (tal + ār) in addition to
ingested,wolf-kota:p1:e16,1,aḍuyni,aḍuyni,,edge of village,,,,,aḍuyni — edge of village
ingested,wolf-kota:p1:e17,1,adykāry,adykāry,,"EVS: a particular Badaga subcaste; a special family that would sacrifice the kotgit av, but not eat the meat, II: 28-29",,,,,"adykāry — EVS: a particular Badaga subcaste; a special family that would sacrifice the kotgit av, but not eat the meat, II: 28-29"
ingested,wolf-kota:p1:e18,1,ag,ag,,"hatred, dislike",,,yes,,"ag — [-] hatred, dislike"
ingested,wolf-kota:p1:e19,1,ag- (aṛt-),ag-,aṛt-,"to weep, cry",282,direct,,,"ag- (aṛt-) — (282) to weep, cry"
ingested,wolf-kota:p1:e20,1,agalm,agalm,,“width”,8,direct,,,agalm — (8) “width”
