Record_Type,Report,Printed_Page,Gloss_Number,Gloss,Site_Code,Site_Name,Dialect_Group,Response,Similarity_Group,Raw_Transcription,Transcription,Review,Uncertainty,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Key
expanded wordlist attestation,kim-roy-sangma2011kukichin,50,1,sky,0,Standard Bangla,standard Bangla comparison,1,1,,akaʃ,public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0,,excluded,standard Bangla comparison; outside target scope,,,"kim-roy-sangma2011kukichin[Appendix A.3, printed p. 50, item 1, Standard Bangla]",
expanded wordlist attestation,kim-roy-sangma2011kukichin,50,1,sky,a,Bilaichari,Bangladesh Kuki-Chin target wordlist,1,2,,rɨvan,public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0,,installed,,Pangkhua,sil-kuki-chin-2011-bilaichari-pangkhua,"kim-roy-sangma2011kukichin[Appendix A.3, printed p. 50, item 1, Bilaichari]",silkukichin2011:g001:sil-kuki-chin-2011-bilaichari-pangkhua:i1
expanded wordlist attestation,kim-roy-sangma2011kukichin,50,1,sky,l,Konglak,Bangladesh Kuki-Chin target wordlist,1,2,,rɨvan,public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0,,installed,,Pangkhua,sil-kuki-chin-2011-konglak,"kim-roy-sangma2011kukichin[Appendix A.3, printed p. 50, item 1, Konglak]",silkukichin2011:g001:sil-kuki-chin-2011-konglak:i1
expanded wordlist attestation,kim-roy-sangma2011kukichin,50,1,sky,b,Jamunachari,Bangladesh Kuki-Chin target wordlist,1,3,,van,public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0,,installed,,BawmChin,sil-kuki-chin-2011-jamunachari,"kim-roy-sangma2011kukichin[Appendix A.3, printed p. 50, item 1, Jamunachari]",silkukichin2011:g001:sil-kuki-chin-2011-jamunachari:i1
expanded wordlist attestation,kim-roy-sangma2011kukichin,50,1,sky,i,Bethel Para (Bawm),Bangladesh Kuki-Chin target wordlist,1,3,,van,public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0,,installed,,BawmChin,sil-kuki-chin-2011-bethel-para-bawm,"kim-roy-sangma2011kukichin[Appendix A.3, printed p. 50, item 1, Bethel Para (Bawm)]",silkukichin2011:g001:sil-kuki-chin-2011-bethel-para-bawm:i1
expanded wordlist attestation,kim-roy-sangma2011kukichin,50,1,sky,j,Bethel Para (Mizo),Bangladesh Kuki-Chin target wordlist,1,3,,van,public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0,,installed,,Mizo,sil-kuki-chin-2011-bethel-para-mizo,"kim-roy-sangma2011kukichin[Appendix A.3, printed p. 50, item 1, Bethel Para (Mizo)]",silkukichin2011:g001:sil-kuki-chin-2011-bethel-para-mizo:i1
expanded wordlist attestation,kim-roy-sangma2011kukichin,50,1,sky,m,Mahmuam Para,Bangladesh Kuki-Chin target wordlist,1,3,,van,public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0,,installed,,Mizo,sil-kuki-chin-2011-mahmuam-para,"kim-roy-sangma2011kukichin[Appendix A.3, printed p. 50, item 1, Mahmuam Para]",silkukichin2011:g001:sil-kuki-chin-2011-mahmuam-para:i1
expanded wordlist attestation,kim-roy-sangma2011kukichin,50,1,sky,c,Boro Kukyachari,Bangladesh Kuki-Chin target wordlist,1,4,,hɔn,public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0,,installed,,AshoChin,sil-kuki-chin-2011-boro-kukyachari,"kim-roy-sangma2011kukichin[Appendix A.3, printed p. 50, item 1, Boro Kukyachari]",silkukichin2011:g001:sil-kuki-chin-2011-boro-kukyachari:i1
expanded wordlist attestation,kim-roy-sangma2011kukichin,50,1,sky,k,Ghungurumukh Para,Bangladesh Kuki-Chin target wordlist,1,4,,hɔn,public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0,,installed,,AshoChin,sil-kuki-chin-2011-ghungurumukh-para,"kim-roy-sangma2011kukichin[Appendix A.3, printed p. 50, item 1, Ghungurumukh Para]",silkukichin2011:g001:sil-kuki-chin-2011-ghungurumukh-para:i1
expanded wordlist attestation,kim-roy-sangma2011kukichin,50,1,sky,g,Manglung Headman Para,Bangladesh Kuki-Chin target wordlist,1,5,,kɨnːi,public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0,,installed,,KhumiChin,sil-kuki-chin-2011-manglung-headman-para,"kim-roy-sangma2011kukichin[Appendix A.3, printed p. 50, item 1, Manglung Headman Para]",silkukichin2011:g001:sil-kuki-chin-2011-manglung-headman-para:i1
expanded wordlist attestation,kim-roy-sangma2011kukichin,50,1,sky,h,Prongphung Para,Bangladesh Kuki-Chin target wordlist,1,5,,kɨnːi,public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0,,installed,,KhumiChin,sil-kuki-chin-2011-prongphung-para,"kim-roy-sangma2011kukichin[Appendix A.3, printed p. 50, item 1, Prongphung Para]",silkukichin2011:g001:sil-kuki-chin-2011-prongphung-para:i1
expanded wordlist attestation,kim-roy-sangma2011kukichin,50,1,sky,e,Myanmar Khumi,Myanmar Khumi comparison supplied by another linguist,1,5,,kəní,public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0,,excluded,Myanmar Khumi comparison supplied by another linguist; outside target scope,,,"kim-roy-sangma2011kukichin[Appendix A.3, printed p. 50, item 1, Myanmar Khumi]",
expanded wordlist attestation,kim-roy-sangma2011kukichin,50,2,sun,0,Standard Bangla,standard Bangla comparison,1,1,,ʃurdʒo,public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0,,excluded,standard Bangla comparison; outside target scope,,,"kim-roy-sangma2011kukichin[Appendix A.3, printed p. 50, item 2, Standard Bangla]",
expanded wordlist attestation,kim-roy-sangma2011kukichin,50,2,sun,a,Bilaichari,Bangladesh Kuki-Chin target wordlist,1,2,,ni,public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0,,installed,,Pangkhua,sil-kuki-chin-2011-bilaichari-pangkhua,"kim-roy-sangma2011kukichin[Appendix A.3, printed p. 50, item 2, Bilaichari]",silkukichin2011:g002:sil-kuki-chin-2011-bilaichari-pangkhua:i1
