Record_Type,Source_Key,PDF_Page,Printed_Page,Item,Gloss,List_Code,List_Name,Source_Group,Reliability,Raw_Form,Form,Continuation_Lines,Review,Status,Reason,Language_ID,Dialect_ID,Citation,Entry_Key
wordlist cell,hallberg1992pashto,98,80,1,body,PES,Peshawar Pashto,Northern settled,A,bà'dVn,bɑ'dʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-pes,"hallberg1992pashto[Appendix B, printed p. 80, item 1, PES]",ssnp04:g001:pes
wordlist cell,hallberg1992pashto,98,80,2,head,PES,Peshawar Pashto,Northern settled,A,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-pes,"hallberg1992pashto[Appendix B, printed p. 80, item 2, PES]",ssnp04:g002:pes
wordlist cell,hallberg1992pashto,98,80,3,hair,PES,Peshawar Pashto,Northern settled,A,wExtV,wɛxtʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-pes,"hallberg1992pashto[Appendix B, printed p. 80, item 3, PES]",ssnp04:g003:pes
wordlist cell,hallberg1992pashto,98,80,1,body,CHS,Charsadda Pashto,Northern settled,A,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-chs,"hallberg1992pashto[Appendix B, printed p. 80, item 1, CHS]",ssnp04:g001:chs
wordlist cell,hallberg1992pashto,98,80,2,head,CHS,Charsadda Pashto,Northern settled,A,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-chs,"hallberg1992pashto[Appendix B, printed p. 80, item 2, CHS]",ssnp04:g002:chs
wordlist cell,hallberg1992pashto,98,80,3,hair,CHS,Charsadda Pashto,Northern settled,A,wextV,wextʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-chs,"hallberg1992pashto[Appendix B, printed p. 80, item 3, CHS]",ssnp04:g003:chs
wordlist cell,hallberg1992pashto,98,80,1,body,MAR,Mardan Pashto,Northern settled,A,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-mar,"hallberg1992pashto[Appendix B, printed p. 80, item 1, MAR]",ssnp04:g001:mar
wordlist cell,hallberg1992pashto,98,80,2,head,MAR,Mardan Pashto,Northern settled,A,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-mar,"hallberg1992pashto[Appendix B, printed p. 80, item 2, MAR]",ssnp04:g002:mar
wordlist cell,hallberg1992pashto,98,80,3,hair,MAR,Mardan Pashto,Northern settled,A,wextV,wextʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-mar,"hallberg1992pashto[Appendix B, printed p. 80, item 3, MAR]",ssnp04:g003:mar
wordlist cell,hallberg1992pashto,98,80,1,body,SWA,Swabi Pashto,Northern settled,A,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-swa,"hallberg1992pashto[Appendix B, printed p. 80, item 1, SWA]",ssnp04:g001:swa
wordlist cell,hallberg1992pashto,98,80,2,head,SWA,Swabi Pashto,Northern settled,A,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-swa,"hallberg1992pashto[Appendix B, printed p. 80, item 2, SWA]",ssnp04:g002:swa
wordlist cell,hallberg1992pashto,98,80,3,hair,SWA,Swabi Pashto,Northern settled,A,wExtV,wɛxtʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-swa,"hallberg1992pashto[Appendix B, printed p. 80, item 3, SWA]",ssnp04:g003:swa
wordlist cell,hallberg1992pashto,98,80,1,body,MAD,Madyan Pashto,Northern settled,A,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-mad,"hallberg1992pashto[Appendix B, printed p. 80, item 1, MAD]",ssnp04:g001:mad
wordlist cell,hallberg1992pashto,98,80,2,head,MAD,Madyan Pashto,Northern settled,A,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-mad,"hallberg1992pashto[Appendix B, printed p. 80, item 2, MAD]",ssnp04:g002:mad
wordlist cell,hallberg1992pashto,98,80,3,hair,MAD,Madyan Pashto,Northern settled,A,wextV,wextʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-mad,"hallberg1992pashto[Appendix B, printed p. 80, item 3, MAD]",ssnp04:g003:mad
wordlist cell,hallberg1992pashto,98,80,1,body,MIN,Saidu Sharif/Mingora Pashto,Northern settled,A,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-min,"hallberg1992pashto[Appendix B, printed p. 80, item 1, MIN]",ssnp04:g001:min
wordlist cell,hallberg1992pashto,98,80,2,head,MIN,Saidu Sharif/Mingora Pashto,Northern settled,A,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-min,"hallberg1992pashto[Appendix B, printed p. 80, item 2, MIN]",ssnp04:g002:min
wordlist cell,hallberg1992pashto,98,80,3,hair,MIN,Saidu Sharif/Mingora Pashto,Northern settled,A,wextV,wextʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-min,"hallberg1992pashto[Appendix B, printed p. 80, item 3, MIN]",ssnp04:g003:min
wordlist cell,hallberg1992pashto,98,80,1,body,BAT,Batagram Pashto,Northern settled,A,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-bat,"hallberg1992pashto[Appendix B, printed p. 80, item 1, BAT]",ssnp04:g001:bat
wordlist cell,hallberg1992pashto,98,80,2,head,BAT,Batagram Pashto,Northern settled,A,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-bat,"hallberg1992pashto[Appendix B, printed p. 80, item 2, BAT]",ssnp04:g002:bat
wordlist cell,hallberg1992pashto,98,80,3,hair,BAT,Batagram Pashto,Northern settled,A,wextV,wextʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-bat,"hallberg1992pashto[Appendix B, printed p. 80, item 3, BAT]",ssnp04:g003:bat
wordlist cell,hallberg1992pashto,98,80,1,body,BAF,Baffa Pashto,Northern settled,A,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-baf,"hallberg1992pashto[Appendix B, printed p. 80, item 1, BAF]",ssnp04:g001:baf
wordlist cell,hallberg1992pashto,98,80,2,head,BAF,Baffa Pashto,Northern settled,A,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-baf,"hallberg1992pashto[Appendix B, printed p. 80, item 2, BAF]",ssnp04:g002:baf
wordlist cell,hallberg1992pashto,98,80,3,hair,BAF,Baffa Pashto,Northern settled,A,wextV,wextʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-baf,"hallberg1992pashto[Appendix B, printed p. 80, item 3, BAF]",ssnp04:g003:baf
wordlist cell,hallberg1992pashto,98,80,1,body,OGI,Oghi Pashto,Northern settled,B,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-ogi,"hallberg1992pashto[Appendix B, printed p. 80, item 1, OGI]",ssnp04:g001:ogi
wordlist cell,hallberg1992pashto,98,80,2,head,OGI,Oghi Pashto,Northern settled,B,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-ogi,"hallberg1992pashto[Appendix B, printed p. 80, item 2, OGI]",ssnp04:g002:ogi
wordlist cell,hallberg1992pashto,98,80,3,hair,OGI,Oghi Pashto,Northern settled,B,wextV,wextʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-ogi,"hallberg1992pashto[Appendix B, printed p. 80, item 3, OGI]",ssnp04:g003:ogi
wordlist cell,hallberg1992pashto,98,80,1,body,DIR,Dir Pashto,Northern settled,B,--,,0,SILDoulosNP positioned text,excluded,source prints -- rather than a lexical response,Psht,ssnp04-dir,"hallberg1992pashto[Appendix B, printed p. 80, item 1, DIR]",
wordlist cell,hallberg1992pashto,98,80,2,head,DIR,Dir Pashto,Northern settled,B,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-dir,"hallberg1992pashto[Appendix B, printed p. 80, item 2, DIR]",ssnp04:g002:dir
wordlist cell,hallberg1992pashto,98,80,3,hair,DIR,Dir Pashto,Northern settled,B,wextV,wextʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-dir,"hallberg1992pashto[Appendix B, printed p. 80, item 3, DIR]",ssnp04:g003:dir
wordlist cell,hallberg1992pashto,98,80,1,body,BAJ,Bajaur Pashto,Northern tribal,B,bVdVn,bʌdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-baj,"hallberg1992pashto[Appendix B, printed p. 80, item 1, BAJ]",ssnp04:g001:baj
wordlist cell,hallberg1992pashto,98,80,2,head,BAJ,Bajaur Pashto,Northern tribal,B,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-baj,"hallberg1992pashto[Appendix B, printed p. 80, item 2, BAJ]",ssnp04:g002:baj
wordlist cell,hallberg1992pashto,98,80,3,hair,BAJ,Bajaur Pashto,Northern tribal,B,wextV,wextʌ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-baj,"hallberg1992pashto[Appendix B, printed p. 80, item 3, BAJ]",ssnp04:g003:baj
wordlist cell,hallberg1992pashto,98,80,1,body,MOH,Mohmand Pashto,Northern tribal,B,bàdVn,bɑdʌn,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-moh,"hallberg1992pashto[Appendix B, printed p. 80, item 1, MOH]",ssnp04:g001:moh
wordlist cell,hallberg1992pashto,98,80,2,head,MOH,Mohmand Pashto,Northern tribal,B,sVr,sʌr,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-moh,"hallberg1992pashto[Appendix B, printed p. 80, item 2, MOH]",ssnp04:g002:moh
wordlist cell,hallberg1992pashto,98,80,3,hair,MOH,Mohmand Pashto,Northern tribal,B,ixtV / wIxtà,ixtʌ / wɪxtɑ,0,SILDoulosNP positioned text,installed,,Psht,ssnp04-moh,"hallberg1992pashto[Appendix B, printed p. 80, item 3, MOH]",ssnp04:g003:moh
