Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Source_Language,Language_ID,Page,Item,Column,Comparison_Group,Group_Status,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256
2026-08-28,zide1982reconstruction:C:c1.p251.i195,(ʌ)rɛ(-)sa,newborn infant,Sora,so,251,195,1,Z82-p251-i195,paired,1,zide1982reconstruction:C:c1.p251.i195,,(ʌ)rɛ(-)sa,newborn infant,ingested,structured source comparison record,"zide1982reconstruction[p. 251, item 195]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,ce702d14f764e9f3d4b871ba59fd9fa90a0c635c1e450a23768bb56575980c25
2026-08-28,zide1982reconstruction:C:c2.p391.i879,R-bɨd-ɔr,third plowing,Juray,Juray,391,879,2,Z82-p391-i879,singleton,1,zide1982reconstruction:C:c2.p391.i879,,R-bɨd-ɔr,third plowing,ingested,structured source comparison record,"zide1982reconstruction[p. 391, item 879]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,a786741a697476e010d46e9eca190c28533de0f9f7a5a46b69b82b325d7e5199
2026-08-28,zide1982reconstruction:C:c2.p461.i1462,R-lʌŋ,voice,Juray,Juray,461,1462,2,Z82-p461-i1462,paired,1,zide1982reconstruction:C:c2.p461.i1462,,R-lʌŋ,voice,ingested,structured source comparison record,"zide1982reconstruction[p. 461, item 1462]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,f87a614c04e1375f9e6329bcd44a6b9549b099e47c7ee43430b7c277db5d1491
2026-08-28,zide1982reconstruction:C:c2.p369.i772,a-,to wash (body part) (prefix),Juray,Juray,369,772,2,Z82-p369-i772,paired,1,zide1982reconstruction:C:c2.p369.i772,,a-,to wash (body part),ingested,structured source comparison record,"zide1982reconstruction[p. 369, item 772]",prefix,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,7a3eed15ee885c4482dc304a9f245650b99311fc0c7ad6a9a86f5dc46e79df58
2026-08-28,zide1982reconstruction:C:c1.p369.i772,a-,to wash (body part) (prefix),Sora,so,369,772,1,Z82-p369-i772,paired,1,zide1982reconstruction:C:c1.p369.i772,,a-,to wash (body part),ingested,structured source comparison record,"zide1982reconstruction[p. 369, item 772]",prefix,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,db920fcc4143834937062745d094490ddf3ce5e6c736954280f995bc4155d0df
2026-08-28,zide1982reconstruction:C:c2.p273.i357,a-bʌb-si,thumb,Juray,Juray,273,357,2,Z82-p273-i357,paired,1,zide1982reconstruction:C:c2.p273.i357,,a-bʌb-si,thumb,ingested,structured source comparison record,"zide1982reconstruction[p. 273, item 357]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,1a2785d746702b7e73702da6d5c3865ecfbf5089d2cb164268a91aca6fed1b1d
2026-08-28,zide1982reconstruction:C:c2.p278.i410,a-mʌd-,to wash the face,Juray,Juray,278,410,2,Z82-p278-i410,paired,1,zide1982reconstruction:C:c2.p278.i410,,a-mʌd-,to wash the face,ingested,structured source comparison record,"zide1982reconstruction[p. 278, item 410]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,2c894e18d4803d1ae6a902ed4c69f97a1f23c3c63357e78a2a8f1031daba706a
2026-08-28,zide1982reconstruction:C:c1.p278.i410,a-mʌd-,to wash the face,Sora,so,278,410,1,Z82-p278-i410,paired,1,zide1982reconstruction:C:c1.p278.i410,,a-mʌd-,to wash the face,ingested,structured source comparison record,"zide1982reconstruction[p. 278, item 410]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,0bb1e7d935a034d8a9ebc8a11807ab2871741270524213e251701e77ac638e14
2026-08-28,zide1982reconstruction:C:c2.p578.i2264,a-pʌroŋ-,dry,Juray,Juray,578,2264,2,Z82-p578-i2264,paired,1,zide1982reconstruction:C:c2.p578.i2264,,a-pʌroŋ-,dry,ingested,structured source comparison record,"zide1982reconstruction[p. 578, item 2264]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,34ab1985f6eda5b78f2ad20b98918cd27f3a53176f1af338a64301397834be0a
2026-08-28,zide1982reconstruction:C:c1.p397.i940-3,a-ɔn-sab,brood of chicks,Sora,so,397,940-3,1,Z82-p397-i940-3,paired,1,zide1982reconstruction:C:c1.p397.i940-3,,a-ɔn-sab,brood of chicks,ingested,structured source comparison record,"zide1982reconstruction[p. 397, item 940-3]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,976d38849c09c894e36c17b47792c4777ba64689d7bd130954b2da0b0def3c5c
