Snapshot_Date,Unit_ID,Parent_Unit_ID,PDF_Page,Printed_Page,Entry_Label,Series,Item_Type,Language,Dialect_Or_Source,Raw_Form,Raw_Gloss,Raw_Status,Raw_Relation,Old_Targets,Resolved_Targets,Final_Status,Final_Language_ID,Final_Parameter_ID,Emitted_Key,Resolution,Agent_Correction,Review,Material_Error,Source,Record_SHA256
2026-08-19,p475:u021:f006,p475:u021,2,475,S219,DEDS,form,Konda,B.,kukuti,hair,active,reflex,den2-new:S²19,d1634,installed_form,Konda,d1634,burrow-emeneau1972den2:p475:u021:f006,DEN new entry resolved by unique diacritic-insensitive language-and-form corroboration; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'kukuti' reconciled as 'kukuṭi',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 475, entry S²19]",c1e8362072d68b75141c07e0a641fe9a95f8229faf85085defc752e3b2242c45
2026-08-19,p476:u022:f004,p476:u022,3,476,S248,DEDS,form,Tamil,,nalippu,overcrowdedness,active,reflex,den2-new:S²48,d3611|d3622,installed_form,Tamil,d3622,burrow-emeneau1972den2:p476:u022:f004,DEN new entry resolved by unique diacritic-insensitive language-and-form corroboration; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'nalippu' reconciled as 'naḷippu',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 476, entry S²48]",0a0c93f7a884e9751d2c2683e36d108a58fde3d6468ca62e034dfb657017d754
2026-08-19,p477:u003:f001,p477:u003,4,477,S267,DEDS,form,Konda,,res- (-t-),stir and mix,active,reflex,den2-new:S²67,d4610,installed_form,Konda,d4610,burrow-emeneau1972den2:p477:u003:f001,current-DEDR target inherited from the same DEN new-entry segment; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'res- (-t-)' reconciled as 'rēs- (-t-)',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 477, entry S²67]",34565f811d525388f84a8b2071913358169b199ed5613f9ba95df14a7d492770
2026-08-19,p478:u004:f004,p478:u004,5,478,DBIA S5,DBIA,form,Kannada,,kinnari,lute of the caṇḍālas,active,reflex,,,unresolved_target,Kannada,,,DBIA addition/correction retained for a separate loan-entry reconciliation; the current structural pilot installs only independently DEDR-corroborated forms,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den2[p. 478, entry DBIA S5]",1cedc970a1ec70f2ee456913fe33659cf5ef58b770cb7b00993c7fad558a4d30
2026-08-19,p477:u001:f003,p477:u001,4,477,S265,DEDS,form,Kodagu,,puḷi,mist on mountains,active,reflex,den2-new:S²65,d4375,installed_form,Kodagu,d4375,burrow-emeneau1972den2:p477:u001:f003,DEN new entry resolved by diacritic-insensitive form plus unique gloss overlap; an unmarked exact homonym has an incompatible gloss; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'puḷi' reconciled as 'pu·ḷï',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 477, entry S²65]",b29679cc9daad869bcaf641e5705df14099b45b839eb24ed254c3e7167f25b66
2026-08-19,p478:u016:f001,p478:u016,5,478,DBIA S17,DBIA,form,Kota,,aj,footprint,deleted,reflex,main:47,,excluded_nonaccepted,,,,source-deleted form retained in the audit and correction prose only,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den2[p. 478, entry DBIA S17]",3a96bb4d68bfd9065d5ee7dc64998aa3c8c0c0fed2850e183c3bf69ee652737c
2026-08-19,p475:u025:f004,p475:u025,2,475,S223,DEDS,form,Kui,,kutu kueri,"mist, fog",active,reflex,den2-new:S²23,d1765,installed_form,Kui,d1765,burrow-emeneau1972den2:p475:u025:f004,DEN new entry resolved by unique diacritic-insensitive language-and-form corroboration; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'kutu kueri' reconciled as 'kutu kueṛi',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 475, entry S²23]",4bce0977dcf245a5b4088888802d8e1e10cea152759b8e482670eee32e417d5c
2026-08-19,p475:u012:f002,p475:u012,2,475,S211,DEDS,form,Malto,,engde,to clear away weeds,active,reflex,den2-new:S²11,,unresolved_target,Malto,,,DEN new-entry form has no current-DEDR language/form corroboration,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den2[p. 475, entry S²11]",055b090fd13d99c721d473c4b9e1a011784d6df79bffce56d469b55ab4ee4703
2026-08-19,p478:u003:f007,p478:u003,5,478,DBIA S4,DBIA,form,Kuwi,P.,gala,cheek,active,reflex,,,unresolved_target,bisam,,,DBIA addition/correction retained for a separate loan-entry reconciliation; the current structural pilot installs only independently DEDR-corroborated forms,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den2[p. 478, entry DBIA S4]",20507f9d639cceada842c23b4b8f1761071f6f4741b3b3a2ebb4636fa2a8c97e
2026-08-19,p476:u002,,3,476,S229,DEDS,record,,,,,,,den2-new:S²29,d2136,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den2[p. 476, entry S²29]",37954c6a8276c244dcdb6f9f046f83121af206997c15d39d8567f71fbf45ce5d
2026-08-19,p478:u004:f002,p478:u004,5,478,DBIA S5,DBIA,form,Tamil,,kinnaram,kind of lute,active,derived,,,unresolved_target,Tamil,,,DBIA addition/correction retained for a separate loan-entry reconciliation; the current structural pilot installs only independently DEDR-corroborated forms,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den2[p. 478, entry DBIA S5]",b3ccf5db99823f78504c86f2451cc3e4fa653a5fe73b9f3f7961b307e67b24e6
2026-08-19,p476:u034:f001,p476:u034,3,476,S260,DEDS,form,Pengo,,putki,kind of rat,active,reflex,den2-new:S²60,d4257,installed_form,Pengo,d4257,burrow-emeneau1972den2:p476:u034:f001,DEN new entry resolved by unique diacritic-insensitive language-and-form corroboration; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'putki' reconciled as 'puṭki',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 476, entry S²60]",d8fd81fc11dd78c54f30c1fca793daa00523fdc695d96d8e15dc617ea32f80d8
2026-08-19,p476:u032:f003,p476:u032,3,476,S258,DEDS,form,Gondi,L.,para,"meadow, plain",queried,comparison_only,den2-new:S²58,,excluded_nonaccepted,,,,tentative form retained in source prose without a rank-1 reflex edge,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den2[p. 476, entry S²58]",27ea67774b9d4732087ddc2566ba1945dd194ffb80db528c5401763f02e8b619
2026-08-19,p479:u004,,6,479,DBIA S21,DBIA,record,,,,,,,,,raw_segment_audited,,,,structured raw segment retained in audit; 0 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den2[p. 479, entry DBIA S21]",72e80d240d3ad8892e1c08eed1fb172096768a882b5eb5a3293267f912f16284
