Item,Gloss,Kashmiri,Kishtawari,Poguli,Siraji,Page
1,armpit,katsʰ,kas,katsʰ,kasa:'li:,53
2,beard,də:ṛ,tə̌:ṛi,də:ṛ,da:'ṛi:,53
3,belly,yaḍ,yaḍ,i:ḍ,iḍ,53
4,blood,ratʰ,ratʰ,ratʰ,ratʰ,53
5,bone,aḍidž,aḍu:r,aḍʲe,ha'ḍi:,53
6,brain,di'ma:g,de'ma:g,de'ma:g,me'džo,53
7,breast,mami,mə̌m,sina,tsu'tsu,53
8,ear,kan,kan,kan,kan,53
9,elbow,kʰoniwaṭʰ,kʰǒi va:ṭʰ,thonʲu wa:ṭʰ,kʰuṇḍri,53
10,eye,əcʰ,əcʰʲ,aš,acʰʲ,53
11,face,butʰ,šə̌ṇḍ,ḍik,mũ:,53
12,finger,ongidž,angulʲ,anglʲe,ãŋg'li:,53
13,fingernail,nam,nam,nam,nam,53
14,flesh,ma:z,ma:z,ma:z,ma:s,54
15,foot,kʰər,kʰər,kʰur,kʰor,54
16,hair,mas,"va:l, tso:ṭ",masti,zu'ṭo,54
17,hand,athi,athi,a:ht,hat,54
18,head,kali,ši:rʲ,loṭ,roṭ,54
19,heart,dil,dil,dil,dil,54
20,kidney,bokiwaṭʰ,gur'di,bukʰ,gur'da,54
21,knee,koṭʰ,koṭʰ,kuṭʰe,kuṭʰ,54
22,lip,vuṭʰ,uṭʰ,lemuṛ,ho:ṭ,54
23,liver,krəhni ma:z,ka'ledža,kʲa:liz,ka:l'zo,54
24,moustache,go:õts,kə̌tsi,gucʰe,mucʰ,54
25,mouth,ə:s,ə:sʲ,mo'i:,a:si,54
26,neck,gardan,gar'dan,"gar'dun, matʰ",mũṇḍi,54
27,nose,nas,nas,naht,nak,54
28,skin,misli,musli,"tsam, nʲa:l",niya:li,54
29,shoulder,pʰʲok,šok,nakʰ,pʰak'ku,54
30,thumb,nʲəṭʰ,nəṭʰ,nʲəṭʰ,noṭ,55
31,tongue,zʲau,zʲau,"dze'ba:n, zʲeu",zib,55
32,tooth,dand,dãd,dãt,dãnt,55
33,urine,mithir,muthir,muc,mu'tar,55
34,brother,bo:y,pə̌y,ba:run,brãu,55
35,brother's wife,bəy ka:kin,pə̌:bʲ,ka:kin,bar'džãi,55
36,daughter,ku:r,ku:rʲ,kurʲ,rẽ'ṭi:,55
37,daughter-in-law,nəš,nəš,nuh,nuš,55
38,father,mo:l,mə̌:l,"mə:əl, bo:əb",ba:bo,55
39,father's brother,pʲətir,ca:ci,pi'cau,"nikṛo ba:bo, baḍo ba:bo",55
40,father-in-law,hʲohur,yə̌:r,ša'hur,šuro,55
41,granddaughter,potir,pu:'tir,pə:ətri,"po:tri, dhiyo:'ṛi:",55
42,grandson,potur,pu:'tur,pə:utru,"po:tro, dhiyo:'ṛo:",55
43,mother,mə:dž,mə̌:l,məæ:l,ma:'li:,55
44,mother's brother,ma:m,ma:əm,ma:əm,mam'mõ,56
45,mother-in-law,haš,aš,šah,šaš,56
46,sister,beni,did,bʲẽən,be:n,56
47,son,necu,bo'kuṭ,"nʲuk, ba'kuṭ",ma'ṭʰo:,56
48,son-in-law,za:mtur,za'motur,zamotru,džama'tro:,56
49,wife's brother,həhar,sa:li,sa:le,"sa:lo, be:i'mo",56
50,child,šur,baci,nʲuk,ma'ṭʰo:,56
51,man,mari:d,mə:n,ma'hun,mard,56
52,name,na:o,na:m,na:m,nã:m,56
53,person,"in'sa:n, a:dam",mə̌l,maṛd,ma:'nũ:,56
54,woman,ze'na:n,ze'na:n mə̌l,kur nahi'ni,ze'na:n,56
55,arrow,ti:r,ti:r,ti:r,ti:r,56
56,ashes,su:r,swa:s,"swa:s, swa:h",swa:h,56
57,bed,"pa'laŋ, ca:rpa:i",kʰaṭʰ,kʰaṭ,kʰaṭi,56
58,bread,tsoṭ,mãndž,mẽṇḍ,ro'ṭi:,56
59,churn,"do:ən, cʰo:ə̌p",cʰop,"ma'dʰæ:n, cʰop",cʰã:mpwə,57
60,curds,za:mut dwad,daĩ,zam dud,zam'ro dudi,57
61,dream,"sopun, xwa:b",sopan,kʰwa:b,semi'ṇõ,57
62,fertilizer,pah,pə̌ma,gun,hi:l,57
63,field,"kʰah, ḍal",vodžʲ,væ:gə,ba'gi:,57
64,fire,na:r,na:r,na:r,agi,57
65,ghee,gʲau,kʲə̌u,gʲu:,gyu:,57
66,grease,car'bi:h,tsʲop,car'bi:,mez,57
67,handspan,asti,pa:u,bithi,griṭi,57
68,honey,ma:ch,mə̌:ch,mæ:ch,ma:chi:,57
69,house,gari,kə̌ri,gor,gar,57
70,irrigation channel,"yan, kəl",koi,la:b,kule,57
71,loom,va:n,va:n,va:n,kʰaddi,57
72,mattock (hoe),bi:lci,də:lʲ,no data,də:li,57
73,milk,dwad,dwad,dud,dudi,57
74,path,vaṭʰ,vaṭʰ,vaṭʰ,ba:ṭ'ti:,57
75,plow,a:li,a:li,al,hali,57
76,roof,paš,lə̌:ṛ,cʰat,la'ro:,58
77,salt,nu:n,lu:n,nu:n,lu:n,58
78,sickle,dro:ət,dro:t,da:ch,no data,58
79,smoke,dih,tũ:m,du:om,dũ:m,58
80,spinning wheel,yãndir,yãndir,yandiri,džãnʲtar,58
81,village,ga:m,gã:m,ga:m,gra:m,58
82,wood,zʲun,tsurʲ,kaṭʰe,"kaṭʰa, tsori'ya",58
83,work,kə:m,kar,kar,kammə,58
84,"sky, blue",nʲu:l as'ma:n,nʲo:l as'ma:n,nʲu:l as'ma:n,ni:lo a'mar,58
85,cloud,obur,abar,paḍ,badə'lo,58
86,lightning,vuzmal,tsapki,bidžli,uzmuli'ya,58
87,moon,zu:n,zo:'san,tsandiri,ca:'ṇi:,58
88,rain,ru:d,ru:d,ro:ət,de:o:,58
89,sky,as'ma:n,as'ma:n,as'ma:n,a'mar,58
90,snow,ši:n,ši:n,ši:in,hi:m,58
91,star,ta:rux,to:r,ta:rgan,ta:'ro:,59
92,sun,"si'ri:, af'ta:b",do:s,du:s,di:s,59
93,water,"po:ənʲ, a:b",pãĩ,pæ̃,pa:ṇi,59
94,wind,"hava:, va:u",va:u,"hawa, tsʰaṭʰ",bã:ṭʰ,59
95,afternoon,"pešin, digar",do:s'le,dusli ba:d,bya:li ku'ṇo,59
96,autumn,harud,šær ka:l,panti,šer,59
97,day,doh,do:s'le,dus,diya:'ṛi:,59
97a,Saturday,baṭ(i) va:r,šæcir va:r,no data,šã'cal,59
97b,Sunday,a:ṭʰ va:r,æṭʰ va:r,no data,a:ṭʰ,59
97c,Monday,tsandir va:r,tsandir va:r,no data,tsan'dar,59
97d,Tuesday,bə̌: va:r,mangal va:r,no data,man'gal,59
97e,Wednesday,bəd(u) va:r,bəd va:r,no data,bodi,59
97f,Thursday,bres va:r,brest va:r,no data,bre'fati,59
97g,Friday,džumah,šukir va:r,no data,šu'kar,59
98,day after tomorrow,ketʰ ka:,,cindis,tē:'tsě,60
99,down(hill),bon,do:s tre kin bon paras,kʰal ba:lus,o'TO:,60
100,east,mašrik pwr,purəb,mašrik,ti'wãrti tsarni,60
101,evening,"šami, šaim",kwali,varni,biya:'lo:,60
102a,Vaisakha,vaihek,və'šaik,data no,bi'ša:kʰ,60
102b,Jestha,zeatʰ,zet?,data no,dže:tʰ,60
102c,Asadh,hair,ăr,data no,hi'ša:ır,60
102d,Sravan,šrarvun,šrarvan,data no,šromn,60
102e,Bhadra,piatʰ bə:dir,pă:drət,data no,bʰa:'dro,60
102f,Ashvina,osu:dž,aišot,data no,o'šu:dž,60
102g,Kartika,kaxrtikʰ,kaırtikʰ,data no,ka:t'ti:,60
102h,Marga,magar,madžar,,moə'gir,60
102i,Pausha,poh,poh,data no,pa:'pʰi:,60
102j,Magha,ma:g,ma:g,,dar'mi:,60
102k,Phalguna,pʰa:gun,přargun,data no,pʰa:'gun,61
102l,Chaitra,"tsit""ir","tsit""ir",,tsit*ar,61
103,morning,subʰai,ig'ri:,reci,oi'tre,61
104,night,ratʰ,ra:ti,rat,ra:'ti,61
105,sunny side of mountain,ma,,dašno,da'lā ti'wā:ti,61
106,shady side of mountain,,—,křauru,ti'wãti,61
107,seasonal migration,— gatsnuk naji,— kal,a'dʰær,tsarni retu:'ro,61
108,spring (season),waxit ka:l sõ:t,ret ka:l sõt,ba'ha:r,ne:'la:,61
109,summer,ko:l ret,ka:l ret,garma,retwi'ro,61
110,today,az,az,az,ați,61
111,uphill,pet?,pet? kini paras,mal,kʰa'ro:,61
112,west,"gibli, pašim, maġrib",pascim,magrib,ma'grib,61
113,winter,vandi,på'di,bãnd,hindi,61
114,year,vari:,puri:,"veh, ver",ba'ri:,61
115,earth,zə'mim,min zo,ze'min,¢œe'mi:,62
116,earthquake,bunul,pň'mil,bum tsal,bõ'tsal,62
117,forest,džaņgal,van,van,œar,62
118,highest summer pasture,wur,tăr,,adu'va:r,62
119,hill,"naji, tēng",tob,cargama ma:l,data no,62
120,mountain,"pa'hazr, ba:l, koh",păr,bal,pa'ha:r,62
121,river,dər'yau,dər'yau,dar'yau,dar'yau,62
122,sand,sakʰ,reit,reist,ret,62
123,spring (of water),na:g,na:g,na:g,naig,62
124,stone,kən,"kor, rwãd",rumdi,got,62
125,ant,reji,bi'di:l,krimni,bid'li:,62
126,ass,kʰar,kʰo;'ta,kʰar,kʰa:'to,62
127,bear,haput,apot,ša:put,ich,62
128,bird,"džamvar, džama:var",pa'rindi,pa'rində,pakʲ'nū:,63
129,bull,damd,dă:t,dã:nt,dă:nt,63
130,bumblebee,bombur,td,bʰumur,bʰS:'ro,63
131,cat m.,bro:r,broir,brar,bila;'ru:,63
132,cat f.,brə:r,braw,brær,bila:'ri:,63
133,crow,kau,kau,kau,káru,63
134,cow,gau,gau,ga:ŭ,ba'tsʰi:,63
135,dog,hum,wn,hun,šū'ņa:,63
136,egg,thu:l,thu:l,tho:l,thú:l,63
137,feather,pakʰ,pakʰ,pãht,pakʰ,63
138,fish,gor,gaid,gari,macʲ'li:,63
139,flea,puš,puš,puh,pri:'šu:,63
140,goat m.,tsa:vul,słdu:l,katlo,"twa:t?, tse'lu",63
141,goat f.,tsa:vidž,si:P,tsʰel,bak'ri:,63
142,hen,kokir,ku'kir,kuk'ri:,kuki'ri:,63
143,horn,hep,hip,hiņg,šingə,63
144,horse,gur,kõr,gor,gřo!'ro,63
145,louse,zou,tsõï,Zoe,džū:,64
146,louse (nit),licʰ,licʰ,dřak,licʰ,64
147,"mouse, rat","kʰrõ:ts, gagir",ga' gər,gagri,muš'ņi:,64
148,rooster,kə:kor,kokər,ku'kur,ku'kar,64
149a,ewe,gəb,gəbiz,lao,bedde:,64
149b,ram,kat?,gobur,geb,bʰeddu:,64
150,snake,saruf,sa'rapʰ,sarapʰ,sappi,64
