Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Raw_Note,Source_Language,Language_ID,Item,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Final_Notes,Final_Etymology,Note_Class,Parameter_ID,Link_Status,Alignment_Method,Rau_Citation,Rau_Form,Rau_Gloss,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256,Review_Result,Material_Error
2026-08-28,pinnow1960beitraege:C:i1335,rɔj-,to milk,"#Kh./rɔ'j/, So./ra:d/ ""id."", /ru'j/, /ro'j/, /rui/, /roi/ ""to pull out"", Mu./rɔ'j/ ""to squeeze out the juice from a fruit"".",Juang,ju,1335,1,pinnow1960beitraege:C:i1335,,rɔj-,to milk,,"#Kh./rɔ'j/, So./ra:d/ ""id."", /ru'j/, /ro'j/, /rui/, /roi/ ""to pull out"", Mu./rɔ'j/ ""to squeeze out the juice from a fruit"". Rau 2019 assigns Pinnow's Juang form to Proto-Munda m94; resolved by unique normalized source form and compatible meaning.",comparative,m94,linked,unique normalized source form plus compatible meaning,PJDW[p268],roɟ,squeeze/milk (v),ingested,structured dictionary record,PJDW[item 1335],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,20830b74d84c8baed4bfdd00a411b6bf8407cc902b9e8dfd6b69ec1e13f113fa,pass,
2026-08-28,pinnow1960beitraege:C:i1536,tɛrɛn,the ebony tree,"#Kh./tiṛel/, /tiṛil/, /tiril/, Sa./terel/, Mu., Ho/tiril/, So./tare:l-ne:b-ən/.",Juang,ju,1536,1,pinnow1960beitraege:C:i1536,,tɛrɛn,the ebony tree,,"#Kh./tiṛel/, /tiṛil/, /tiril/, Sa./terel/, Mu., Ho/tiril/, So./tare:l-ne:b-ən/. Rau 2019 assigns Pinnow's Juang form to Proto-Munda m83; resolved by unique normalized source form and compatible meaning.",comparative,m83,linked,unique normalized source form plus compatible meaning,PJDW[p285],tɛrɛn,ebony,ingested,structured dictionary record,PJDW[item 1536],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,317927bab8b5d69748b4e03ff4b52bc4aebb90733dc9302cac08a039951e38b1,pass,
2026-08-28,pinnow1960beitraege:C:i279,bulu,thigh,"#Kh./bhulu/, Sa., Mu., Ho, Ku./bulu/, So./bulu:-n/.  Cf. /bulu paṭa/.",Juang,ju,279,1,pinnow1960beitraege:C:i279,,bulu,thigh,,"#Kh./bhulu/, Sa., Mu., Ho, Ku./bulu/, So./bulu:-n/.  Cf. /bulu paṭa/. Rau 2019 assigns Pinnow's Juang form to Proto-Munda m17; resolved by unique normalized source form and compatible meaning.",comparative,m17,linked,unique normalized source form plus compatible meaning,PJDW[p174],bulu,thigh,ingested,structured dictionary record,PJDW[item 279],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,33112b8c49948be8495ca9806df5001ad4bdff0c3fa0080b4b8041ee66bc091b,pass,
2026-08-28,pinnow1960beitraege:C:i1181,olag,leaf,"#Kh./ula'/, So./l:la:-n///o:l-ən/, Gu., Pa./o:la:/, Re./o:la:/, /ula:/.",Juang,ju,1181,1,pinnow1960beitraege:C:i1181,,olag,leaf,,"#Kh./ula'/, So./l:la:-n///o:l-ən/, Gu., Pa./o:la:/, Re./o:la:/, /ula:/. Rau 2019 assigns Pinnow's Juang form to Proto-Munda m35; resolved by unique normalized source form and compatible meaning.",comparative,m35,linked,unique normalized source form plus compatible meaning,PJDW[p254],olag,leaf,ingested,structured dictionary record,PJDW[item 1181],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,2ab294f90cdb91788e0a6a5625981dfdf2632900628d4cd7287dc25963f22e42,pass,
2026-08-28,pinnow1960beitraege:C:i913,kɔsɔr-,"to be dry, to dry, to wither","#Kh./kɔsɔr/, So., Pa./asar/, Re./usar/, Sa., Mu., Ho/gɔsɔ/ ""to wither""; Kh./kɔbsor/ ""to dry"".  Cf. /kɔsɔḍ/, /ka-na/.",Juang,ju,913,1,pinnow1960beitraege:C:i913,,kɔsɔr-,"to be dry, to dry, to wither",,"#Kh./kɔsɔr/, So., Pa./asar/, Re./usar/, Sa., Mu., Ho/gɔsɔ/ ""to wither""; Kh./kɔbsor/ ""to dry"".  Cf. /kɔsɔḍ/, /ka-na/. Rau 2019 assigns Pinnow's Juang form to Proto-Munda m55; resolved by unique normalized source form and compatible meaning.",comparative,m55,linked,unique normalized source form plus compatible meaning,PJDW[p229],kosor,dry,ingested,structured dictionary record,PJDW[item 913],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,b99cbd7f66534cff1780e5ff887384e07007d8bfd2437264dfabef12dd59231e,pass,
2026-08-28,pinnow1960beitraege:C:i720,jiŋɛ,porcupine,"#Kh./jiŋrai/, Sa./jhĩk/, Mu., Ho/jiki/, Bh./jik/, So./kən-je:ŋ-ən/.",Juang,ju,720,1,pinnow1960beitraege:C:i720,,jiŋɛ,porcupine,,"#Kh./jiŋrai/, Sa./jhĩk/, Mu., Ho/jiki/, Bh./jik/, So./kən-je:ŋ-ən/. Rau 2019 assigns Pinnow's Juang form to Proto-Munda m95; resolved by unique normalized source form and compatible meaning.",comparative,m95,linked,unique normalized source form plus compatible meaning,PJDW[p212],ɟiŋɛ,porcupine,ingested,structured dictionary record,PJDW[item 720],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,0bdb469a16ffaab0be07f8b0d207fb2b8099895e19e092d54d2e9d0743344b86,pass,
2026-08-28,pinnow1960beitraege:C:i366,dantɔ,tooth,"#Sa., Mu., Bh., Ho/ḍaṭa/, H./dãtə/, O./dantɔ/.",Juang,ju,366,1,pinnow1960beitraege:C:i366,,dantɔ,tooth,,"#Sa., Mu., Bh., Ho/ḍaṭa/, H./dãtə/, O./dantɔ/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 366],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,b7a75d5f5db979e85e7a781620e7104f1c6fd591d444e020d4e0d3671f24eef6,pass,
2026-08-28,pinnow1960beitraege:C:i221,bɔĩsi,flute,"#H./bãsUri/, O./bɔŨsI/.",Juang,ju,221,1,pinnow1960beitraege:C:i221,,bɔĩsi,flute,,"#H./bãsUri/, O./bɔŨsI/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 221],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,6fbc666a7da258e6fae88f9b0b4f2d5edc41e9e3b64e89f87708481ec4ab0b6e,pass,
2026-08-28,pinnow1960beitraege:C:i1473,sõã,rice prepared for making beer,"#Kh./kɔsṛ̃ɔ pɛ'/, Mu./kɔsṛ̃a/, Ho/kɔsɔ̃a/, Sad./koswa/.",Juang,ju,1473,1,pinnow1960beitraege:C:i1473,,sõã,rice prepared for making beer,,"#Kh./kɔsṛ̃ɔ pɛ'/, Mu./kɔsṛ̃a/, Ho/kɔsɔ̃a/, Sad./koswa/.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 1473],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,ed7fb78fd391c46c96bd97fce51c67b8db246251c2ee6da1d875a4a72747f514,pass,
2026-08-28,pinnow1960beitraege:C:i1086,moũɳi,"a kind of musical_instrument, a kettledrum",#H./bheri/.,Juang,ju,1086,1,pinnow1960beitraege:C:i1086,,moũɳi,"a kind of musical instrument, a kettledrum",,#H./bheri/.,comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,PJDW[item 1086],,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1960beitraege,6fc00f2689630d5bed5e5c04f6efd15654a40f11cd8a66b186d54fea5aede596,4cb089191a6abf9b9baa0cff34674353286724db256a666177f8f98c6969a057,pass,
