Record_Type,Source_Key,PDF_Page,Printed_Page,Concept,Gloss,Lect,Scope,Category,Response_Index,Raw_Form,Form,Notes,Status,Reason,Language_ID,Dialect_ID,Citation,Entry_Key
wordlist response,varghese-john-samuel2009malvi,59,59,1,body,Ujjaini-Malvi-Harsodan,Malvi target list,1,1,s(cid:106)(cid:52)i(cid:52),sʌɾiɾ,,installed,,mewari_basad,sil-malvi-2009-harsodan-ujjaini,"varghese-john-samuel2009malvi[Appendix B, printed p. 59, item 1, Ujjaini-Malvi-Harsodan]",silmalvi2009:g001:sil-malvi-2009-harsodan-ujjaini:i1
wordlist response,varghese-john-samuel2009malvi,59,59,1,body,Ujjaini-Malvi-Chandukhedi,Malvi target list,2,1,b(cid:106)d(cid:196)(cid:106)n,bʌd̪ʌn,,installed,,mewari_basad,sil-malvi-2009-chandukhedi-ujjaini,"varghese-john-samuel2009malvi[Appendix B, printed p. 59, item 1, Ujjaini-Malvi-Chandukhedi]",silmalvi2009:g001:sil-malvi-2009-chandukhedi-ujjaini:i1
wordlist response,varghese-john-samuel2009malvi,59,59,1,body,Ujjaini-Malvi-Nain,Malvi target list,"1,3",1,"(cid:53)(cid:106)(cid:52)i(cid:52), (cid:122)il","ʃʌɾiɾ, ɖil",,installed,,mewari_basad,sil-malvi-2009-nain-ujjaini,"varghese-john-samuel2009malvi[Appendix B, printed p. 59, item 1, Ujjaini-Malvi-Nain]",silmalvi2009:g001:sil-malvi-2009-nain-ujjaini:i1
wordlist response,varghese-john-samuel2009malvi,59,59,1,body,Ujjaini-Malvi-Nain,Malvi target list,4,2,(cid:106)(cid:132)(cid:73),ʌŋg,,installed,,mewari_basad,sil-malvi-2009-nain-ujjaini,"varghese-john-samuel2009malvi[Appendix B, printed p. 59, item 1, Ujjaini-Malvi-Nain]",silmalvi2009:g001:sil-malvi-2009-nain-ujjaini:i2
wordlist response,varghese-john-samuel2009malvi,59,59,1,body,Ujjaini-Malvi-Koyal,Malvi target list,1,1,s(cid:106)(cid:52)i(cid:52),sʌɾiɾ,,installed,,mewari_basad,sil-malvi-2009-koyal-ujjaini,"varghese-john-samuel2009malvi[Appendix B, printed p. 59, item 1, Ujjaini-Malvi-Koyal]",silmalvi2009:g001:sil-malvi-2009-koyal-ujjaini:i1
wordlist response,varghese-john-samuel2009malvi,59,59,1,body,Ujjaini-Malvi-Rojdi,Malvi target list,1,1,(cid:37)(cid:106)(cid:52)i(cid:52),çʌɾiɾ,,installed,,mewari_basad,sil-malvi-2009-rojdi-ujjaini,"varghese-john-samuel2009malvi[Appendix B, printed p. 59, item 1, Ujjaini-Malvi-Rojdi]",silmalvi2009:g001:sil-malvi-2009-rojdi-ujjaini:i1
wordlist response,varghese-john-samuel2009malvi,59,59,1,body,Ujjaini-Malvi-Thillorkhurd,Malvi target list,1,1,(cid:53)(cid:101)(cid:52)(cid:43)(cid:52),ʃəɾɪɾ,source label 'Ujjain-Malvi-Thillorkhurd',installed,,mewari_basad,sil-malvi-2009-thillorkhurd-ujjaini,"varghese-john-samuel2009malvi[Appendix B, printed p. 59, item 1, Ujjaini-Malvi-Thillorkhurd]",silmalvi2009:g001:sil-malvi-2009-thillorkhurd-ujjaini:i1
wordlist response,varghese-john-samuel2009malvi,59,59,1,body,Ujjaini-Malvi-Kumardi,Malvi target list,1,1,s(cid:106)(cid:52)i(cid:52),sʌɾiɾ,,installed,,mewari_basad,sil-malvi-2009-kumardi-ujjaini,"varghese-john-samuel2009malvi[Appendix B, printed p. 59, item 1, Ujjaini-Malvi-Kumardi]",silmalvi2009:g001:sil-malvi-2009-kumardi-ujjaini:i1
wordlist response,varghese-john-samuel2009malvi,59,59,1,body,Ujjaini-Malvi-Kumardi,Malvi target list,2,2,b(cid:106)d(cid:196)(cid:106)n,bʌd̪ʌn,,installed,,mewari_basad,sil-malvi-2009-kumardi-ujjaini,"varghese-john-samuel2009malvi[Appendix B, printed p. 59, item 1, Ujjaini-Malvi-Kumardi]",silmalvi2009:g001:sil-malvi-2009-kumardi-ujjaini:i2
wordlist response,varghese-john-samuel2009malvi,59,59,1,body,Ujjaini-Malvi-Jokhar,Malvi target list,1,1,(cid:53)(cid:106)(cid:52)i(cid:52),ʃʌɾiɾ,,installed,,mewari_basad,sil-malvi-2009-jokhar-ujjaini,"varghese-john-samuel2009malvi[Appendix B, printed p. 59, item 1, Ujjaini-Malvi-Jokhar]",silmalvi2009:g001:sil-malvi-2009-jokhar-ujjaini:i1
wordlist response,varghese-john-samuel2009malvi,59,59,1,body,Ujjaini-Malvi-Bercha,Malvi target list,"1,3",1,"(cid:53)(cid:106)(cid:52)i(cid:52), (cid:122)il","ʃʌɾiɾ, ɖil",,installed,,mewari_basad,sil-malvi-2009-bercha-ujjaini,"varghese-john-samuel2009malvi[Appendix B, printed p. 59, item 1, Ujjaini-Malvi-Bercha]",silmalvi2009:g001:sil-malvi-2009-bercha-ujjaini:i1
wordlist response,varghese-john-samuel2009malvi,59,59,1,body,Ujjaini-Malvi-Moondikhedi,Malvi target list,2,1,v(cid:106)d(cid:196)(cid:106)n,vʌd̪ʌn,,installed,,mewari_basad,sil-malvi-2009-moondikhedi-ujjaini,"varghese-john-samuel2009malvi[Appendix B, printed p. 59, item 1, Ujjaini-Malvi-Moondikhedi]",silmalvi2009:g001:sil-malvi-2009-moondikhedi-ujjaini:i1
