Status,Entry_Key,PDF_Page,Printed_Page,Column,Column_Entry,Top,Raw_Form_POS,Form,POS,Raw_Gloss,Gloss,Duplicate_Raw_Form_POS,Duplicate_Raw_Gloss,Duplicate_Agrees,Reviewed_Form,Reviewed_Parameter_ID,Review_Match_Score
already_reviewed,thari:p186:c1:e1,1,186,1,1,316.9,fekntn.f),feknt,noun feminine,eye,eye,,,no,ãkh,43,1.040
prior_section,thari:p186:c1:e2,1,186,1,2,343.0,bg(n.ni),bg,noun,"niunder, body part","niunder, body part",,,no,,,
prior_section,thari:p186:c1:e3,1,186,1,3,374.9,egur\.n.m),egur,noun masculine,£rape,grape,,,no,,,
prior_section,thari:p186:c1:e4,1,186,1,4,400.9,fcereji(n.f;,fcereji,noun feminine,English,English,Engl,lish,no,,,
prior_section,thari:p186:c1:e5,1,186,1,5,426.5,8ja(aav),8ja(aav),,"still, yet","still, yet",adT) aUl,"ll, yet",no,,,
prior_section,thari:p186:c1:e6,1,186,1,6,452.2,fejir(ri.m),fejir(ri.m),,fiii,fiii,,,no,,,
prior_section,thari:p186:c1:e7,1,186,1,7,478.1,fejiB(n.ai),fejib,noun,hinj^e,hinjge,,,no,,,
already_reviewed,thari:p186:c1:e8,1,186,1,8,504.3,fodori (n.f),fodori,noun feminine,rope,rope,,,no,ãḍorī,6225,1.174
prior_section,thari:p186:c1:e9,1,186,1,9,536.9,"ivdbr(pp,aav)",ivdbr,postposition,"into, inside","into, inside",,,no,,,
prior_section,thari:p186:c1:e10,1,186,1,10,563.1,0dfcrlo(a),odfcrlo,adjective,"internal, inner","internal, inner",,,no,,,
already_reviewed,thari:p186:c1:e11,1,186,1,11,588.5,bdha.ro (n.ffi),bdha.ro,noun,darkness,darkness,b(a.ffl) dark,kness,no,ãdhāro,386,1.203
prior_section,thari:p186:c1:e12,1,186,1,12,614.5,"fodhi(a,n.f)",fodhi,noun feminine,blind,blind,,,no,,,
already_reviewed,thari:p186:c1:e13,1,186,1,13,640.4,"fedho(a,n.fl))",fedho,noun,blind,blind,,,no,ãdho,385,1.157
prior_section,thari:p186:c1:e14,1,186,1,14,673.0,eburi(n.f),eburi,noun feminine,small pincers,small pincers,(ii*f} saal,ll pincers,no,,,
prior_section,thari:p186:c1:e15,1,186,1,15,698.0,ei£ori(n.f),eigori,noun feminine,ornament wor^ on forehead,ornament worg on forehead,,,no,,,
prior_section,thari:p186:c1:e16,1,186,1,16,736.9,fekt-l(n.iu),fekt-l,noun,"sense, intelligen","sense, intelligen",xl.ai) sens,ses intelligence,no,,,
prior_section,thari:p186:c1:e17,1,186,1,17,762.3,ekstrCadv),ekstrcadv),,often),often),,,no,,,
prior_section,thari:p186:c1:e18,1,186,1,18,794.9,foKhfer(n.ni),fokhfer,noun,"letter, word","letter, word","r(a,m) lett",tert word,no,,,
prior_section,thari:p186:c1:e19,1,186,1,19,821.3,btchDar(n. f),btchdar,noun feminine,newspapre,newspapre,ar(a.f) aews,wspapre,no,,,
