Report,PDF_Page,Column,Item,Gloss,Group,Site_Code,Site,Raw_Form,Status,Reason,Entry_Key
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,1,0,Bangla,akaʃ,installed,,siltripura2011:i001:0:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,i,Beltolipara,nokha,installed,,siltripura2011:i001:i:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,s,Barbakpur,nokha,installed,,siltripura2011:i001:s:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,a,Boro Pharangsia,nou̯kha,installed,,siltripura2011:i001:a:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,b,Choto Madhuk,nou̯kha,installed,,siltripura2011:i001:b:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,c,Dolchari,nou̯kha,installed,,siltripura2011:i001:c:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,d,Lombapara,nou̯kha,installed,,siltripura2011:i001:d:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,e,Pakkhipara,nou̯kha,installed,,siltripura2011:i001:e:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,f,Tongpaipara,nou̯kha,installed,,siltripura2011:i001:f:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,g,Mildhanpara,nou̯kha,installed,,siltripura2011:i001:g:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,h,Noimail Gutchagram,nou̯kha,installed,,siltripura2011:i001:h:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,j,Robertpara,nou̯kha,installed,,siltripura2011:i001:j:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,k,Bethanipara,nou̯kha,installed,,siltripura2011:i001:k:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,l,Katchaptali,nou̯kha,installed,,siltripura2011:i001:l:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,m,Laiphu Karbaripara,nou̯kha,installed,,siltripura2011:i001:m:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,n,Krishna Dayalpara,nou̯kha,installed,,siltripura2011:i001:n:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,o,Jarichandrapara,nou̯kha,installed,,siltripura2011:i001:o:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,p,Doluchara,nou̯kha,installed,,siltripura2011:i001:p:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,q,Satchari Tripura Basti,nou̯kha,installed,,siltripura2011:i001:q:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,r,Khumulung,nou̯kha,installed,,siltripura2011:i001:r:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,2,t,Oldlankar,nou̯kha,installed,,siltripura2011:i001:t:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,3,u,Gajni,sɨlga,installed,,siltripura2011:i001:u:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,4,v,Nagar Sontosh,ʃoga,installed,,siltripura2011:i001:v:1
kim-kim-sangma-ahmad2011tripura,82,0,1,sky,5,w,Nalchapra,raŋɾa,installed,,siltripura2011:i001:w:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,1,0,Bangla,ʃuɹdʒo,installed,,siltripura2011:i002:0:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,2,a,Boro Pharangsia,ʂa,installed,,siltripura2011:i002:a:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,2,b,Choto Madhuk,ʂa,installed,,siltripura2011:i002:b:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,2,f,Tongpaipara,ʂa,installed,,siltripura2011:i002:f:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,2,g,Mildhanpara,ʂa,installed,,siltripura2011:i002:g:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,2,h,Noimail Gutchagram,ʂa,installed,,siltripura2011:i002:h:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,2,j,Robertpara,ʂa,installed,,siltripura2011:i002:j:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,2,k,Bethanipara,ʂa,installed,,siltripura2011:i002:k:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,2,l,Katchaptali,ʂa,installed,,siltripura2011:i002:l:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,2,m,Laiphu Karbaripara,ʂa,installed,,siltripura2011:i002:m:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,2,n,Krishna Dayalpara,ʂa,installed,,siltripura2011:i002:n:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,2,o,Jarichandrapara,ʂa,installed,,siltripura2011:i002:o:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,2,p,Doluchara,ʂa,installed,,siltripura2011:i002:p:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,3,c,Dolchari,ʂal,installed,,siltripura2011:i002:c:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,3,d,Lombapara,ʂal,installed,,siltripura2011:i002:d:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,3,e,Pakkhipara,ʂal,installed,,siltripura2011:i002:e:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,3,i,Beltolipara,ʂal,installed,,siltripura2011:i002:i:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,3,o,Jarichandrapara,ʂal,installed,,siltripura2011:i002:o:2
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,3,q,Satchari Tripura Basti,ʂal,installed,,siltripura2011:i002:q:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,3,r,Khumulung,ʂal,installed,,siltripura2011:i002:r:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,3,t,Oldlankar,ʂal,installed,,siltripura2011:i002:t:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,3,s,Barbakpur,ʃal,installed,,siltripura2011:i002:s:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,3,u,Gajni,ʃal,installed,,siltripura2011:i002:u:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,3,v,Nagar Sontosh,ʃal,installed,,siltripura2011:i002:v:1
kim-kim-sangma-ahmad2011tripura,82,0,2,sun,4,w,Nalchapra,raŋʃan,installed,,siltripura2011:i002:w:1
kim-kim-sangma-ahmad2011tripura,82,0,3,moon,1,0,Bangla,tʃãd,installed,,siltripura2011:i003:0:1
kim-kim-sangma-ahmad2011tripura,82,0,3,moon,2,a,Boro Pharangsia,ta,installed,,siltripura2011:i003:a:1
kim-kim-sangma-ahmad2011tripura,82,0,3,moon,2,b,Choto Madhuk,ta,installed,,siltripura2011:i003:b:1
kim-kim-sangma-ahmad2011tripura,82,0,3,moon,2,c,Dolchari,ta,installed,,siltripura2011:i003:c:1
kim-kim-sangma-ahmad2011tripura,82,0,3,moon,2,e,Pakkhipara,ta,installed,,siltripura2011:i003:e:1
kim-kim-sangma-ahmad2011tripura,82,0,3,moon,2,f,Tongpaipara,ta,installed,,siltripura2011:i003:f:1
kim-kim-sangma-ahmad2011tripura,82,0,3,moon,2,g,Mildhanpara,ta,installed,,siltripura2011:i003:g:1
