Source_Key,PDF_Page,Printed_Page,Source_Line,Item,Gloss,Similarity_Groups,Site_Code,Site,Scope,Manual_Form,Confidence,Review_Method,Review_Status,Status,Reason,Language_ID,Dialect_ID,Citation,Entry_Keys
behera2022korwakodaku,66,56,p66:l14,1,body,3,A,Husambu Asuri,Asuri comparison control,hoɖɔ,high,manual visual review of typeset source; text/OCR comparison only,complete,excluded,comparison control not installed,,,"behera2022korwakodaku[Appendix B.5, printed p. 56, item 1, site A]",
behera2022korwakodaku,66,56,p66:l9,1,body,1,B,Dumortoli Sadri,Sadri comparison control,d̪ẽh,high,manual visual review of typeset source; text/OCR comparison only,complete,excluded,comparison control not installed,,,"behera2022korwakodaku[Appendix B.5, printed p. 56, item 1, site B]",
behera2022korwakodaku,66,56,p66:l9,1,body,1,C,Chilma Korwa,Korwa target,d̪ẽh,high,manual visual review of typeset source; text/OCR comparison only,complete,installed,,kw,sil-korwa-2004-chilma,"behera2022korwakodaku[Appendix B.5, printed p. 56, item 1, site C]",silkorwakodaku2022:i001:C:f1
behera2022korwakodaku,66,56,p66:l9,1,body,1,D,Dhaneshpur Korwa,Korwa target,d̪ẽh,high,manual visual review of typeset source; text/OCR comparison only,complete,installed,,kw,sil-korwa-2004-dhaneshpur,"behera2022korwakodaku[Appendix B.5, printed p. 56, item 1, site D]",silkorwakodaku2022:i001:D:f1
behera2022korwakodaku,66,56,p66:l9,1,body,1,G,Gaseband Korwa,Korwa target,d̪ẽh,high,manual visual review of typeset source; text/OCR comparison only,complete,installed,,kw,sil-korwa-2005-gaseband,"behera2022korwakodaku[Appendix B.5, printed p. 56, item 1, site G]",silkorwakodaku2022:i001:G:f1
behera2022korwakodaku,66,56,p66:l5,1,body,1,H,Harrapat Korwa,Korwa target,d̪ɛ,high,manual visual review of typeset source; text/OCR comparison only,complete,installed,,kw,sil-korwa-2004-harrapat,"behera2022korwakodaku[Appendix B.5, printed p. 56, item 1, site H]",silkorwakodaku2022:i001:H:f1
behera2022korwakodaku,66,56,p66:l14,1,body,3,J,Arahas Birjia,Birjia comparison control,hoɖɔ,high,manual visual review of typeset source; text/OCR comparison only,complete,excluded,comparison control not installed,,,"behera2022korwakodaku[Appendix B.5, printed p. 56, item 1, site J]",
behera2022korwakodaku,66,56,p66:l7,1,body,1,K,Bladerpat Korwa,Korwa target,d̪eh,high,manual visual review of typeset source; text/OCR comparison only,complete,installed,,kw,sil-korwa-2004-bladerpat,"behera2022korwakodaku[Appendix B.5, printed p. 56, item 1, site K]",silkorwakodaku2022:i001:K:f1
behera2022korwakodaku,66,56,p66:l9,1,body,1,L,Kirkima Korwa,Korwa target,d̪ẽh,high,manual visual review of typeset source; text/OCR comparison only,complete,installed,,kw,sil-korwa-2004-kirkima,"behera2022korwakodaku[Appendix B.5, printed p. 56, item 1, site L]",silkorwakodaku2022:i001:L:f1
behera2022korwakodaku,66,56,p66:l9,1,body,1,M,Musakhoel Korwa,Korwa target,d̪ẽh,high,manual visual review of typeset source; text/OCR comparison only,complete,installed,,kw,sil-korwa-2004-musakhoel,"behera2022korwakodaku[Appendix B.5, printed p. 56, item 1, site M]",silkorwakodaku2022:i001:M:f1
