Snapshot_Date,Collation_Date,Atlas_Numbers,PDF_Page,Printed_Page,Raw_Form,Raw_Gloss,Final_Status,Final_Form,Final_Parameter_ID,Emitted_Key,Resolution,Review,Material_Error,Source,Record_SHA256
2026-08-19,2026-08-20,1,5,24,āẓoṛī́,apricot,installed_form,āẓoṛī́,,buddruss-grangali1979:item-1,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 24, item 1]",55c34318ddb7c663835bc613cb5b3dfffc9b23479411e3c415f1b8f03d7d9b3e
2026-08-19,2026-08-20,2,5,24,atā́,hungry,installed_form,atā́,,buddruss-grangali1979:item-2,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 24, item 2]",8f307be7391e1eede978aa96b39d408d030f493ed1d1e2fbc413d92501506fb7
2026-08-19,2026-08-20,3,5,24,bugunṓ,lamb,installed_form,bugunṓ,,buddruss-grangali1979:item-3,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 24, item 3]",a0943889ef272fe20f4ffdab7f84cfa4cd1ca548a02a519df01f8a35412e536a
2026-08-19,2026-08-20,4,6,25,cistalə́,sour,installed_form,cistalə́,,buddruss-grangali1979:item-4,source explicitly gives the same form for sour and bitter,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 25, item 4]",c28adadc8865ad42ed18905cb6135838fdc3e000e900cb44c64c5137622860d7
2026-08-19,2026-08-20,5,6,25,radilā́,sharp,installed_form,radilā́,,buddruss-grangali1979:item-5,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 25, item 5]",a73e9f13833fdc61f948c182b5acb85f68a2d82b95c71931dcc90963e44bf662
2026-08-19,2026-08-20,6,6,25,kacö́r,armpit,installed_form,kacö́r,,buddruss-grangali1979:item-6,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 25, item 6]",e28e5baa98873575b17872bb49fe34deb6b68d5fa7030b63099dadca218fe4d3
2026-08-19,2026-08-20,7,6,25,ca-,go,installed_form,ca-,,buddruss-grangali1979:item-7,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 25, item 7]",cf5c0d40cb2207ee8c1a1b8ea6186cd930433348405db4be7687152e2046c352
2026-08-19,2026-08-20,8,6,25,kandā́,wild almond,installed_form,kandā́,,buddruss-grangali1979:item-8,manually collated source transcription,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 25, item 8]",59aeda3647da7b9202616c897b5f30e79ce9666f4faa8737c92699f460b88423
2026-08-19,2026-08-20,8,6,25,bādā́m,edible almond,installed_form,bādā́m,,buddruss-grangali1979:item-8:form-2,from Persian,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 25, item 8]",e9c2a65eee005b4ade95011a6eba4d2e0c1655be9d506992296dcc041a345fa8
2026-08-19,2026-08-20,9,6,25,cistalə́,bitter,installed_form,cistalə́,,buddruss-grangali1979:item-9,source explicitly gives the same form for sour and bitter,full manual census against the 300 dpi render,no,"buddruss-grangali1979[p. 25, item 9]",9e913176f4531e06e98e2758e10e8d9427ec59c30cdfb3f122910ec7962eb31e
