Gloss,Site,Form,Tulu,Malayalam,Kodava,Etymon,Note
Body,MTP,itʃi,mel,ʃaɾiːɾam,t̪aɖi,,iči has no convincing form-and-meaning match in the local DEDR data.
Body,MTV,itʃi,mel,ʃaɾiːɾam,t̪aɖi,,iči has no convincing form-and-meaning match in the local DEDR data.
Body,MTE,itʃi,mel,ʃaɾiːɾam,t̪aɖi,,iči has no convincing form-and-meaning match in the local DEDR data.
Head,MTP,t̪ʌlʌd,t̪ala,t̪ala,maɳɖe,d3103,
Head,MTV,t̪ələɖ,t̪ala,t̪ala,maɳɖe,d3103,
Head,MTE,t̪ʌlad,t̪ala,t̪ala,maɳɖe,d3103,
Hair,MTP,t̪arɑnɑːl,tʃʌrkəjɑ,t̪alamudi,t̪almi,,Probably a compound involving tala 'head'; the remainder is not securely identified.
Hair,MTV,t̪ʌrənal,tʃʌrkəjɑ,t̪alamudi,t̪almi,,Probably a compound involving tala 'head'; the remainder is not securely identified.
Hair,MTE,t̪aranɑl,tʃʌrkəjɑ,t̪alamudi,t̪almi,,Probably a compound involving tala 'head'; the remainder is not securely identified.
Face,MTP,muːd,muʑuɳɖ,mukʰam,muːɖɨ,d5031,
Face,MTV,mːɖ,muʑuɳɖ,mukʰam,muːɖɨ,d5031,
Face,MTE,muːɖ,muʑuɳɖ,mukʰam,muːɖɨ,d5031,
Eye,MTP,kɑnnɨ,kən,kaɳː,kaɳɳɨ,d1159,
Eye,MTV,kanːɨ,kən,kaɳː,kaɳɳɨ,d1159,
Eye,MTE,kɑnni,kən,kaɳː,kaɳɳɨ,d1159,
Ear,MTP,tʃevi,tʃevi,tʃevi,kɛmi,d1977,
Ear,MTV,tʃevi,tʃevi,tʃevi,kɛmi,d1977,
Ear,MTE,tʃevi,tʃevi,tʃevi,kɛmi,d1977,
Nose,MTP,muːkʰ,muːk,muːkːe,muːkɨ,d5024,
Nose,MTV,muːkʰ,muːk,muːkːe,muːkɨ,d5024,
Nose,MTE,muːkʰ,muːk,muːkːe,muːkɨ,d5024,
Mouth,MTP,vay,vɑi,vay,bɑːjɪ,d5352,Vannarkadav/Ennappara kətər has no convincing DEDR match.
Mouth,MTV,kət̪ʌr,vɑi,vay,bɑːjɪ,,Vannarkadav/Ennappara kətər has no convincing DEDR match.
Mouth,MTE,ket̪ər,vɑi,vay,bɑːjɪ,,Vannarkadav/Ennappara kətər has no convincing DEDR match.
Tooth,MTP,kuːli,puːɭi,palːɨ,pallɨ,,kūli is unlike the comparative forms and has no secure DEDR match.
Tooth,MTV,kuːli,puːɭi,palːɨ,pallɨ,,kūli is unlike the comparative forms and has no secure DEDR match.
Tooth,MTE,kuli,puːɭi,palːɨ,pallɨ,,kūli is unlike the comparative forms and has no secure DEDR match.
Tongue,MTP,naʋu,naɭage,naːkʰ,naːkɨ,d3633,
Tongue,MTV,naʋ,naɭage,naːkʰ,naːkɨ,d3633,
Tongue,MTE,nɑʋu,naɭage,naːkʰ,naːkɨ,d3633,
Chest,MTP,nentʃ,sigəlɨ,neɲdʒ,jɛd̪ɛ,d3736,
Chest,MTV,nəɲdʒ,sigəlɨ,neɲdʒ,jɛd̪ɛ,d3736,
Chest,MTE,nɛntʃː,sigəlɨ,neɲdʒ,jɛd̪ɛ,d3736,
Belly,MTP,vɑntʃi,beɲtʃi,vajarɨ,kɛla,d5259,
Belly,MTV,vəɲtʃi,beɲtʃi,vajarɨ,kɛla,d5259,
Belly,MTE,vɑjarᵘ,beɲtʃi,vajarɨ,kɛla,d5259,
Arm,MTP,kajː,kɑi,kaijː,kaj,d2023,
Arm,MTV,kɑi,kɑi,kaijː,kaj,d2023,
Arm,MTE,kaj,kɑi,kaijː,kaj,d2023,
Elbow,MTP,muʈʈ,maɾpːᶤ,kaimuʈː,moɳakaj,d4935,
Elbow,MTV,muʈʈ,maɾpːᶤ,kaimuʈː,moɳakaj,d4935,
Elbow,MTE,muʈː,maɾpːᶤ,kaimuʈː,moɳakaj,d4935,
Palm,MTP,uɭɭɑmkɑi,aŋgɑi,uɭːamkai,meːŋkaj,d2023,
Palm,MTV,uɭɭɑmkɑi,aŋgɑi,uɭːamkai,meːŋkaj,d2023,
Palm,MTE,uɭɭamkɑj,aŋgɑi,uɭːamkai,meːŋkaj,d2023,
Finger,MTP,viɾal,beraɭ,viɾal,bɛɾa,d5409,
Finger,MTV,veɽʌɭɨ,beraɭ,viɾal,bɛɾa,d5409,
Finger,MTE,viɾᴂl,beraɭ,viɾal,bɛɾa,d5409,
Fingernail,MTP,nakʰam,ugːarɨ,nakʰam,ojjɪ,~6914,"Likely an Indo-Aryan/Sanskrit loan (nakha), so no Dravidian etymon assigned."
Fingernail,MTV,nakʰəm,ugːarɨ,nakʰam,ojjɪ,~6914,"Likely an Indo-Aryan/Sanskrit loan (nakha), so no Dravidian etymon assigned."
Fingernail,MTE,nakʰːam,ugːarɨ,nakʰam,ojjɪ,~6914,"Likely an Indo-Aryan/Sanskrit loan (nakha), so no Dravidian etymon assigned."
Leg,MTP,kaːr,kar,kal,kaːlɨ,d1479,
Leg,MTV,kar,kar,kal,kaːlɨ,d1479,
Leg,MTE,kar,kar,kal,kaːlɨ,d1479,
Skin,MTP,t̪ol,tʃoːli,t̪oli,t̪oːlɨ,d3559,
Skin,MTV,tːoːl,tʃoːli,t̪oli,t̪oːlɨ,d3559,
Skin,MTE,t̪oːl,tʃoːli,t̪oli,t̪oːlɨ,d3559,
Bone,MTP,ellᵉ,elu,elːɨ,-muːɭe,d839,Vannarkadav/Ennappara koṭṭe is not securely identifiable; Pannithadam elle is clear.
Bone,MTV,koʈʈᵊ,elu,elːɨ,-muːɭe,,Vannarkadav/Ennappara koṭṭe is not securely identifiable; Pannithadam elle is clear.
Bone,MTE,Koʈːə,elu,elːɨ,-muːɭe,,Vannarkadav/Ennappara koṭṭe is not securely identifiable; Pannithadam elle is clear.
Heart,MTP,hɾidajʌm,hɾid̪ajʌm,hrid̪ajam,nɛɲtʃɨ,~14152,hṛdayam is an Indo-Aryan/Sanskrit loan.
Heart,MTV,hrid̪ʌjʌm,hɾid̪ajʌm,hrid̪ajam,nɛɲtʃɨ,~14152,hṛdayam is an Indo-Aryan/Sanskrit loan.
Heart,MTE,hɾid̪ajəm,hɾid̪ajʌm,hrid̪ajam,nɛɲtʃɨ,~14152,hṛdayam is an Indo-Aryan/Sanskrit loan.
Blood,MTP,tʃoɾeⁱ,nit̪jʌr,rekt̪am,kuːnɨ,d2883,
Blood,MTV,tʃɾe,nit̪jʌr,rekt̪am,kuːnɨ,d2883,
Blood,MTE,tʃoɾɜ,nit̪jʌr,rekt̪am,kuːnɨ,d2883,
Village,MTP,uːɾɨ,gramʌm,gramam,uːɾɨ,d752,
Village,MTV,uːɾɨ,gramʌm,gramam,uːɾɨ,d752,
Village,MTE,uːɾᵊ,gramʌm,gramam,uːɾɨ,d752,
House,MTP,illɨ,illᶤ,veedɨ illᶤ,mane,d494,
House,MTV,illɨ,illᶤ,veedɨ illᶤ,mane,d494,
House,MTE,illɨ,illᶤ,veedɨ illᶤ,mane,d494,
Roof,MTP,mond̪ajʌm,maːɖ,melkːuɾa,moːn̪d̪aːja,,"Closely resembles the listed Kodava form mōndāya, but no secure DEDR set was found."
