number,gloss,lrp1,lrp2,lrp3
0001,sky,as.ˈman,as.ˈman,ə̃.ˈkaʃ
0002,sun,ˈɗa.ɽo,ˈɗa.ɽo,ˈɗa.ɽo
0003,moon,sə.ˈdəɾ.mo,sə.ˈdəɾ.mo,səˈ.dəɾ.mo
0004,star,ta.ˈɾuɽ.jã,ta.ˈɾuɽ.jã,ta.ˈɾoɽ.jũ
0005,cloud (rain),ˈwad.ɽã,ˈwa.dɽã,ˈwad.ɽã
0006,mist/fog,ʈʰaɾ,ʈʰaɾ,dʊ̃d
0007,rain,miɦ,miɦ,miɦ
0008,rainbow,ɓãɳ,ɓãɳ,ɡəĩɳ
0009,lightning (flashing),ˈwiz.ɽi,ˈwid.ɽi,ˈwid.ɽi
0010,thunder,ɡa.ˈze.ɾo,ɡa.ˈzeɾ.jo,ˈɡaz.wũ
0011,shadow/shade,ˈsa.jo,ˈsa.jo,ˈsa.jo
0012,wind,ˈwaɪ.ɾo,ˈwaɪ.ɾo,ˈwaɪ.ɾo
0013,night,ɾat,ɾat,ɾat
0014,day,ˈɗa.ɽo,ˈɗa.ɽo,ˈɗa.ɽo
0015,morning,ɦə.ˈwaɾ,ɦə.ˈwaɾ,ɦə.ˈwaɾ
0016,noon,bə.ˈpʰoɾ,bə.ˈpʰoɾ,ɓaɾ.ˈwa.ƒe
0017,yesterday,ˈka.li,ˈka.li,kal nu ˈɗa.ɽo
0018,tomorrow,ɦə.ˈwa.ɾe,ɦə.ˈwa.ɾi,ɦə.ˈwaɾ
0019,year,wəɾ,sal,wəɾ
0020,east,u.ˈɡəm.ɳũ,ʊ.ˈɡəm.ɳi,ʊ.ˈɡəm.ɳu
0021,west,a.ˈtʰəm.ɳũ,ə.ˈtʰəm.ɳi,a.ˈtʰəm.ɳu
0022,water,ˈpã.ɳi,ˈpã.ɳi,ˈpã.ɳi
0023,to be hot (water),ˈɦo.nu,ˈɦo.nu,ˈɦo.nu
0024,to be hot (person),ˈɦo.nu,ˈɦo.nu,ˈɦo.nu
0025,to be warm (water),na.ˈʃe.kũ,no.ˈʃo.kũ,ˈʃe.kũ
0026,to be cold (person),ˈʈa.ɖũ,ˈʈa.ɖũ,ˈʈʰa.ɖũ
0027,to be cool (water),ˈʈa.ɖũ,ˈʈa.ɖũ,ˈʈʰa.ɖũ
0028,stream,ɦakʰ,ˈzəm.ɽu,ɦakʰ
0029,river,ˈdəɾ.jo,ˈdəɾ.jo,ˈdəɾ.ja
0030,sea,ˈdəɾ.jo,sə.ˈmũɖ,sə.ˈmũɖ
0031,soil (earth),zə.ˈmɪn,zə.ˈmin,zə.ˈmin
0032,mud,ˈɠa.ɾo,ˈɠa.ɾo,ˈɠa.ɾo
0033,dust,ˈma.ʈi,duɭ,ˈma.ʈi
0034,stone,ˈpətʰ.ɾa,ˈpətʰ.ɾo,ˈpətʰ.ɾo
0035,sand,ˈɾe.ti,ɾet,ˈɾe.ti
0036,lime (for betel chew),ˈso.no,ˈsu.no,ˈsu.no
0037,gold,ɦem,ɦem,ɦem
0038,silver,ˈsã.ɗi,ˈsã.ɗi,ˈsã.ᶑi
0039,iron,ˈlo.ɖũ,ˈlo.ɖũ,ˈlo.ɖũ
0040,mountain,pə.ˈɦaɽ,dʒə.ˈbəl,pə.ˈɦaɽ
0041,cave (natural),ˈboɪ.ɾũ,ˈboɪ.ɾo,ˈboɪ.ɾũ
0042,jungle/forest,dʒə̃.ˈɡəl,zə̃ŋ,zə̃.ˈŋəl
0043,tree,ˈzaɽ.kʰũ,ˈzaɽ.kʰũ,ˈzaɽ.kʰũ
0044,branch (tree),ˈʈaɭ.jũ,ˈʈa.ɭi,ˈʈa.ɭi
0045,tree bark,ˈso.ɖã,ˈso.ɖũ,ˈso.ɖã
0046,thorn,ˈkã.ʈa,ˈkã.ʈo,ˈkʰa.ʈũ
0047,root (tree),ˈpa.ƒũ,ˈpa.ƒũ,paɭ
0048,leaf (tree),ˈpad.ɽũ,ˈpad.ɽũ,ˈpad.ɽũ
0049,flower,ˈpʰʊl.ɽũ,ɠʊl,ɠʊl
0050,fruit (tree),pʰə.ˈɾuʈ,pʰəɭ,fɾuʈ
0051,seed (tree),ɓiz,ɓiz,ɓiz
0052,grass (field/jungle),ɡaɦ,ɠaɦ,ɡaɦ
0053,bamboo plant (large),ˈwaɦ.ɭa,ˈwaɦ.ɭo,ˈwaɦ.ɭa
0054,bamboo shoot (edible),ɡəwtʃ,ˈɦə̃.ɳi,ɡəwtʃ
0055,spinach,pa.ˈləkʰ,pa.ˈləkʰ,pa.ˈləkʰ
0056,cane/rattan,ˈlak.ɽũ,ˈlak.ɽũ,ˈlak.ɽũ
0057,clove,lə.ˈwẽŋ,lə.ˈwẽŋ,lõŋ
0058,sugarcane,ˈᶑo.ko,ˈᶑu.ko,ˈʃel.ɾi
0059,betel nut,ɦo.ˈpa.ɾi,ɦo.ˈpa.ɾi,ɦo.ˈpa.ɾi
0060,"cannabis, hemp",bə̃ŋ,bə̃ŋ,bə̃ŋ
0061,moonshine,ˈɗa.ɾu,ˈɗa.ɾu,ˈɗa.ɾu
0062,banana (fruit),ˈkew.ɽa,ˈkew.ɽa,ˈkew.ɽa
0063,mango (fruit),ˈãb.ɽi,ˈãb.ɽi,ˈãb.ɽi
0064,eggplant (fruit),ˈɾẽŋ.ɽũ,ˈɾẽɡ.ɽo,ˈɾẽɡ.ɽa
0065,margosa (neem tree),ˈleb.ɽi,ˈleb.ɽi,ˈleb.ɽi
0066,ginger,əd.ˈɾəkʰ,əd.ˈɾəkʰ,əd.ˈɾəkʰ
0067,garlic,la.ˈɦə̃ɳ,la.ˈɦə̃ɳ,la.ˈɦə̃ɳ
0068,corn,ˈᶑo.ᶑo,ˈᶑo.ᶑo,ˈᶑo.ᶑo
0069,red pepper,ˈɾa.tũ ˈməɾ.sũ,ˈɾa.tũ ˈməɾ.sũ,ˈɾa.tũ ˈməɾ.sũ
0070,dry (burned) field,ˈɦu.ki ˈɓə.ni,ˈkʰa.li ˈɓə.ni,ɦu.ˈkəl ˈɓə.ni
0071,wet rice field,ˈsaɾ.ja ni ˈɓə.ni,ˈsaɾ.jũ wa.ˈwəl ˈɓə.ni,ˈsaɾ.ja ni ˈli.li ˈɓə.ni
0072,paddy rice,ˈsaɾ.jũ,ˈsaɾ.jũ,ˈsaɾ.jũ
0073,rice seedling,ˈsaɾ.jã ni weɾ,ˈsaɾ.jã nu ɓiz,ˈsaɾ.jã nu ˈti.lo
0074,to be ripe,pa.ˈkəl,pa.ˈkəl,ˈpa.kũ
0075,pounded rice,ˈso.kʰa,ˈso.kʰa,ˈso.kʰa
0076,cooked rice,bətt,ɾã.ˈdəl bətt,ɾã.ˈdəl
0077,to winnow (rice),ˈɦup.ɽũ,ˈup.ɽũ,ʊ.ˈpəɽ.wũ
0078,to dry (rice),ɦu.ˈkaɪ.ɾũ,ɦu.ˈkə.wũ,wu.ˈka.wũ
0079,to pound (rice),ˈkʰaɖ.wũ,ˈkʰaɖ.wũ,ˈkʰaɖ.wũ
0080,to grind,ˈɗəɽ.wũ,ˈɗəɽ.wũ,ˈɗəɽ.wũ
0081,to cook (rice),sə.ˈɽa.wũ,ˈɾãdʱ.wũ,ˈɾadʱ.wũ
0082,to boil (rice),u.ˈkəɽ.wũ,u.ˈkaɽ.wũ,ʊ.ˈkaɽ.wũ
0083,rice husk (powder),ˈtu.ɦo,sə.ɽa.ˈməɽ,ɗə.ˈɽəl
0084,salt,ˈme.ʈʰũ,ˈme.ʈʰũ,ˈme.ʈʰũ
0085,animal (tame/wild),zə.na.ˈwəɾ,zə.na.ˈwəɾ,zə.na.ˈwəɾ
0086,tiger,ʃiɦ,ʃĩɦ,ʃiɦ
0087,chipmunk,kʰɪl.ˈku.ɽi,kʰɪl.ˈko.ɽi,kʰɪl.ˈko.ɽi
0088,bear,ɾẽs,ɾẽs,ɾẽʃ
0089,barking deer,ɦɪ.ˈɾə̃ɳ,ˈɦẽɳ.jũ,ˈɦəɾ.ɳu
0090,monkey,ˈbol.ɽo,ˈbol.ɽũ,ˈwãd.ɾũ
0091,camel,ˈõʈ.jo,ˈõʈ.jo,ˈõʈ.jo
0092,rabbit,ˈɦa.ɦo,ˈɦa.ɦo,ˈɦa.ɦo
0093,porcupine,ʃe.ˈɖəi,ʃe.ˈɖəi,ˈʃe.ɭo
0094,rat,õ.ˈɗe.ɽo,õ.ˈɗe.ɽo,ẽ.ˈɗo.ɽo
0095,dog,ˈkut.ɾo,ˈkut.ɾo,ˈkut.ɾo
0096,to bark,ˈbʱaɦ.wũ,ˈbʱaɦ.wũ,ˈbʱaɦ.wũ
0097,to bite,ˈkəiɽ.wũ,ˈkəiɽ.wũ,ˈkəiɽ.wũ
0098,cat,mə.ˈna.ɽi,mə.ˈna.ɽi,mə.ˈla.ɽi
0099,pig,ɦʊ.ˈwəɾ,ɦʊ.ˈwəɾ,ɦʊ.ˈwəɾ
0100,cow,ɠai,ɠai,ɠai
0101,milk (cow),dudʱ,dudʱ,dud
0102,buffalo,bẽʃ,bẽʃ,bẽʃ
0103,horn (of buffalo),ˈʃẽɠ.ɽũ,ˈʃẽɠ.ɽa,ˈʃẽɠ.ɽa
0104,tail,ˈpõs.ɽũ,ˈpõs.ɽũ,ˈpũs.ɽũ
0105,elephant,ˈɦa.tʰi,ˈɦa.tʰi,ˈɦa.tʰi
0106,elephant tusk,ˈɦa.tʰi nu ɗãt,ˈɦa.tʰi na ɗãt,ˈɦa.tʰi nu ɗãt
0107,bird,zə.na.ˈwəɾ,zə.na.ˈwəɾ,zə.na.ˈwəɾ
0108,pigeon,pa.ˈɾe.ɾũ,kə.bu.ˈtəɾ,kə.bu.ˈtəɾ
0109,bird’s nest,ˈɓa.ɭo,ˈma.ɭo,ˈsək.la nu ˈma.ɭo
0110,wing,ˈpẽkʰ.ɽã,ˈpakʰ.ɽa,ˈpakʰ.ɽa
0111,feather (body hair),ɓal,pakʰ,ɓal
0112,to fly,ˈuᶑ.wũ,ˈuᶑ.wũ,ˈʊᶑ.wũ
0113,egg,ˈẽ.ᶑa,ˈe.ᶑũ,ˈẽ.ᶑu
0114,chicken,ˈkuk.ɽi,ˈkuk.ɽi,ˈkuk.ɽũ
0115,crest (of chicken or bird),moɖ,moɽ,ˈso.ʈi
0116,fish,ˈməʧ.tʃʰi,ˈməs.si,ˈmə.tʃʰi
0117,snake,ɦə.ˈɾəp,ɦə.ˈɾəp,ɦə.ˈɾəp
0118,poison from snake (venom),ɦə.ˈɾəp nu zeɾ,ɦə.ˈɾəp nu zeɾ,ɦə.ˈɾəp nu zeɾ
0119,house lizard,ɡə.ˈɾo.ɭi,ɡə.ˈɾo.ɭi,ɡə.ˈɾo.ɭi
0120,turtle,ˈkas.bo,ˈkas.bo,ˈkas.bo
0121,crocodile,ˈmaɡ.ɾi,ˈməɡ.ɾi,mə.ɡəɾ.ˈmətʃ
0122,otter,-,-,-
0123,frog,ˈᶑeᶑ.kũ,ˈᶑeᶑ.kũ,ˈᶑeᶑ.kũ
0124,insect,ˈziw.ɽo,ˈziw.ɽa,ˈziw.ɽo
0125,spider,koɾ.ˈwaɭ.jo,koɾ.ˈwaɭ.jo,koɾ.ˈwaɭ.jo
0126,spider web,ˈza.ɭi,ˈza.ɭo,ˈza.ɭi
0127,louse (head),zu,zu,zũ
0128,termite,ˈziw.ɽo,ɦẽ.ˈdoi,ɦẽ.ˈdoi
0129,ant,mə.ˈko.ɽo,mə.ˈko.ɽo,mə.ˈko.ɽo
0130,cockroach,-,ɡa.ˈɡu.ɽũ,ɡa.ˈɡu.ɽũ
0131,snail,-,ˈko.ɖa nu ˈziw.ɽo,ˈsi.pi
0132,mosquito,ˈᶑa.ɦo,ˈᶑa.ɦo,ˈᶑa.ɦo
0133,bee,məd ni maʃ,məd ni maʃ,məd ni maʃ
0134,fly,maʃ,maʃ,maʃ
0135,butterfly,ˈpʰu.ɗi,ˈpʰu.ɗi,ˈpə.ɗi
0136,scorpion,-,ˈwe.su,ˈwe.su
0137,water leech,zə.ˈɭoi,zə.ˈɭoi,zə.ˈɭoi
0138,land leech,ˈziw.ɽo,ˈziw.ɽo,ˈziw.ɽo
0139,earthworm,ˈziw.ɽo,ˈziw.ɽo,ˈziw.ɽo
0140,head,ˈma.tʰũ,ˈma.tʰũ,ˈma.tʰũ
0141,face,ˈmo.ɖʱũ,ˈmo.ɖʱũ,ˈmo.ɖʱũ
0142,brain,mə.ˈɡəz,ˈbe.zo,mə.ˈɡəz
0143,hair (head),ɓal,ɓal,ɓal
0144,moustache,ˈmõ.sũ,ˈmo.sũ,ˈmõ.sũ
0145,forehead,kə.ˈpaɭ,kə.ˈpaɭ,kə.ˈpaɭ
0146,eyebrow,nẽɳ,nẽɳ,nẽɳ
0147,eye,ˈã.ʃũ,ˈã.ʃũ,aʃ
0148,eyelid,pã.ˈpəɽ,pã.ˈpəɽ,pa.ˈpəɽ
0149,nose,nak,nak,nak
0150,cheek,ɠal,ɠal,ɠal
0151,ear,kan,kan,kan
0152,mouth,ˈmo.ɖʱũ,ˈmo.ɖʱũ,ˈmo.ɖʱũ
0153,tongue,zib,zib,zə.ˈban
0154,spit (noun),tʰuk,tʰuk,tʰʊk
0155,tooth,ɗãt,ɗãt,ɗãt
0156,gums,ˈbe.ɖã,ˈbe.ɖa,ˈpe.ɖã
0157,chin,ˈᶑaɦ.ɖi,ˈza.ɭũ,ˈɗja.ɽi
0158,beard,ˈᶑa.ɽi,ˈᶑa.ɖi,ˈᶑa.ɽi
0159,to shave (beard),ˈᶑa.ɽi ˈʈʰaɦ.wũ,ˈᶑa.ɽi ˈʈʰaɦ.wũ,ˈᶑa.ɽi ˈkəɾ.wũ
0160,neck,ɡo.ˈʈe.ɽo,ɡo.ˈʈe.ɽo,ɡo.ˈʈe.ɽo
0161,shoulder,ˈkʰa.wa,ˈkʰə.wo,ˈkʊ.la
0162,back,moɦɾ,moɦɾ,ˈkeɽ.wũ
0163,belly,peʈ,peʈ,peʈ
0164,navel,ˈᶑõ.ʈi,ˈᶑo.ʈi,ˈᶑõ.ʈi
0165,heart,dɪl,dɪl,dɪl
0166,liver,ˈkaɭ.zũ,ˈkaɭ.zũ,ˈkaɭ.zũ
0167,intestines,ã.ˈte.ɽa,ã.ˈte.ɽo,ã.ˈte.ɽa
0168,arm,ɦatʰ,ɦatʰ,ɓai
0169,elbow,ˈkõ.ɳi,ˈkõ.ɳi,ˈkõ.ɳi
0170,armpit,bə.ˈɡəl,ˈkak.li,bə.ˈɡəl
0171,palm,ɦə.ˈtʰe.ɭi,ɦə.ˈtʰe.ɭi,ɦa.ˈtʰe.ɭi
0172,finger,ˈãŋ.ɭi,ˈãŋ.ɭi,ˈãŋ.ɭi
0173,fingernail,nəkʰ,nəkʰ,nəkʰ
0174,leg,pəɠ,pəɠ,pəɠ
0175,thigh,ɦã.ˈtʰoɭ,ˈɦa.tʰoɭ,ɦa.ˈtʰoɭ
0176,knee,ˈɠʊ.ᶑa,ˈɠʊ.ɖo,ˈɠʊ.ᶑa
0177,calf,ˈpe.ᶑi,ˈpẽ.ᶑi,ˈpe.ᶑi
0178,shin,-,ˈpẽ.ᶑi nu ˈɦaɖ.kũ,ˈɠʊ.ɖa ti ˈne.se
0179,heel,ˈpa.ni,ˈpa.ni,ˈpa.ni
0180,bone,ˈɦaɖ.kũ,ˈɦaɖ.kũ,ˈɦaɖ.kũ
0181,joint,dʒoɽ,ˈã.dʱa,dʒoɽ
0182,marrow,-,-,-
0183,rib,ˈpaɦ.ɭa,ˈpaɦ.ɭa,ˈpaɦ.ɭa
0184,meat/flesh (edible),ʃakʰ,maɦ,maɦ
0185,fat/grease,ˈtʃəɾ.bi,ˈtʃəɾ.bi,ˈtʃəɾ.bi
0186,skin,ˈsãɓ.ɽi,ˈsãɓ.ɽũ,ˈsãɓ.ɽi
0187,blood,ˈlo.ɦi,ˈlo.ɦi,ˈno.ɦi
0188,sweat,ˈpaɾ.ʃjo,ˈpaɾ.ʃjo,ˈpaɾ.ʃjo
0189,pus,pas,pas,pas
0190,excrement,ˈəɡ.wa,ɡu,ɡu
0191,urine,mo.ˈtəɾ,mo.ˈtəɾ,mo.ˈtəɾ
0192,man,ˈad.mi,ˈad.mi,mə.ˈnəkʰ
0193,woman,ˈɓaɪ.ɽi,ˈɓaɪ.ɽi,ˈɓaɪ.ɽi
0194,person,ˈad.mi,məˈnikʰ,məˈnəkʰ
0195,father,ɓa,ɓa,ɓa
0196,mother,ma,ma,ma
0197,to be old (person),ˈɡəĩ.ɖo,ˈᶑok.ɾo,ˈᶑok.ɾũ
0198,child (young person),ˈsok.ɾũ,ˈsok.ɾo,ˈsok.ɾũ
0199,son (one’s own male child),ˈsok.ɾũ,ˈsok.ɾo,ˈsok.ɾũ
0200,son-in-law,zə.ˈməi,zə.ˈməi,zə.ˈməi
0201,husband,ˈad.mi,ɡəɾ ˈwa.ɭo,ɡəɾ ˈwa.ɭo
0202,wife,ˈəs.tɾi,ɡəɾ ˈwa.ɭi,ˈɓaɪ.ɽi
0203,widow,ɾã.ᶑi.ˈɾãɖ,ɾã.ᶑi.ˈɾãɖ,ɾã.ᶑi.ˈɾãɖ
