Glottolog_Key,Year,Title,SIL_Status,Disposition,Census_Anchor,Notes
hwsoc:Abrahametal:Rajasthani,2012,"Sociolinguistic survey of selected Rajasthani speech varieties of Rajasthan, India, Volume 1: Preliminary overview",sil,covered_component,ESR 2012-029 Rajasthani overview + vols. 2-6,Series overview; installed Rajasthani source covers the published lexical series
wsoc:Abrahametal:Rajasthani,2012,"Sociolinguistic survey of selected Rajasthani speech varieties of Rajasthan, India, Volume 2: Mewari",sil,covered_component,ESR 2012-029 Rajasthani overview + vols. 2-6,Installed Rajasthani source component
wsoc:Ahmadetal:Garos,2012,The Garos of Bangladesh: A Sociolinguistic Survey,sil,partial_manual,ESR 2012-007 Garo,Legacy-font recovery incomplete; full manual page review queued
wsoc:Ahmadetal:Hajong,2011,The Hajong of Bangladesh: A Sociolinguistic Survey,sil,installed,ESR 2011-042 Hajong,Installed
wsoc:Ahmadetal:Koch,2011,The Koch of Bangladesh: A Sociolinguistic Survey,sil,partial_manual,ESR 2011-023 Koch,Legacy-font recovery incomplete; full manual page review queued
wsoc:Ahmadetal:Kurux,2011,The Kurux of Bangladesh: A Sociolinguistic Survey,sil,partial_manual,ESR 2011-040 Kurux,Legacy-font recovery incomplete; full manual page review queued
hwdial:KimKim:Bishnupriya,2008,Bishnupriya (Manipuri) Speakers in Bangladesh: A Sociolinguistic Survey,sil,installed,ESR 2008-003 Bishnupriya speakers,Installed
hwdial:KimKim:Meitei,2008,Meitei (Manipuri) Speakers in Bangladesh: A Sociolinguistic Survey,sil,installed,ESR 2008-002 Meitei speakers,Installed
hwsoc:Backstrom:Balti,1992,Balti,sil,covered_component,SSNP vol. 2 Languages of Northern Areas,Installed SSNP volume component
hwsoc:Backstrom:Burushaski,1992,Burushaski,sil,covered_component,SSNP vol. 2 Languages of Northern Areas,Installed SSNP volume component
hwsoc:Backstrom:Domaaki,1992,Domaaki,sil,covered_component,SSNP vol. 2 Languages of Northern Areas,Installed SSNP volume component
hwsoc:Backstrom:Wakhi,1992,Wakhi,sil,covered_component,SSNP vol. 2 Languages of Northern Areas,Installed SSNP volume component
w:Baskaran:Reang,2016,Reang Word Vocabulary Book,not_sil_false_positive,outside_scope,,Publisher place Silchar contains the string SIL but has no SIL affiliation
hvwsoc:Beine:Gondi,1994,A sociolinguistic survey of the Gondi-speaking communities of Central India,sil,installed,Beine 1994 Gondi survey,Installed from the richer Rama-Coltekin-Sofroniev digitisation
hvwsoc:Beine:Gondi:2013,2013,A sociolinguistic survey of the Gondi-speaking communities of Central India,sil,duplicate_reissue,Beine 1994 Gondi survey,SIL ESR 2013-006 reissues the 1994 survey rather than defining a second lexical collection
