PDF_Page,Column,Gloss,Site_Code,Lect,Site,Raw_Form,Status,Reason,Entry_Key
9,0,body,A,Garo,"Tura, West Garo Hills district, Meghalaya",beʔen,installed,,silkoch2011:A:i1:body
9,0,body,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya","kɑń ,",installed,,silkoch2011:B:i1:body
9,0,body,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",kɑnɡɑnd͡ʒi,installed,,silkoch2011:B:i2:body
9,0,body,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",kɑn,installed,,silkoch2011:F:i1:body
9,0,body,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",kɑn,installed,,silkoch2011:I:i1:body
9,0,body,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",kɑn,installed,,silkoch2011:G:i1:body
9,0,body,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",kɑn,installed,,silkoch2011:H:i1:body
9,0,body,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",kɑn,installed,,silkoch2011:D:i1:body
9,0,body,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",kɑn,installed,,silkoch2011:E:i1:body
9,0,body,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",kɑn,installed,,silkoch2011:C:i1:body
9,0,body,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",kɑn,installed,,silkoch2011:J:i1:body
9,0,body,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",kɑn,installed,,silkoch2011:K:i1:body
9,1,head,A,Garo,"Tura, West Garo Hills district, Meghalaya",skʰo,installed,,silkoch2011:A:i1:head
9,1,head,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",tɨkɑm,installed,,silkoch2011:B:i1:head
9,1,head,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",dɨkɨm,installed,,silkoch2011:F:i1:head
9,1,head,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",dukum,installed,,silkoch2011:I:i1:head
9,1,head,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",dəkəm,installed,,silkoch2011:G:i1:head
9,1,head,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",dɨkəm,installed,,silkoch2011:H:i1:head
9,1,head,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",dukum,installed,,silkoch2011:D:i1:head
9,1,head,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",dukum,installed,,silkoch2011:E:i1:head
9,1,head,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",dəkəm,installed,,silkoch2011:C:i1:head
9,1,head,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",dukum,installed,,silkoch2011:J:i1:head
9,1,head,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",dukum,installed,,silkoch2011:K:i1:head
10,0,hair,A,Garo,"Tura, West Garo Hills district, Meghalaya",kni,installed,,silkoch2011:A:i1:hair
10,0,hair,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",kʰoɾó,installed,,silkoch2011:B:i1:hair
10,0,hair,F,Koch-Rabha,"Debitola village, Dhubri district, Assam","hɨwɨɾ,",installed,,silkoch2011:F:i1:hair
10,0,hair,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",hɑuɾɑ,installed,,silkoch2011:F:i2:hair
10,0,hair,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",kʰɑu,installed,,silkoch2011:I:i1:hair
10,0,hair,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",hɑuɾɑ,installed,,silkoch2011:G:i1:hair
10,0,hair,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",hɨwɨɾ,installed,,silkoch2011:H:i1:hair
10,0,hair,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",hoɡɾɑ,installed,,silkoch2011:D:i1:hair
10,0,hair,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",hoɡɾɑ,installed,,silkoch2011:E:i1:hair
10,0,hair,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",hɑu,installed,,silkoch2011:C:i1:hair
10,0,hair,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",kʰɑu,installed,,silkoch2011:J:i1:hair
10,0,hair,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",kʰɑu,installed,,silkoch2011:K:i1:hair
10,0,face,A,Garo,"Tura, West Garo Hills district, Meghalaya",mɨkʰɑŋ,installed,,silkoch2011:A:i1:face
10,0,face,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",mukʰɑŋ,installed,,silkoch2011:B:i1:face
10,0,face,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",məhəŋ,installed,,silkoch2011:F:i1:face
10,0,face,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",mukʰəŋ,installed,,silkoch2011:I:i1:face
10,0,face,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",məhɑŋ,installed,,silkoch2011:G:i1:face
10,0,face,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",məhoŋ,installed,,silkoch2011:H:i1:face
10,0,face,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",məhuŋ,installed,,silkoch2011:D:i1:face
10,0,face,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",mɑhɑŋ,installed,,silkoch2011:E:i1:face
10,0,face,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",mɑhɑŋ,installed,,silkoch2011:C:i1:face
10,0,face,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",mukʰɑŋ,installed,,silkoch2011:J:i1:face
10,0,face,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",mukʰɑŋ,installed,,silkoch2011:K:i1:face
10,0,eye,A,Garo,"Tura, West Garo Hills district, Meghalaya",mɨkɾon,installed,,silkoch2011:A:i1:eye
10,0,eye,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",neken,installed,,silkoch2011:B:i1:eye
10,0,eye,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",mɨkɨɾ,installed,,silkoch2011:F:i1:eye
10,0,eye,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",mokon,installed,,silkoch2011:I:i1:eye
10,0,eye,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",məkəɾ,installed,,silkoch2011:G:i1:eye
10,0,eye,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",mɨkɨɾ,installed,,silkoch2011:H:i1:eye
10,0,eye,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",mukɾuŋ,installed,,silkoch2011:D:i1:eye
10,0,eye,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",mukɾuŋ,installed,,silkoch2011:E:i1:eye
10,0,eye,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",nukun,installed,,silkoch2011:C:i1:eye
10,0,eye,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",mokon,installed,,silkoch2011:J:i1:eye
10,0,eye,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",moqon,installed,,silkoch2011:K:i1:eye
10,1,ear,A,Garo,"Tura, West Garo Hills district, Meghalaya",nɑt͡ʃɨl,installed,,silkoch2011:A:i1:ear
10,1,ear,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",nɑkoɾ,installed,,silkoch2011:B:i1:ear
10,1,ear,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",nɑt͡ʃoɾ,installed,,silkoch2011:F:i1:ear
10,1,ear,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",nɑkʰɑɾ,installed,,silkoch2011:I:i1:ear
10,1,ear,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",nɑt͡ʃoɾ,installed,,silkoch2011:G:i1:ear
10,1,ear,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",nɑkoɾ,installed,,silkoch2011:H:i1:ear
10,1,ear,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",nɑkoɾ,installed,,silkoch2011:D:i1:ear
10,1,ear,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",nɑkoɾ,installed,,silkoch2011:E:i1:ear
10,1,ear,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",nɑkoɾ,installed,,silkoch2011:C:i1:ear
10,1,ear,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",nɑkʰɑɾ,installed,,silkoch2011:J:i1:ear
10,1,ear,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",nɑkʰɑɾ,installed,,silkoch2011:K:i1:ear
10,1,nose,A,Garo,"Tura, West Garo Hills district, Meghalaya",ɡɨŋtʰɨŋ,installed,,silkoch2011:A:i1:nose
10,1,nose,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",kumpɑk̚,installed,,silkoch2011:B:i1:nose
10,1,nose,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",nukuŋ,installed,,silkoch2011:F:i1:nose
10,1,nose,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",nɑkuŋ,installed,,silkoch2011:I:i1:nose
10,1,nose,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",nɑkuŋ,installed,,silkoch2011:G:i1:nose
10,1,nose,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",nɑkuŋ,installed,,silkoch2011:H:i1:nose
10,1,nose,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",nɑkuŋ,installed,,silkoch2011:D:i1:nose
10,1,nose,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",nɑkuŋ,installed,,silkoch2011:E:i1:nose
10,1,nose,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",nɑkuŋ,installed,,silkoch2011:C:i1:nose
10,1,nose,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",nɑkuŋ,installed,,silkoch2011:J:i1:nose
10,1,nose,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",nɑkuŋ,installed,,silkoch2011:K:i1:nose
10,1,mouth,A,Garo,"Tura, West Garo Hills district, Meghalaya",kʰusɨk,installed,,silkoch2011:A:i1:mouth
10,1,mouth,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",kʰút͡ʃem,installed,,silkoch2011:B:i1:mouth
10,1,mouth,F,Koch-Rabha,"Debitola village, Dhubri district, Assam","hotoŋ,",installed,,silkoch2011:F:i1:mouth
10,1,mouth,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",hut͡ʃiŋ,installed,,silkoch2011:F:i2:mouth
10,1,mouth,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",kut͡ʃəɾ,installed,,silkoch2011:I:i1:mouth
10,1,mouth,G,Wanang Koch,"Khalpara village, West Garo Hills district, Meghalaya",hotoŋ,installed,,silkoch2011:G:i1:mouth
10,1,mouth,H,Wanang Koch,"Khilbui village, West Garo Hills district, Meghalaya",hotoŋ,installed,,silkoch2011:H:i1:mouth
10,1,mouth,D,Harigaya Koch,"Harigaon village, West Garo Hills district, Meghalaya",hut͡ʃuɾ,installed,,silkoch2011:D:i1:mouth
10,1,mouth,E,Harigaya Koch,"Ampati, West Garo Hills district, Meghalaya",husuɾ,installed,,silkoch2011:E:i1:mouth
10,1,mouth,C,Margan Koch,"Marganpara village, West Garo Hills district, Meghalaya",otoŋ,installed,,silkoch2011:C:i1:mouth
10,1,mouth,J,Tintekiya Koch,"Santipuri village, Goalpara district, Assam",kut͡ʃɑɾ,installed,,silkoch2011:J:i1:mouth
10,1,mouth,K,Tintekiya Koch,"Haldibari village, West Garo Hills district, Meghalaya",kʰusəɾ,installed,,silkoch2011:K:i1:mouth
11,0,tooth,A,Garo,"Tura, West Garo Hills district, Meghalaya",wɑɡɑm,installed,,silkoch2011:A:i1:tooth
11,0,tooth,B,Rongdani Rabha,"Tura, West Garo Hills district, Meghalaya",pʰɑkʰəm,installed,,silkoch2011:B:i1:tooth
11,0,tooth,F,Koch-Rabha,"Debitola village, Dhubri district, Assam",fətoŋ,installed,,silkoch2011:F:i1:tooth
11,0,tooth,I,Tintekiya Koch,"Noksi village, West Garo Hills district, Meghalaya",pʰɑ,installed,,silkoch2011:I:i1:tooth
