Language_ID,Latitude,Longitude,Coordinate_Source
SSNP-chitral-KSW,35.5,72.63,ASJP v21 (Ushu Khowar)
SSNP-chitral-KIS,36.35,73.84,ASJP v21 (Chatorkhand Khowar)
SSNP-chitral-KPN,36.28,72.52,ASJP v21 (Pargam Nisar Khowar)
SSNP-chitral-KTR,36.35,72.4,ASJP v21 (Odir Khowar)
SSNP-chitral-KGC,36.0,71.54,ASJP v21 (Garam Chishma Khowar)
SSNP-chitral-KDR,35.63,71.8,ASJP v21 (Kesu Khowar)
SSNP-chitral-BBK,35.68,71.65,ASJP v21 (Krakal Kalasha)
SSNP-chitral-BRK,35.64,71.68,ASJP v21 (Guru Kalasha)
SSNP-chitral-URK,35.49,71.7,ASJP v21 (Zugunuk Kalasha)
SSNP-chitral-ASP,35.44,71.75,ASJP v21 (Ashret Phalura)
SSNP-chitral-BIP,35.47,71.88,ASJP v21 (Biori Phalura)
SSNP-chitral-PUP,35.6,71.87,ASJP v21 (Purigal Phalura)
SSNP-chitral-SSS,35.0,71.5,ASJP v21 (Savi)
SSNP-chitral-GWB,35.3,71.56,ASJP v21 (Gawar-Bati)
SSNP-chitral-DML,35.36,71.72,ASJP v21 (Dameli)
SSNP-chitral-SHK,35.33,71.6,ASJP v21 (Shekhani)
SSNP-chitral-KAT,35.5,70.0,ASJP v21 (Eastern Kativiri)
SSNP-chitral-YDG,36.32,71.7,ASJP v21 (Yidgha)
SSNP-chitral-MNJ,38.39,71.11,ASJP v21 (Munjani)
SSNP-hindko-JAM,34.33,73.2,ASJP v21 (Jammun)
SSNP-hindko-BAL,34.55,73.35,ASJP v21 (Balakot Hindko)
SSNP-hindko-SIG,34.09,73.38,ASJP v21 (Singo Di Garhi Hindko)
SSNP-hindko-PES,34.0,71.55,ASJP v21 (Peshawar City Hindko)
SSNP-hindko-SHP,34.41,73.15,ASJP v21 (Sherpur Hindko)
SSNP-hindko-MAN,34.33,73.2,ASJP v21 (Mansehra Hindko)
SSNP-hindko-KOH,33.59,71.44,ASJP v21 (Kohat City Hindko)
SSNP-hindko-ATK,33.87,72.25,ASJP v21 (Attock City Hindko)
SSNP-hindko-PAG,34.04,71.61,ASJP v21 (Pakha Golam Hindko)
SSNP-hindko-WAP,34.06,71.67,ASJP v21 (Wad Pagga Hindko)
SSNP-hindko-DIK,34.0,71.41,ASJP v21 (Seraiki)
SSNP-hindko-TAL,32.93,72.42,ASJP v21 (Talagang Hindko)
SSNP-kohistani-TOR,35.207,72.548,OpenStreetMap (Bahrain)
SSNP-kohistani-CHL,35.1437638,72.5722206,OpenStreetMap (Chail)
SSNP-kohistani-DSH,35.5,72.5,ASJP v21 (Kalami regional coordinate)
SSNP-kohistani-KAL,35.479,72.586,OpenStreetMap (Kalam)
SSNP-kohistani-USH,35.6075571,72.690186,OpenStreetMap (Ushu)
SSNP-kohistani-THL,35.4782317,72.245514,OpenStreetMap (Thal)
SSNP-kohistani-LAM,35.49,72.26,OpenStreetMap (Lamutai area)
SSNP-kohistani-RAJ,35.5,72.5,ASJP v21 (Kalami regional coordinate)
SSNP-kohistani-KLK,35.4175245,72.1810888,OpenStreetMap (Kalkot)
SSNP-gojri-KUN,34.63,70.86,ASJP v21 (Kunar Gujari)
SSNP-gojri-CHT,34.63,71.78,ASJP v21 (Chitral Gujari)
SSNP-gojri-DIR,35.22,71.87,ASJP v21 (Dir Gujari)
SSNP-gojri-SSW,34.83,72.37,ASJP v21 (Settled Swat Gujari)
SSNP-gojri-TSW,34.69,72.23,ASJP v21 (Transhumant Swat Gujari)
SSNP-gojri-GLT,35.92,74.26,ASJP v21 (Gilgit Gujari)
SSNP-gojri-KGH,34.5,73.34,ASJP v21 (Kaghan Gujari)
SSNP-gojri-SHZ,33.96,72.88,ASJP v21 (Southern Hazara Gujari)
SSNP-gojri-NAK,34.32,73.52,ASJP v21 (Northern Azad Kashmir Gujari)
SSNP-gojri-CAK,33.76,73.79,ASJP v21 (Central Azad Kashmir Gujari)
SSNP-gojri-SAK,33.51,73.89,ASJP v21 (Southern Azad Kashmir Gujari)
SSNP-gojri-GJW,27.18,78.0,ASJP v21 (Agra Gujari speaker origin)
SSNP-gojri-IND,33.62,74.13,ASJP v21 (Mendhar Gujari)
SSNP-indus-kohistani-KAN,35.4704725,73.1558797,OpenStreetMap (Kandia)
SSNP-indus-kohistani-DUB,35.1196385,72.9273617,OpenStreetMap (Dubair)
SSNP-indus-kohistani-SEO,35.3054358,73.1898414,OpenStreetMap (Seo)
SSNP-indus-kohistani-PAT,35.1102154,73.0052151,OpenStreetMap (Pattan)
SSNP-indus-kohistani-JIJ,35.0386165,72.9249714,OpenStreetMap (Jijal)
SSNP-indus-kohistani-CHM,35.62,72.35,ASJP v21 (Indus Kohistani regional coordinate)
SSNP-indus-kohistani-CHJ,35.0729732,72.8693976,OpenStreetMap (Jalkot)
SSNP-indus-kohistani-GAB,35.62,72.35,ASJP v21 (Indus Kohistani regional coordinate)
bhatr,34.95,72.92,ASJP v21 (Bhateri)
SSNP-ushojo-USH,35.15,72.75,ASJP v21 (Ushojo)
