Snapshot_Date,Collation_Date,Unit_ID,PDF_Page,Printed_Page,Raw_Form,Raw_Gloss_German,English_Gloss,Final_Status,Final_Form,Final_Parameter_ID,Emitted_Key,Resolution,Review,Material_Error,Source,Record_SHA256
2026-08-24,2026-08-24,p184:e01,13,184,a,ein; unbestimmter Artikel,one; indefinite article,installed_form,a,2462,buddruss-wama2006:p184:e01,manually collated printed glossary headword,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 184, glossary entry 01]",9e45d75aaddbe35b528a8b95d92f0b642272f99f72607f1a6440bf01ae431e68
2026-08-24,2026-08-24,p184:e02,13,184,a-,kommen,come,installed_form,a-,1288,buddruss-wama2006:p184:e02,manually collated printed glossary headword,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 184, glossary entry 02]",bed01a950265a3238ea4179815d088c0871c42d34f6c152d4cead7fd5cdb2246
2026-08-24,2026-08-24,p184:e03,13,184,ā,ja,yes,installed_form,ā,,buddruss-wama2006:p184:e03,manually collated printed glossary headword,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 184, glossary entry 03]",72eb95115cfa3b1750c1cf9cfeb097a0336432bfe048c43d37164946689057d7
2026-08-24,2026-08-24,p184:e04,13,184,ai,ich,I,installed_form,ai,,buddruss-wama2006:p184:e04,source compares Ashkun and Dameli; deeper analysis is tentative,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 184, glossary entry 04]",28c596f7c4c6e30a04c4e46e98a066a846b8a2d1912841c72c0153a36643d762
2026-08-24,2026-08-24,p184:e05,13,184,-ai,"Postposition für, um zu",for; in order to,installed_form,-ai,,buddruss-wama2006:p184:e05,source analyzes an original dative,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 184, glossary entry 05]",7eb70d3d2681520db94d5b260abf0cadded6c5e162f6f9226e5314873e95e798
2026-08-24,2026-08-24,p184:e06,13,184,o-,"Präverb senkrecht, steil hoch",straight upward,installed_form,o-,2136,buddruss-wama2006:p184:e06,first printed headword alternate,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 184, glossary entry 06]",ab88229187912acaafec058cc5aface928866831928210b0f04c555b6a653724
2026-08-24,2026-08-24,p184:e06,13,184,ō-,"Präverb senkrecht, steil hoch",straight upward,installed_form,ō-,2136,buddruss-wama2006:p184:e06:v2,second printed headword alternate,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 184, glossary entry 06]",0ae8b734a1ad4e7d5864524611dd44c64c72af366555983d2a4a7039a25b83b9
2026-08-24,2026-08-24,p184:e07,13,184,-u,enklitische Fragepartikel,enclitic question particle,installed_form,-u,,buddruss-wama2006:p184:e07,manually collated printed glossary headword,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 184, glossary entry 07]",d1e3ef5469f1a579c1807e04c44e50a132f94c3f9bb12f3d0ab0ed562f36b79e
2026-08-24,2026-08-24,p184:e08,13,184,abō,Wasser,water,installed_form,abō,407,buddruss-wama2006:p184:e08,manually collated printed glossary headword,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 184, glossary entry 08]",f65f356849f870b3514d3fd0ddba1da373827ba8b1da08336d2a52c0ef05fd14
2026-08-24,2026-08-24,p184:e09,13,184,abōtistə́,hungrig,hungry,installed_form,abōtistə́,540,buddruss-wama2006:p184:e09,manually collated printed glossary headword,full manual census against the 400 dpi render; two Tesseract page-layout passes compared,no,"buddruss-wama2006[p. 184, glossary entry 09]",ee7ad38970dff6cbd3e2947d5a60b784605a8b94d5f74cc339daa9f7e490acda
