Program_Community,Program_URL,Cluster,Census_Disposition,Source_Candidate,Census_Anchor
Bishnupriya Monipuri,https://www.silbangladesh.org/language_education/sociolinguistics,Bishnupriya,installed,ESR 2008-003,ESR 2008-003 Bishnupriya speakers
Meitei Manipuri,https://www.silbangladesh.org/language_education/sociolinguistics,Meitei,installed,ESR 2008-002,ESR 2008-002 Meitei speakers
War-Jaintia,https://www.silbangladesh.org/language_education/sociolinguistics,War-Jaintia,installed,ESR 2007-013,ESR 2007-013 War-Jaintia
Koch,https://www.silbangladesh.org/language_education/sociolinguistics,Koch,partial_manual,ESR 2011-023,ESR 2011-023 Koch
Hajong,https://www.silbangladesh.org/language_education/sociolinguistics,Hajong,installed,ESR 2011-042,ESR 2011-042 Hajong
"Garo (Abeng, Achik, Brak, Chibok, Dual)",https://www.silbangladesh.org/language_education/sociolinguistics,Garo cluster,partial_manual,ESR 2012-007,ESR 2012-007 Garo
A'tong,https://www.silbangladesh.org/language_education/sociolinguistics,Garo cluster,partial_manual,ESR 2012-007,ESR 2012-007 Garo
Megam,https://www.silbangladesh.org/language_education/sociolinguistics,Garo cluster,partial_manual,ESR 2012-007,ESR 2012-007 Garo
Chittagonian,https://www.silbangladesh.org/language_education/sociolinguistics,Chittagonian,unclassified_candidate,"Maggard, Sangma and Ahmad, February 2007",SIL Bangladesh 2007 Chittagonian-speaking Community
Chak,https://www.silbangladesh.org/language_education/sociolinguistics,Chak,missing_lexical_candidate,"Maggard, Sangma and Ahmad 2007",SIL Bangladesh 2007 Chak
Kurux,https://www.silbangladesh.org/language_education/sociolinguistics,Kurux,partial_manual,ESR 2011-040,ESR 2011-040 Kurux
Chakma,https://www.silbangladesh.org/language_education/sociolinguistics,Chakma-Tanchangya,unclassified_candidate,"Maggard, Sangma and Ahmad 2007 manuscript; wordlist comparison reported secondarily",SIL Bangladesh 2007 Chakma and Tanchangya
Tanchangya,https://www.silbangladesh.org/language_education/sociolinguistics,Chakma-Tanchangya,unclassified_candidate,"Maggard, Sangma and Ahmad 2007 manuscript; wordlist comparison reported secondarily",SIL Bangladesh 2007 Chakma and Tanchangya
Pangkhua,https://www.silbangladesh.org/language_education/sociolinguistics,Kuki-Chin cluster,installed,ESR 2011-025,ESR 2011-025 Kuki-Chin communities
Bawm,https://www.silbangladesh.org/language_education/sociolinguistics,Kuki-Chin cluster,installed,ESR 2011-025,ESR 2011-025 Kuki-Chin communities
Lushai,https://www.silbangladesh.org/language_education/sociolinguistics,Kuki-Chin cluster,installed,ESR 2011-025,ESR 2011-025 Kuki-Chin communities
Khumi,https://www.silbangladesh.org/language_education/sociolinguistics,Kuki-Chin cluster,installed,ESR 2011-025,ESR 2011-025 Kuki-Chin communities
Khyang,https://www.silbangladesh.org/language_education/sociolinguistics,Kuki-Chin cluster,installed,ESR 2011-025,ESR 2011-025 Kuki-Chin communities
Marma,https://www.silbangladesh.org/language_education/sociolinguistics,Marma-Rakhine,unclassified_candidate,"Maggard, Ahmad and Sangma 2007; primary report unacquired and lexical scope unverified",SIL Bangladesh 2007 Marma and Rakhine
Rakhaine,https://www.silbangladesh.org/language_education/sociolinguistics,Marma-Rakhine,unclassified_candidate,"Maggard, Ahmad and Sangma 2007; primary report unacquired and lexical scope unverified",SIL Bangladesh 2007 Marma and Rakhine
Tippera,https://www.silbangladesh.org/language_education/sociolinguistics,Tripura cluster,installed,ESR 2011-038,ESR 2011-038 Tripura
Kok Borok,https://www.silbangladesh.org/language_education/sociolinguistics,Tripura cluster,installed,ESR 2011-038,ESR 2011-038 Tripura
Usoi,https://www.silbangladesh.org/language_education/sociolinguistics,Tripura cluster,installed,ESR 2011-038,ESR 2011-038 Tripura
Riang,https://www.silbangladesh.org/language_education/sociolinguistics,Tripura cluster,installed,ESR 2011-038,ESR 2011-038 Tripura
Santali,https://www.silbangladesh.org/language_education/sociolinguistics,Santali cluster,installed,ESR 2010-006,ESR 2010-006 Santali cluster
Mahle,https://www.silbangladesh.org/language_education/sociolinguistics,Santali cluster,installed,ESR 2010-006,ESR 2010-006 Santali cluster
Kol,https://www.silbangladesh.org/language_education/sociolinguistics,Santali cluster,installed,ESR 2010-006,ESR 2010-006 Santali cluster
Koda,https://www.silbangladesh.org/language_education/sociolinguistics,Santali cluster,installed,ESR 2010-006,ESR 2010-006 Santali cluster
Munda,https://www.silbangladesh.org/language_education/sociolinguistics,Santali cluster,installed,ESR 2010-006,ESR 2010-006 Santali cluster
