Kund,1340,adr,wet,,,,kund
Kund,1260,am,mango,,,,kund
Kund,125,aŋgār,fire,,,,kund
Kund,43,aś,eye,,,,kund
Kund,1008,ay,cloud,Uncertain.,,,kund
Kund,1388,ālū̃,potato,Probably borrowed from plains.,,,kund
Kund,941,ā̃ṣṭ,eight,,,,kund
Kund,11175,bañj,handle,,,,kund
Kund,11503,baŋgā̃,eggplant,,,,kund
Kund,11348,baṭō,stone,,,,kund
Kund,6658,bay,twelve,,,,kund
Kund,9201,bājrā,barley,Probably borrowed from plains. Meaning seems incorrect!,,,kund
Kund,11572,bāl,hair,,,,kund
Kund,13913,saz,sister,,,,kund
Kund,2757,bɛkʰin,elbow,,,,kund
Kund,11239,bicʰ,cow,,,,kund
Kund,11616,bī̌,twenty,,,,kund
Kund,9321,bol,speak!,,,,kund
Kund,9286,bōś,hunger,,,,kund
Kund,9568,buṭ,all,,,,kund
