Item	Site_Code	Similarity_Group	Source_Line_ID	Manual_Transcription	Manual_Line_Status	Cell_Review_Status	Legacy_Raw_Form	Legacy_Status	Legacy_Reason	Exact_Codepoint_Equal	Reconciliation_Disposition	Frozen_Manual_Lines_SHA256	Frozen_Manual_Cells_SHA256	Independence_Note
26	a	1	i026-l01	ɖʒa	attested	attested	ɖʒa	installed		yes	legacy exact comparison match (audit-only; not verification)	5f33bc5c2c88f2121595993e035d910ef2bfaedfef173e570933736c79604c6e	94d439754d876f919d531e12fa6fc225180b83fd16ee9522b208a7817e999a6f	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
26	e	1	i026-l01	ɖʒa	attested	attested	ɖʒa	installed		yes	legacy exact comparison match (audit-only; not verification)	5f33bc5c2c88f2121595993e035d910ef2bfaedfef173e570933736c79604c6e	94d439754d876f919d531e12fa6fc225180b83fd16ee9522b208a7817e999a6f	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
26	f	1	i026-l01	ɖʒa	attested	attested	ɖʒa	installed		yes	legacy exact comparison match (audit-only; not verification)	5f33bc5c2c88f2121595993e035d910ef2bfaedfef173e570933736c79604c6e	94d439754d876f919d531e12fa6fc225180b83fd16ee9522b208a7817e999a6f	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
26	h	1	i026-l01	ɖʒa	attested	attested	ɖʒa	installed		yes	legacy exact comparison match (audit-only; not verification)	5f33bc5c2c88f2121595993e035d910ef2bfaedfef173e570933736c79604c6e	94d439754d876f919d531e12fa6fc225180b83fd16ee9522b208a7817e999a6f	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
26	i	1	i026-l01	ɖʒa	attested	attested	ɖʒa	installed		yes	legacy exact comparison match (audit-only; not verification)	5f33bc5c2c88f2121595993e035d910ef2bfaedfef173e570933736c79604c6e	94d439754d876f919d531e12fa6fc225180b83fd16ee9522b208a7817e999a6f	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
26	l	1	i026-l01	ɖʒa	attested	attested	ɖʒa	installed		yes	legacy exact comparison match (audit-only; not verification)	5f33bc5c2c88f2121595993e035d910ef2bfaedfef173e570933736c79604c6e	94d439754d876f919d531e12fa6fc225180b83fd16ee9522b208a7817e999a6f	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
26	m	1	i026-l01	ɖʒa	attested	attested	ɖʒa	installed		yes	legacy exact comparison match (audit-only; not verification)	5f33bc5c2c88f2121595993e035d910ef2bfaedfef173e570933736c79604c6e	94d439754d876f919d531e12fa6fc225180b83fd16ee9522b208a7817e999a6f	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
26	n	1	i026-l01	ɖʒa	attested	attested	ɖʒa	installed		yes	legacy exact comparison match (audit-only; not verification)	5f33bc5c2c88f2121595993e035d910ef2bfaedfef173e570933736c79604c6e	94d439754d876f919d531e12fa6fc225180b83fd16ee9522b208a7817e999a6f	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
26	o	1	i026-l01	ɖʒa	attested	attested	ɖʒa	installed		yes	legacy exact comparison match (audit-only; not verification)	5f33bc5c2c88f2121595993e035d910ef2bfaedfef173e570933736c79604c6e	94d439754d876f919d531e12fa6fc225180b83fd16ee9522b208a7817e999a6f	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
26	j	2	i026-l02	bni	attested	attested	bni	installed		yes	legacy exact comparison match (audit-only; not verification)	5f33bc5c2c88f2121595993e035d910ef2bfaedfef173e570933736c79604c6e	94d439754d876f919d531e12fa6fc225180b83fd16ee9522b208a7817e999a6f	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
26	k	2	i026-l02	bni	attested	attested	bni	installed		yes	legacy exact comparison match (audit-only; not verification)	5f33bc5c2c88f2121595993e035d910ef2bfaedfef173e570933736c79604c6e	94d439754d876f919d531e12fa6fc225180b83fd16ee9522b208a7817e999a6f	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
26	p	2	i026-l02	bni	attested	attested	bni	installed		yes	legacy exact comparison match (audit-only; not verification)	5f33bc5c2c88f2121595993e035d910ef2bfaedfef173e570933736c79604c6e	94d439754d876f919d531e12fa6fc225180b83fd16ee9522b208a7817e999a6f	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
26	0	3	i026-l03	maʃ	attested	attested	maʃ	installed		yes	legacy exact comparison match (audit-only; not verification)	5f33bc5c2c88f2121595993e035d910ef2bfaedfef173e570933736c79604c6e	94d439754d876f919d531e12fa6fc225180b83fd16ee9522b208a7817e999a6f	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
